STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,·ç§J,1990,0.322,90,381,342,48,45,110,68,33,2,7,168,42,31,1,4,37,11,1,3,7,2,0.382,0.491,0.873,1.117,0.95
°h§Ð,ÆN«L,1990,0.292,90,378,322,58,58,94,52,21,3,18,175,42,47,6,5,58,3,0,4,7,5,0.386,0.543,0.929,0.5,0.9
°h§Ð,¬x¤@¤¤,1990,0.285,90,404,365,52,31,104,78,22,4,0,134,26,27,0,4,17,10,4,4,5,3,0.338,0.367,0.705,1.136,1.82
°h§Ð,¤ý«T­¦,1990,0.227,90,348,313,32,24,71,57,12,1,1,88,14,25,0,2,40,6,8,0,3,6,0.288,0.281,0.569,2.231,0.68
°h§Ð,§õ©~©ú,1990,0.29,88,371,335,43,42,97,70,15,4,8,144,27,31,4,0,34,6,0,5,3,5,0.345,0.43,0.775,0.713,0.91
°h§Ð,ªL©ö¼W,1990,0.331,87,383,350,66,34,116,94,15,3,4,149,22,24,0,4,20,7,2,3,34,18,0.378,0.426,0.804,0.81,1.4
°h§Ð,³¯ª÷­Z,1990,0.295,86,364,315,59,49,93,64,21,2,6,136,29,32,0,7,40,4,3,7,7,5,0.366,0.432,0.798,0.846,0.98
°h§Ð,ªL¦Ê¦ë,1990,0.265,86,338,310,31,34,82,63,14,0,5,111,19,23,2,0,28,10,5,0,4,5,0.315,0.358,0.673,1.181,0.82
°h§Ð,¦ó¨}§Ó,1990,0.241,86,330,278,47,15,67,58,5,4,0,80,9,43,0,0,33,8,8,1,12,6,0.342,0.288,0.63,2.339,1.3
°h§Ð,«Òªi,1990,0.305,85,353,305,57,49,93,59,20,4,10,151,34,37,5,3,40,2,4,4,13,5,0.381,0.495,0.876,1.5,1
°h§Ð,¶ÀÞ£¶©,1990,0.28,85,350,311,53,32,87,65,15,4,3,119,22,29,0,5,34,8,4,1,8,6,0.35,0.383,0.733,0.653,1
°h§Ð,©s¹p,1990,0.24,85,331,283,43,43,68,44,11,2,11,116,24,45,0,1,48,5,1,1,3,4,0.345,0.41,0.755,0.837,0.96
°h§Ð,Ã¹°Ò,1990,0.237,85,345,325,38,49,77,50,13,1,13,131,27,13,1,3,41,13,2,2,4,4,0.271,0.403,0.674,1.542,0.39
°h§Ð,ªL®¶½å,1990,0.233,85,268,249,28,21,58,45,10,2,1,75,13,14,0,1,26,3,3,1,4,3,0.275,0.301,0.576,1.641,0.58
°h§Ð,§ººa®õ,1990,0.282,84,329,273,29,35,77,56,15,2,4,108,21,50,1,1,34,10,0,5,1,2,0.389,0.396,0.785,1.227,1.5
°h§Ð,¾G¦Ê³Ó,1990,0.305,83,332,295,41,22,90,77,12,0,1,105,13,29,0,3,21,4,4,1,11,9,0.372,0.356,0.728,2.203,1.52
°h§Ð,®]¬L¥ß,1990,0.271,83,320,299,37,42,81,60,16,0,5,112,21,11,1,2,35,3,5,3,23,7,0.298,0.375,0.673,1.032,0.37
°h§Ð,¨L«T¨},1990,0.242,83,329,285,25,24,69,54,13,1,1,87,15,27,0,5,25,7,12,0,3,3,0.319,0.305,0.624,1.743,1.28
°h§Ð,Ò\©¾¨k,1990,0.196,83,298,265,18,12,52,49,3,0,0,55,3,22,0,1,20,6,10,0,3,1,0.26,0.208,0.468,1.183,1.15
°h§Ð,°¨´µ,1990,0.337,82,298,261,48,53,88,49,22,1,16,160,39,29,5,5,63,3,0,3,5,1,0.409,0.613,1.022,1.055,0.54
°h§Ð,§õ¦wº³,1990,0.3,82,321,287,36,40,86,68,13,2,3,112,18,23,0,3,53,8,5,3,2,6,0.354,0.39,0.744,2,0.49
°h§Ð,§E´I¸Û,1990,0.202,82,246,228,21,32,46,36,5,3,2,63,10,12,0,2,54,4,4,0,4,0,0.248,0.276,0.524,1.4,0.26
°h§Ð,¤ý¥ú½÷,1990,0.342,79,337,310,47,45,106,73,23,1,9,158,33,21,2,3,26,7,1,2,3,2,0.387,0.51,0.897,1.181,0.92
°h§Ð,³¢«ØÀM,1990,0.261,78,317,276,32,35,72,61,11,0,0,83,11,27,0,0,21,8,11,3,8,5,0.324,0.301,0.625,1.699,1.29
°h§Ð,³Á§J,1990,0.237,77,281,249,32,32,59,34,21,1,3,91,25,19,0,3,40,5,5,5,3,6,0.293,0.365,0.658,1.286,0.55
