PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Blake DeWitt,X,ATL,4,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,4,3,0,1,1,0,0,0,0,0,0,0,.333,.333,.667
Freddie Freeman,1B,ATL,147,551,89,176,27,2,23,109,66,121,1,0,.319,.396,.501,.897,ATL,147,551,89,176,27,2,23,109,66,121,1,0,.319,.396
Justin Upton,LF,ATL,149,558,94,147,27,2,27,70,75,161,8,1,.263,.354,.464,.818,.897,ATL,149,558,94,147,27,2,27,70,75,161,8,1,.263
Chris Johnson,3B,ATL,142,514,54,165,34,0,12,68,29,116,0,0,.321,.358,.457,.815,.464,.818,ATL,142,514,54,165,34,0,12,68,29,116,0,0
Brian McCann,C,ATL,102,356,43,91,13,0,20,57,39,66,0,1,.256,.336,.461,.797,.358,.457,.815,ATL,102,356,43,91,13,0,20,57,39,66,0
Jason Heyward,RF,ATL,104,382,67,97,22,1,14,38,48,73,2,4,.254,.349,.427,.776,.256,.336,.461,.797,ATL,104,382,67,97,22,1,14,38,48,73
Ramiro Pena,3B,ATL,50,97,14,27,5,1,3,12,8,18,0,2,.278,.330,.443,.773,4,.254,.349,.427,.776,ATL,50,97,14,27,5,1,3,12,8
Evan Gattis,LF,ATL,105,354,44,86,21,0,21,65,21,81,0,0,.243,.291,.480,.771,0,2,.278,.330,.443,.773,ATL,105,354,44,86,21,0,21,65
Phil Gosselin,2B,ATL,4,6,2,2,0,0,0,0,1,2,0,0,.333,.429,.333,.762,81,0,0,.243,.291,.480,.771,ATL,4,6,2,2,0,0,0
Gerald Laird,C,ATL,47,121,12,34,8,0,1,13,14,23,1,1,.281,.367,.372,.739,1,2,0,0,.333,.429,.333,.762,ATL,47,121,12,34,8,0
Andrelton Simmons,SS,ATL,157,606,76,150,27,6,17,59,40,55,6,5,.248,.296,.396,.692,13,14,23,1,1,.281,.367,.372,.739,ATL,157,606,76,150,27
