PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Bud Norris,P,BAL,11,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.334,3,0,0,0,0,0.00,0,2,0,.667,.000,-.--,.---,.000,.000
Chris Davis,1B,BAL,160,584,103,167,42,1,53,138,72,199,4,1,.286,.370,.634,1.004,673,10,0,7,4,0.94,96,370,12,.336,.348,11.02,.362,.107,.296
Danny Valencia,DH,BAL,52,161,20,49,14,1,8,23,8,33,0,2,.304,.335,.553,.888,170,0,0,1,5,0.78,23,89,0,.339,.248,20.12,.242,.047,.194
Jonathan Schoop,2B,BAL,5,14,5,4,0,0,1,1,1,2,0,0,.286,.333,.500,.833,15,0,0,0,2,7.00,1,7,0,.273,.214,14.00,.500,.067,.133
Adam Jones,CF,BAL,160,653,100,186,35,1,33,108,25,136,14,3,.285,.318,.493,.811,689,8,0,3,15,1.24,69,322,4,.314,.208,19.79,.184,.036,.197
Steve Pearce,DH,BAL,44,119,14,31,7,0,4,13,15,25,1,0,.261,.362,.420,.782,138,4,0,0,0,0.66,11,50,2,.300,.160,29.75,.600,.109,.181
Manny Machado,3B,BAL,156,667,88,189,51,3,14,71,29,113,6,7,.283,.314,.432,.746,710,2,9,3,15,1.18,68,288,0,.322,.148,47.64,.257,.041,.159
J.J. Hardy,SS,BAL,159,601,66,158,27,0,25,76,38,73,2,1,.263,.306,.433,.739,644,0,3,2,14,0.96,52,260,3,.263,.170,24.04,.521,.059,.113
Nate McLouth,LF,BAL,146,531,76,137,31,4,12,36,53,86,30,7,.258,.329,.399,.728,593,4,4,1,7,0.85,47,212,1,.288,.141,44.25,.616,.089,.145
Brian Roberts,2B,BAL,77,265,33,66,12,1,8,39,26,44,3,1,.249,.312,.392,.704,296,0,1,4,4,0.76,21,104,1,.267,.143,33.12,.591,.088,.149
Matt Wieters,C,BAL,148,523,59,123,29,0,22,79,43,104,2,0,.235,.287,.417,.704,579,0,1,12,7,0.75,51,218,5,.247,.182,23.77,.413,.074,.180
Yamaico Navarro,2B,BAL,8,28,3,8,0,1,0,2,2,8,0,0,.286,.333,.357,.690,31,0,1,0,1,0.44,1,10,0,.400,.071,-.--,.250,.065,.258
Nick Markakis,RF,BAL,160,634,89,172,24,0,10,59,55,76,1,2,.271,.329,.356,.685,700,3,0,8,17,1.06,34,226,3,.291,.085,63.40,.724,.079,.109
Ryan Flaherty,2B,BAL,85,246,28,55,11,0,10,27,19,62,2,0,.224,.293,.390,.683,271,5,1,0,2,1.17,21,96,3,.259,.167,24.60,.306,.070,.229
Chris Dickerson,DH,BAL,56,105,17,25,5,0,4,13,4,36,5,1,.238,.266,.400,.666,109,0,0,0,0,0.69,9,42,0,.323,.162,26.25,.111,.037,.330
Steve Clevenger,C,BAL,4,15,1,4,1,0,0,2,0,2,0,0,.267,.267,.333,.600,15,0,0,0,1,2.00,1,5,0,.308,.067,-.--,.---,.000,.133
Nolan Reimold,DH,BAL,40,128,17,25,3,0,5,12,10,41,0,1,.195,.250,.336,.586,140,0,0,2,4,1.06,8,43,2,.238,.141,25.60,.244,.071,.293
Henry Urrutia,X,BAL,24,58,5,16,0,1,0,2,0,11,0,0,.276,.276,.310,.586,58,0,0,0,2,1.38,1,18,0,.340,.034,-.--,.---,.000,.190
Alexi Casilla,2B,BAL,62,112,15,24,4,1,1,10,9,20,9,2,.214,.268,.295,.563,125,0,2,2,1,1.77,6,33,0,.247,.080,112.00,.450,.072,.160
Taylor Teagarden,C,BAL,23,60,3,10,2,0,2,5,1,18,0,1,.167,.180,.300,.480,62,0,1,0,0,1.20,4,18,0,.200,.133,30.00,.056,.016,.290
Jason Pridie,LF,BAL,4,10,0,2,0,0,0,1,0,2,0,0,.200,.200,.200,.400,10,0,0,0,0,2.00,0,2,0,.250,.000,-.--,.---,.000,.200
Chris Snyder,C,BAL,9,20,0,2,0,0,0,1,4,7,0,0,.100,.250,.100,.350,24,0,0,0,0,1.20,0,2,0,.154,.000,-.--,.571,.167,.292
Travis Ishikawa,1B,BAL,6,17,0,2,0,0,0,1,1,8,0,0,.118,.167,.118,.285,18,0,0,0,0,0.75,0,2,0,.222,.000,-.--,.125,.056,.444
