PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Chris Gimenez,X,TB,4,3,0,1,1,0,0,0,1,1,0,0,.333,.500,.667,1.167,4,0,0,0,1,1.00,1,2,0,.500,.333,-.--,1.000,.250,.250
Evan Longoria,3B,TB,160,614,91,165,39,3,32,88,70,162,1,0,.269,.343,.498,.841,693,3,0,6,16,0.93,74,306,10,.312,.230,19.19,.432,.101,.234
Wil Myers,RF,TB,88,335,50,98,23,0,13,53,33,91,5,2,.293,.354,.478,.832,373,1,0,4,10,1.08,36,160,6,.362,.185,25.77,.363,.088,.244
Tim Beckham,X,TB,5,7,1,3,0,0,0,1,0,0,0,0,.429,.375,.429,.804,8,0,0,1,0,4.00,0,3,0,.375,.000,-.--,.---,.000,.000
Delmon Young,DH,TB,23,62,8,16,3,0,3,7,6,9,0,0,.258,.329,.452,.781,70,1,0,1,1,0.81,6,28,0,.255,.194,20.67,.667,.086,.129
James Loney,1B,TB,158,549,54,164,33,0,13,75,44,77,3,1,.299,.348,.430,.778,598,0,1,4,16,1.01,46,236,6,.326,.131,42.23,.571,.074,.129
Ben Zobrist,2B,TB,157,612,77,168,36,3,12,71,72,91,11,3,.275,.354,.402,.756,698,7,1,6,18,0.85,51,246,4,.303,.127,51.00,.791,.103,.130
Desmond Jennings,CF,TB,139,527,82,133,31,6,14,54,64,115,20,8,.252,.334,.414,.748,602,3,3,5,6,1.17,51,218,0,.295,.161,37.64,.557,.106,.191
Matt Joyce,RF,TB,140,413,61,97,22,0,18,47,59,87,7,3,.235,.328,.419,.747,481,2,0,7,8,0.74,40,173,0,.251,.184,22.94,.678,.123,.181
David DeJesus,LF,TB,35,104,13,27,10,0,2,11,10,23,2,3,.260,.328,.413,.741,117,1,1,1,3,0.75,12,43,0,.313,.154,52.00,.435,.085,.197
Luke Scott,DH,TB,91,253,27,61,13,2,9,40,30,63,1,1,.241,.326,.415,.741,291,4,0,4,5,0.87,24,105,1,.281,.174,28.11,.476,.103,.216
Kelly Johnson,LF,TB,118,366,41,86,12,2,16,52,35,99,7,4,.235,.305,.410,.715,407,3,0,3,4,0.79,30,150,1,.276,.175,22.88,.354,.086,.243
Jose Lobaton,C,TB,100,277,38,69,15,2,7,32,30,65,0,1,.249,.320,.394,.714,311,0,2,2,5,1.16,24,109,0,.300,.144,39.57,.462,.096,.209
Sean Rodriguez,LF,TB,96,195,21,48,10,1,5,23,17,59,1,3,.246,.320,.385,.705,222,5,3,2,3,0.82,16,75,0,.323,.138,39.00,.288,.077,.266
Yunel Escobar,SS,TB,153,508,61,130,27,1,9,56,57,73,4,4,.256,.332,.366,.698,578,3,6,4,19,1.50,37,186,2,.281,.110,56.44,.781,.099,.126
Ryan Roberts,2B,TB,60,162,15,40,6,0,5,17,11,39,0,2,.247,.295,.377,.672,173,0,0,0,3,0.98,11,61,0,.297,.130,32.40,.282,.064,.225
Jeremy Hellickson,P,TB,32,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.333,.666,3,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.333
Jason Bourgeois,DH,TB,9,16,2,3,0,0,1,2,2,4,0,0,.188,.278,.375,.653,18,0,0,0,0,0.80,1,6,0,.182,.188,16.00,.500,.111,.222
Shelley Duncan,DH,TB,20,55,6,10,1,0,2,6,9,14,0,0,.182,.297,.309,.606,64,0,0,0,4,0.41,3,17,0,.205,.127,27.50,.643,.141,.219
Jose Molina,C,TB,99,283,26,66,14,0,2,18,22,63,2,1,.233,.290,.304,.594,313,2,3,3,11,1.76,16,86,1,.290,.071,141.50,.349,.070,.201
Sam Fuld,LF,TB,119,176,25,35,0,3,2,17,17,28,8,2,.199,.270,.267,.537,200,1,4,2,6,1.43,5,47,0,.223,.068,88.00,.607,.085,.140
Chris Archer,P,TB,23,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Alex Cobb,P,TB,22,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,3,0,0,0,1,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
Alex Colome,P,TB,3,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Kyle Farnsworth,P,TB,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brandon Gomes,P,TB,26,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Freddy Guzman,DH,TB,1,0,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Roberto Hernandez,P,TB,32,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.750
Kevin Kiermaier,CF,TB,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Josh Lueke,P,TB,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jake McGee,P,TB,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Matt Moore,P,TB,27,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
Joel Peralta,P,TB,80,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
David Price,P,TB,27,6,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,6,0,0,0,0,4.00,0,0,0,.000,.000,-.--,.---,.000,.333
Cesar Ramos,P,TB,48,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Fernando Rodney,P,TB,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Alex Torres,P,TB,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jamey Wright,P,TB,66,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
