PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Gus Schlosser,P,ATL,15,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Joey Terdoslavich,X,ATL,9,10,1,3,2,0,0,2,0,3,0,0,.300,.364,.500,.864,11,1,0,0,0,3.00,2,5,0,.429,.200,-.--,.---,.000,.273
Freddie Freeman,1B,ATL,162,607,93,175,43,4,18,78,90,145,3,4,.288,.386,.461,.847,708,8,0,3,18,0.93,65,280,4,.351,.173,33.72,.621,.127,.205
Justin Upton,LF,ATL,154,566,77,153,34,2,29,102,60,171,8,4,.270,.342,.491,.833,641,6,0,8,10,0.82,65,278,1,.332,.221,19.52,.351,.094,.267
Evan Gattis,C,ATL,108,369,41,97,17,1,22,52,22,97,0,0,.263,.317,.493,.810,401,8,0,2,9,0.82,40,182,3,.298,.230,16.77,.227,.055,.242
Jason Heyward,RF,ATL,149,573,74,155,26,3,11,58,67,98,20,4,.271,.351,.384,.735,649,6,0,3,2,0.98,40,220,3,.308,.113,52.09,.684,.103,.151
Chris Johnson,3B,ATL,153,582,43,153,27,0,10,58,23,159,6,0,.263,.292,.361,.653,611,2,2,2,23,1.38,37,210,2,.345,.098,58.20,.145,.038,.260
Ramiro Pena,2B,ATL,81,147,9,36,6,0,3,9,13,38,1,0,.245,.304,.347,.651,165,0,4,1,0,0.95,9,51,3,.308,.102,49.00,.342,.079,.230
Tommy La Stella,2B,ATL,93,319,22,80,16,1,1,31,36,40,2,1,.251,.328,.317,.645,360,1,3,1,8,1.26,18,101,2,.283,.066,319.00,.900,.100,.111
Phil Gosselin,2B,ATL,46,128,17,34,4,0,1,3,5,27,2,2,.266,.304,.320,.624,136,2,1,0,1,1.62,5,41,0,.330,.055,128.00,.185,.037,.199
B.J. Upton,CF,ATL,141,519,67,108,19,5,12,35,57,173,20,7,.208,.287,.333,.620,582,1,3,2,6,0.85,36,173,5,.286,.125,43.25,.329,.098,.297
Andrelton Simmons,SS,ATL,146,540,44,132,18,4,7,46,32,60,4,5,.244,.286,.331,.617,576,0,2,2,25,1.29,29,179,4,.263,.087,77.14,.533,.056,.104
Tyler Pastornicky,X,ATL,28,40,4,8,0,1,0,2,6,11,0,1,.200,.304,.250,.554,47,0,1,0,0,4.50,1,10,0,.276,.050,-.--,.545,.128,.234
Emilio Bonifacio,CF,ATL,41,118,12,25,3,1,1,6,10,36,12,2,.212,.273,.280,.553,128,0,0,0,1,1.19,5,33,0,.296,.068,118.00,.278,.078,.281
Ryan Doumit,X,ATL,100,157,11,31,4,0,5,17,7,49,1,0,.197,.235,.318,.553,166,1,0,1,1,0.86,9,50,1,.250,.121,31.40,.143,.042,.295
Christian Bethancourt,C,ATL,31,113,7,28,3,0,0,9,3,26,1,1,.248,.274,.274,.548,117,1,0,0,3,1.36,3,31,0,.322,.027,-.--,.115,.026,.222
Gerald Laird,C,ATL,53,152,12,31,8,0,0,10,14,33,0,0,.204,.275,.257,.532,167,1,0,0,6,0.76,8,39,2,.261,.053,-.--,.424,.084,.198
Dan Uggla,2B,ATL,48,130,13,21,3,0,2,10,10,40,0,0,.162,.241,.231,.472,145,4,0,1,3,0.67,5,30,0,.213,.069,65.00,.250,.069,.276
