PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Robbie Ray,P,DET,9,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
Victor Martinez,DH,DET,151,561,87,188,33,0,32,103,70,42,3,2,.335,.409,.565,.974,641,4,0,6,17,0.89,65,317,28,.316,.230,17.53,1.667,.109,.066
J.D. Martinez,LF,DET,123,441,57,139,30,3,23,76,30,126,6,3,.315,.358,.553,.911,480,3,0,6,8,0.92,56,244,5,.389,.238,19.17,.238,.063,.263
Miguel Cabrera,1B,DET,159,611,101,191,52,1,25,109,60,117,1,1,.313,.371,.524,.895,685,3,0,11,21,0.88,78,320,10,.346,.211,24.44,.513,.088,.171
Torii Hunter,RF,DET,142,549,71,157,33,2,17,83,23,89,4,3,.286,.319,.446,.765,586,7,0,7,18,1.14,52,245,0,.311,.160,32.29,.258,.039,.152
Steven Moya,X,DET,11,8,2,3,0,0,0,0,0,2,0,0,.375,.375,.375,.750,8,0,0,0,0,2.00,0,3,0,.500,.000,-.--,.---,.000,.250
Austin Jackson,CF,DET,100,374,52,102,25,5,4,33,35,85,9,4,.273,.332,.398,.730,420,2,1,8,9,0.69,34,149,0,.334,.126,93.50,.412,.083,.202
Ian Kinsler,2B,DET,161,684,100,188,40,4,17,92,29,79,15,4,.275,.307,.420,.727,726,5,3,5,20,0.71,61,287,1,.288,.145,40.24,.367,.040,.109
Rajai Davis,LF,DET,134,461,64,130,27,2,8,51,22,75,36,11,.282,.320,.401,.721,494,5,3,3,7,1.18,37,185,0,.320,.119,57.62,.293,.045,.152
Nick Castellanos,3B,DET,148,533,50,138,31,4,11,66,36,140,2,2,.259,.306,.394,.700,579,3,0,7,7,0.78,46,210,3,.326,.135,48.46,.257,.062,.242
Alex Avila,C,DET,124,390,44,85,22,0,11,47,61,151,0,3,.218,.327,.359,.686,457,3,1,2,6,1.42,33,140,1,.322,.141,35.46,.404,.133,.330
Justin Verlander,P,DET,32,6,1,2,0,0,0,0,0,0,0,0,.333,.333,.333,.666,7,0,1,0,0,4.00,0,2,0,.333,.000,-.--,.---,.000,.000
Tyler Collins,X,DET,18,24,3,6,0,0,1,4,1,4,0,0,.250,.280,.375,.655,25,0,0,0,1,0.56,1,9,0,.263,.125,24.00,.250,.040,.160
Eugenio Suarez,SS,DET,85,244,33,59,9,1,4,23,22,67,3,2,.242,.316,.336,.652,277,5,5,1,3,0.80,14,82,1,.316,.094,61.00,.328,.079,.242
Ezequiel Carrera,CF,DET,45,69,12,18,4,1,0,2,3,14,7,1,.261,.301,.348,.649,73,1,0,0,2,1.64,5,24,1,.327,.087,-.--,.214,.041,.192
Don Kelly,3B,DET,95,163,24,40,5,1,0,7,20,29,6,1,.245,.332,.288,.620,185,1,1,0,6,0.83,6,47,1,.299,.043,-.--,.690,.108,.157
Anibal Sanchez,P,DET,22,5,0,1,1,0,0,1,0,3,0,0,.200,.200,.400,.600,5,0,0,0,0,0.00,1,2,0,.500,.200,-.--,.---,.000,.600
James McCann,C,DET,9,12,2,3,1,0,0,0,0,2,1,0,.250,.250,.333,.583,12,0,0,0,0,0.40,1,4,0,.300,.083,-.--,.---,.000,.167
Andrew Romine,SS,DET,94,251,30,57,6,0,2,12,18,60,12,2,.227,.279,.275,.554,273,0,4,0,5,1.94,8,69,0,.291,.048,125.50,.300,.066,.220
Bryan Holaday,C,DET,62,156,14,36,5,1,0,15,8,37,1,1,.231,.266,.276,.542,171,1,2,4,4,1.07,6,43,0,.293,.045,-.--,.216,.047,.216
Hernan Perez,2B,DET,8,5,1,1,0,0,0,0,1,1,0,0,.200,.333,.200,.533,6,0,0,0,0,0.50,0,1,0,.250,.000,-.--,1.000,.167,.167
Alex Gonzalez,SS,DET,9,30,4,5,0,1,0,2,2,4,0,0,.167,.219,.233,.452,32,0,0,0,2,0.91,1,7,0,.192,.067,-.--,.500,.063,.125
Danny Worth,SS,DET,20,42,5,7,1,0,0,5,2,12,0,1,.167,.217,.190,.407,46,1,0,1,1,0.60,1,8,0,.226,.024,-.--,.167,.043,.261
Al Alburquerque,P,DET,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Joba Chamberlain,P,DET,69,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Phil Coke,P,DET,62,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
