PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Christian Colon,2B,KC,21,45,8,15,5,1,0,6,3,4,2,0,.333,.375,.489,.864,49,0,1,0,1,1.45,6,22,0,.366,.156,-.--,.750,.061,.082
Erik Kratz,C,KC,13,29,4,8,1,0,2,3,1,10,0,0,.276,.290,.517,.807,31,0,0,1,1,0.50,3,15,1,.333,.241,14.50,.100,.032,.323
Alex Gordon,LF,KC,156,563,87,150,34,1,19,74,65,126,12,3,.266,.351,.432,.783,643,11,0,4,11,1.02,54,243,5,.310,.165,29.63,.516,.101,.196
Lorenzo Cain,CF,KC,133,471,55,142,29,4,5,53,24,108,28,5,.301,.339,.412,.751,502,4,0,3,9,1.33,38,194,2,.380,.110,94.20,.222,.048,.215
Josh Willingham,DH,KC,24,73,14,17,5,0,2,6,11,24,1,0,.233,.349,.384,.733,86,2,0,0,4,1.46,7,28,0,.319,.151,36.50,.458,.128,.279
Eric Hosmer,1B,KC,131,503,54,136,35,1,9,58,35,93,4,2,.270,.318,.398,.716,547,3,0,6,12,1.26,45,200,4,.312,.127,55.89,.376,.064,.170
James Shields,P,KC,34,7,1,2,1,0,0,1,0,1,0,0,.286,.286,.429,.715,7,0,0,0,0,3.00,1,3,0,.333,.143,-.--,.---,.000,.143
Danny Valencia,3B,KC,36,110,8,31,5,0,2,11,7,27,0,0,.282,.328,.382,.710,119,1,0,1,4,1.21,7,42,0,.354,.100,55.00,.259,.059,.227
Norichika Aoki,RF,KC,132,491,63,140,22,6,1,43,43,49,17,8,.285,.349,.360,.709,549,6,8,1,5,2.02,29,177,0,.314,.075,491.00,.878,.078,.089
Billy Butler,DH,KC,151,549,57,149,32,0,9,66,41,96,0,0,.271,.323,.379,.702,603,5,0,8,21,1.35,41,208,3,.310,.107,61.00,.427,.068,.159
Alcides Escobar,SS,KC,162,579,74,165,34,5,3,50,23,83,31,6,.285,.317,.377,.694,620,6,8,4,12,0.92,42,218,1,.326,.092,193.00,.277,.037,.134
Salvador Perez,C,KC,150,578,57,150,28,2,17,70,22,85,1,0,.260,.289,.403,.692,606,3,0,3,22,0.80,47,233,2,.278,.144,34.00,.259,.036,.140
Jarrod Dyson,CF,KC,120,260,33,70,4,4,1,24,22,52,36,7,.269,.324,.327,.651,290,0,6,2,5,2.04,9,85,0,.330,.058,260.00,.423,.076,.179
Carlos Peguero,RF,KC,4,9,1,2,1,0,0,1,1,5,0,0,.222,.300,.333,.633,10,0,0,0,0,2.00,1,3,0,.500,.111,-.--,.200,.100,.500
Omar Infante,2B,KC,135,528,50,133,21,3,6,66,33,68,9,3,.252,.295,.337,.632,575,2,5,7,7,0.72,30,178,3,.275,.085,88.00,.485,.057,.118
Mike Moustakas,3B,KC,140,457,45,97,21,1,15,54,35,74,1,0,.212,.271,.361,.632,500,3,1,4,12,0.85,37,165,1,.220,.149,30.47,.473,.070,.148
Raul Ibanez,DH,KC,33,80,7,15,3,1,2,5,10,16,0,0,.188,.278,.325,.603,90,0,0,0,1,1.04,6,26,0,.210,.138,40.00,.625,.111,.178
Johnny Giavotella,2B,KC,12,37,8,8,1,0,1,5,1,5,0,1,.216,.268,.324,.592,41,2,0,1,1,1.78,2,12,0,.219,.108,37.00,.200,.024,.122
Terrance Gore,X,KC,11,1,5,0,0,0,0,0,0,0,5,0,.000,.500,.000,.500,2,1,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Yordano Ventura,P,KC,31,4,1,1,0,0,0,0,0,3,0,0,.250,.250,.250,.500,5,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.600
Pedro Ciriaco,2B,KC,25,47,7,10,2,0,0,2,0,9,4,0,.213,.229,.255,.484,49,1,1,0,2,1.23,2,12,0,.263,.043,-.--,.---,.000,.184
Jimmy Paredes,X,KC,9,10,3,2,0,0,0,0,0,3,2,0,.200,.200,.200,.400,10,0,0,0,0,1.50,0,2,0,.286,.000,-.--,.---,.000,.300
Justin Maxwell,X,KC,20,40,4,6,1,0,0,3,2,20,0,1,.150,.222,.175,.397,45,2,0,1,0,2.00,1,7,0,.286,.025,-.--,.100,.044,.444
Brett Hayes,C,KC,27,52,3,7,1,0,1,2,1,12,0,0,.135,.151,.212,.363,53,0,0,0,1,0.94,2,11,0,.154,.077,52.00,.083,.019,.226
Jeremy Guthrie,P,KC,33,5,0,0,0,0,0,0,0,1,0,0,.000,.167,.000,.167,7,1,1,0,0,1.50,0,0,0,.000,.000,-.--,.---,.000,.143
Lane Adams,X,KC,6,3,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,3,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.667
Francisley Bueno,P,KC,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Louis Coleman,P,KC,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Tim Collins,P,KC,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Aaron Crow,P,KC,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Wade Davis,P,KC,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Danny Duffy,P,KC,31,6,1,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,7,0,1,0,0,4.00,0,0,0,.000,.000,-.--,.---,.000,.429
Jason Frasor,P,KC,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Kelvin Herrera,P,KC,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Greg Holland,P,KC,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jayson Nix,3B,KC,7,8,0,0,0,0,0,1,0,6,0,0,.000,.000,.000,.000,9,0,0,1,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.667
Francisco Pena,C,KC,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Wilking Rodriguez,P,KC,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
