PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Seth Smith,LF,SD,136,443,55,118,31,5,12,48,69,87,1,1,.266,.367,.440,.807,521,4,0,4,9,1.37,48,195,3,.305,.174,36.92,.793,.132,.167
Cory Spangenberg,3B,SD,20,62,7,18,2,1,2,9,2,14,4,2,.290,.313,.452,.765,65,0,1,0,1,1.58,5,28,0,.348,.161,31.00,.143,.031,.215
Rene Rivera,C,SD,103,294,27,74,18,1,11,44,27,76,0,0,.252,.319,.432,.751,329,3,3,2,6,0.73,30,127,3,.301,.180,26.73,.355,.082,.231
Donn Roach,P,SD,16,4,0,1,1,0,0,0,0,1,0,0,.250,.250,.500,.750,4,0,0,0,0,1.00,1,2,0,.333,.250,-.--,.---,.000,.250
Yasmani Grandal,C,SD,128,377,47,85,19,1,15,49,58,115,3,0,.225,.327,.401,.728,443,2,0,6,7,0.93,35,151,1,.277,.175,25.13,.504,.131,.260
Tommy Medica,1B,SD,102,240,31,56,11,2,9,27,14,75,6,1,.233,.286,.408,.694,259,4,0,1,5,0.93,22,98,0,.299,.175,26.67,.187,.054,.290
Yangervis Solarte,3B,SD,56,217,30,58,5,1,4,17,23,24,0,1,.267,.336,.355,.691,246,1,2,3,5,1.06,10,77,1,.281,.088,54.25,.958,.093,.098
Abraham Almonte,LF,SD,32,98,9,26,5,0,2,7,6,20,1,2,.265,.305,.378,.683,107,0,2,1,4,1.75,7,37,0,.312,.112,49.00,.300,.056,.187
Yonder Alonso,1B,SD,84,267,27,64,19,1,7,27,17,36,6,1,.240,.285,.397,.682,288,1,0,3,8,0.91,27,106,1,.251,.157,38.14,.472,.059,.125
Jason Lane,P,SD,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.666,3,0,0,0,0,0.00,0,1,0,.333,.000,-.--,.---,.000,.000
Chase Headley,3B,SD,77,279,27,64,12,1,7,32,22,73,4,1,.229,.296,.355,.651,307,5,0,1,12,0.93,20,99,0,.285,.125,39.86,.301,.072,.238
Nick Hundley,X,SD,33,59,1,16,3,0,1,3,0,13,0,0,.271,.271,.373,.644,59,0,0,0,1,0.88,4,22,0,.333,.102,59.00,.---,.000,.220
Xavier Nady,X,SD,22,37,4,5,1,0,3,4,5,9,0,0,.135,.238,.405,.643,42,0,0,0,4,3.60,4,15,0,.080,.270,12.33,.556,.119,.214
Adam Moore,X,SD,9,10,1,2,1,0,0,1,2,5,0,0,.200,.333,.300,.633,12,0,0,0,0,0.50,1,3,1,.400,.100,-.--,.400,.167,.417
Jake Goebbert,X,SD,51,101,12,22,1,3,1,10,12,32,2,1,.218,.313,.317,.630,115,2,0,0,0,0.74,5,32,3,.309,.099,101.00,.375,.104,.278
Cameron Maybin,CF,SD,95,251,24,59,13,4,1,15,19,56,4,3,.235,.290,.331,.621,272,1,0,1,8,1.54,18,83,2,.297,.096,251.00,.339,.070,.206
Jedd Gyorko,2B,SD,111,400,37,84,17,1,10,51,36,100,3,2,.210,.280,.333,.613,443,4,0,3,8,1.09,28,133,1,.253,.123,40.00,.360,.081,.226
Will Venable,CF,SD,146,406,47,91,13,2,8,33,33,107,11,6,.224,.288,.325,.613,448,4,3,2,6,1.15,23,132,2,.283,.101,50.75,.308,.074,.239
Chris Denorfia,RF,SD,89,248,25,60,10,3,1,16,18,51,8,1,.242,.293,.319,.612,268,0,2,0,4,1.90,14,79,0,.301,.077,248.00,.353,.067,.190
Alexi Amarista,SS,SD,148,423,39,101,13,2,5,40,29,69,12,1,.239,.286,.314,.600,466,1,8,5,6,1.24,20,133,5,.271,.076,84.60,.420,.062,.148
Carlos Quentin,LF,SD,50,130,9,23,6,0,4,18,17,33,0,0,.177,.284,.315,.599,155,4,0,4,5,0.86,10,41,0,.196,.138,32.50,.515,.110,.213
Everth Cabrera,SS,SD,90,357,36,83,13,1,3,20,20,86,18,8,.232,.272,.300,.572,391,1,9,4,5,2.72,17,107,0,.294,.067,119.00,.233,.051,.220
Chris Nelson,3B,SD,27,73,5,17,3,0,0,7,7,14,1,2,.233,.296,.274,.570,81,0,0,1,5,1.39,3,20,1,.283,.041,-.--,.500,.086,.173
Rymer Liriano,RF,SD,38,109,13,24,2,0,1,6,9,39,4,1,.220,.289,.266,.555,121,2,0,1,6,1.14,3,29,1,.329,.046,109.00,.231,.074,.322
Andrew Cashner,P,SD,23,35,3,6,1,1,0,2,1,14,0,0,.171,.194,.257,.451,42,0,6,0,0,2.50,2,9,0,.286,.086,-.--,.071,.024,.333
Tyson Ross,P,SD,32,56,6,10,1,0,0,3,3,22,0,0,.179,.230,.196,.426,63,1,2,1,0,2.38,1,11,0,.286,.018,-.--,.136,.048,.349
Irving Falu,2B,SD,11,20,0,3,0,0,0,0,3,4,1,0,.150,.261,.150,.411,23,0,0,0,1,12.00,0,3,1,.188,.000,-.--,.750,.130,.174
Brooks Conrad,2B,SD,13,30,2,3,1,0,1,2,3,14,0,0,.100,.176,.233,.409,34,0,0,1,0,0.56,2,7,0,.125,.133,30.00,.214,.088,.412
Kyle Blanks,1B,SD,5,10,1,2,0,0,0,0,0,3,0,0,.200,.200,.200,.400,10,0,0,0,0,0.25,0,2,0,.286,.000,-.--,.---,.000,.300
Ian Kennedy,P,SD,33,52,3,6,1,0,1,5,5,24,0,0,.115,.193,.192,.385,63,0,6,0,0,4.60,2,10,0,.185,.077,52.00,.208,.079,.381
Tim Stauffer,P,SD,44,7,0,1,0,0,0,0,0,2,0,0,.143,.143,.143,.286,8,0,1,0,0,4.00,0,1,0,.200,.000,-.--,.---,.000,.250
Jace Peterson,2B,SD,27,53,3,6,0,0,0,0,2,18,2,0,.113,.161,.113,.274,58,1,2,0,1,2.44,0,6,1,.171,.000,-.--,.111,.034,.310
Robbie Erlin,P,SD,13,18,0,2,0,0,0,1,1,6,0,0,.111,.158,.111,.269,19,0,0,0,0,4.00,0,2,0,.167,.000,-.--,.167,.053,.316
Jeff Francoeur,RF,SD,10,24,2,2,0,0,0,1,3,7,0,0,.083,.179,.083,.262,28,0,0,1,0,0.78,0,2,0,.111,.000,-.--,.429,.107,.250
Eric Stults,P,SD,32,48,1,4,1,0,0,1,1,18,0,0,.083,.102,.104,.206,53,0,4,0,1,2.33,1,5,0,.133,.021,-.--,.056,.019,.340
Jesse Hahn,P,SD,15,22,1,2,0,0,0,1,0,12,0,0,.091,.091,.091,.182,24,0,2,0,0,9.00,0,2,0,.200,.000,-.--,.---,.000,.500
Odrisamer Despaigne,P,SD,16,24,0,0,0,0,0,0,1,10,0,0,.000,.040,.000,.040,28,0,3,0,0,7.50,0,0,0,.000,.000,-.--,.100,.036,.357
R.J. Alvarez,P,SD,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Hector Ambriz,P,SD,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Joaquin Benoit,P,SD,53,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Blaine Boyer,P,SD,32,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Billy Buckner,P,SD,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Leonel Campos,P,SD,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Frank Garces,P,SD,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Troy Patton,P,SD,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Kevin Quackenbush,P,SD,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Huston Street,P,SD,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dale Thayer,P,SD,70,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Alex Torres,P,SD,70,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Nick Vincent,P,SD,63,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Joe Wieland,P,SD,4,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,3,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.667
