PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Robinson Cano,2B,SEA,157,595,77,187,37,2,14,82,61,68,10,3,.314,.382,.454,.836,665,6,0,3,19,1.66,53,270,20,.335,.139,42.50,.897,.092,.102
Michael Saunders,RF,SEA,78,231,38,63,11,3,8,34,26,59,4,5,.273,.341,.450,.791,263,0,2,4,2,0.89,22,104,1,.327,.177,28.88,.441,.099,.224
Kyle Seager,3B,SEA,159,590,71,158,27,4,25,96,52,118,7,5,.268,.334,.454,.788,654,8,1,3,12,0.76,56,268,3,.296,.186,23.60,.441,.080,.180
Logan Morrison,1B,SEA,99,336,41,88,20,0,11,38,24,59,5,2,.262,.315,.420,.735,365,3,0,2,9,0.89,31,141,1,.287,.158,30.54,.407,.066,.162
Chris Taylor,SS,SEA,47,136,16,39,8,0,0,9,11,39,5,2,.287,.347,.346,.693,151,2,1,1,3,0.76,8,47,0,.398,.059,-.--,.282,.073,.258
Dustin Ackley,LF,SEA,143,502,64,123,27,4,14,65,32,90,8,4,.245,.293,.398,.691,542,3,3,2,10,1.04,45,200,1,.273,.153,35.86,.356,.059,.166
Endy Chavez,RF,SEA,80,232,22,64,12,2,2,23,15,30,5,2,.276,.317,.371,.688,258,0,9,2,2,1.26,16,86,0,.307,.095,116.00,.500,.058,.116
Mike Zunino,C,SEA,131,438,51,87,20,2,22,60,17,158,0,3,.199,.254,.404,.658,476,17,0,4,12,0.67,44,177,1,.248,.205,19.91,.108,.036,.332
Brad Miller,SS,SEA,123,367,47,81,15,4,10,36,34,95,4,2,.221,.288,.365,.653,411,2,3,3,2,0.95,29,134,2,.268,.144,36.70,.358,.083,.231
Jesus Montero,DH,SEA,6,17,1,4,0,0,1,2,0,3,0,0,.235,.235,.412,.647,17,0,0,0,1,9.00,1,7,0,.231,.176,17.00,.---,.000,.176
