PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Gerardo Parra,LF,MIL,100,323,53,106,24,5,9,31,20,57,9,3,.328,.369,.517,.886,100,323,53,106,24,5,9,31,20,57,9,3,.328,.369,.517
Ryan Braun,RF,MIL,140,506,87,144,27,3,25,84,54,115,24,4,.285,.356,.498,.854,MIL,140,506,87,144,27,3,25,84,54,115,24,4,.285,.356
Michael Reed,RF,MIL,7,6,2,2,1,0,0,0,0,3,0,0,.333,.333,.500,.833,.854,MIL,7,6,2,2,1,0,0,0,0,3,0,0,.333
Khris Davis,LF,MIL,121,392,54,97,16,2,27,66,44,122,6,2,.247,.323,.505,.828,.500,.833,MIL,121,392,54,97,16,2,27,66,44,122,6,2
Adam Lind,1B,MIL,149,502,72,139,32,0,20,87,66,100,0,0,.277,.360,.460,.820,.323,.505,.828,MIL,149,502,72,139,32,0,20,87,66,100,0
Jason Rogers,X,MIL,86,152,22,45,6,2,4,16,15,34,0,0,.296,.367,.441,.808,.277,.360,.460,.820,MIL,86,152,22,45,6,2,4,16,15,34
Domingo Santana,CF,MIL,38,121,14,28,5,0,6,18,18,46,2,0,.231,.345,.421,.766,0,.296,.367,.441,.808,MIL,38,121,14,28,5,0,6,18,18
Carlos Gomez,CF,MIL,74,286,42,75,20,1,8,43,23,70,7,6,.262,.328,.423,.751,2,0,.231,.345,.421,.766,MIL,74,286,42,75,20,1,8,43
Michael Blazek,P,MIL,45,4,0,1,1,0,0,1,0,2,0,0,.250,.250,.500,.750,70,7,6,.262,.328,.423,.751,MIL,45,4,0,1,1,0,0
Aramis Ramirez,3B,MIL,81,279,25,69,18,0,11,42,16,42,1,0,.247,.295,.430,.725,0,2,0,0,.250,.250,.500,.750,MIL,81,279,25,69,18,0
Jonathan Lucroy,C,MIL,103,371,51,98,20,3,7,43,36,64,1,0,.264,.326,.391,.717,42,16,42,1,0,.247,.295,.430,.725,MIL,103,371,51,98,20
Elian Herrera,3B,MIL,83,256,29,62,18,0,7,33,18,72,3,1,.242,.290,.395,.685,7,43,36,64,1,0,.264,.326,.391,.717,MIL,83,256,29,62
Shane Peterson,LF,MIL,93,201,22,52,7,3,2,16,20,55,0,1,.259,.324,.353,.677,0,7,33,18,72,3,1,.242,.290,.395,.685,MIL,93,201,22
Scooter Gennett,2B,MIL,114,375,42,99,18,4,6,29,12,68,1,3,.264,.294,.381,.675,7,3,2,16,20,55,0,1,.259,.324,.353,.677,MIL,114,375
Hernan Perez,3B,MIL,90,230,13,62,15,2,1,21,4,48,4,1,.270,.281,.365,.646,99,18,4,6,29,12,68,1,3,.264,.294,.381,.675,MIL,90
Jean Segura,SS,MIL,142,560,57,144,16,5,6,50,13,93,25,6,.257,.281,.336,.617,13,62,15,2,1,21,4,48,4,1,.270,.281,.365,.646,MIL
Taylor Jungmann,P,MIL,21,37,2,10,2,0,0,0,1,12,0,0,.270,.289,.324,.613,560,57,144,16,5,6,50,13,93,25,6,.257,.281,.336,.617
Logan Schafer,CF,MIL,69,122,17,27,6,1,1,6,12,29,1,0,.221,.299,.311,.610,21,37,2,10,2,0,0,0,1,12,0,0,.270,.289,.324
Martin Maldonado,C,MIL,79,229,19,48,7,0,4,22,23,65,0,1,.210,.282,.293,.575,MIL,69,122,17,27,6,1,1,6,12,29,1,0,.221,.299
Hector Gomez,2B,MIL,66,127,15,23,11,2,1,7,3,40,0,0,.181,.212,.323,.535,.610,MIL,79,229,19,48,7,0,4,22,23,65,0,1,.210
Kyle Lohse,P,MIL,41,39,3,9,1,0,0,1,0,10,0,0,.231,.231,.256,.487,.293,.575,MIL,66,127,15,23,11,2,1,7,3,40,0,0
Luis Sardinas,2B,MIL,36,97,8,19,0,1,0,4,6,25,0,0,.196,.240,.216,.456,.212,.323,.535,MIL,41,39,3,9,1,0,0,1,0,10,0
Nevin Ashley,C,MIL,12,20,2,2,1,0,0,1,0,8,0,0,.100,.143,.150,.293,.231,.231,.256,.487,MIL,36,97,8,19,0,1,0,4,6,25
Jimmy Nelson,P,MIL,30,55,1,6,1,0,0,2,1,34,0,0,.109,.125,.127,.252,0,.196,.240,.216,.456,MIL,12,20,2,2,1,0,0,1,0
Juan Centeno,C,MIL,10,21,0,1,1,0,0,0,2,7,0,0,.048,.130,.095,.225,0,0,.100,.143,.150,.293,MIL,30,55,1,6,1,0,0,2
Mike Fiers,P,MIL,21,30,0,3,0,0,0,0,0,12,0,0,.100,.100,.100,.200,21,30,0,3,0,0,0,0,0,12,0,0,.100,.100,.100
Luis Jimenez,X,MIL,15,15,1,1,0,0,0,0,1,6,0,0,.067,.125,.067,.192,MIL,15,15,1,1,0,0,0,0,1,6,0,0,.067,.125
Matt Garza,P,MIL,26,39,0,3,0,0,0,0,1,21,0,1,.077,.100,.077,.177,.192,MIL,26,39,0,3,0,0,0,0,1,21,0,1,.077
Zach Davies,P,MIL,6,13,1,1,0,0,0,0,0,3,0,0,.077,.077,.077,.154,.077,.177,MIL,6,13,1,1,0,0,0,0,0,3,0,0
Wily Peralta,P,MIL,20,30,1,1,0,0,0,1,3,15,0,0,.033,.121,.033,.154,.077,.077,.154,MIL,20,30,1,1,0,0,0,1,3,15,0
Yadiel Rivera,2B,MIL,7,14,0,1,0,0,0,0,0,4,0,0,.071,.071,.071,.142,.033,.121,.033,.154,MIL,7,14,0,1,0,0,0,0,0,4
Yhonathan Barrios,P,MIL,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,.071,.071,.071,.142,MIL,5,0,0,0,0,0,0,0,0
