PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Phillippe Aumont,P,PHI,1,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Andres Blanco,X,PHI,106,233,32,68,22,3,7,25,21,44,1,1,.292,.360,.502,.862,261,4,3,0,11,1.34,32,117,0,.335,.210,33.29,.477,.080,.169
Maikel Franco,3B,PHI,80,304,45,85,22,1,14,50,26,52,1,0,.280,.343,.497,.840,335,4,0,1,8,1.10,37,151,2,.297,.217,21.71,.500,.078,.155
Alec Asher,P,PHI,7,6,0,2,1,0,0,0,0,3,0,0,.333,.333,.500,.833,6,0,0,0,0,0.00,1,3,0,.667,.167,-.--,.---,.000,.500
Aaron Altherr,LF,PHI,39,137,25,33,11,4,5,22,16,41,6,2,.241,.338,.489,.827,161,5,1,2,3,0.94,20,67,0,.301,.248,27.40,.390,.099,.255
Odubel Herrera,CF,PHI,147,495,64,147,30,3,8,41,28,129,16,8,.297,.344,.418,.762,537,8,5,1,6,1.08,41,207,0,.387,.121,61.88,.217,.052,.240
Ryan Howard,1B,PHI,129,467,53,107,29,1,23,77,27,138,0,0,.229,.277,.443,.720,503,5,0,3,11,0.96,53,207,2,.272,.214,20.30,.196,.054,.274
Jeff Francoeur,RF,PHI,119,326,34,84,16,1,13,45,13,77,0,2,.258,.286,.433,.719,343,1,0,3,10,0.98,30,141,0,.297,.175,25.08,.169,.038,.224
Darin Ruf,1B,PHI,106,268,30,63,12,0,12,39,21,69,1,0,.235,.300,.414,.714,297,5,0,3,7,1.21,24,111,0,.268,.179,22.33,.304,.071,.232
Brian Bogusevic,RF,PHI,22,58,9,15,3,0,2,5,3,21,2,0,.259,.295,.414,.709,61,0,0,0,1,2.14,5,24,0,.371,.155,29.00,.143,.049,.344
Ben Revere,LF,PHI,96,366,49,109,13,6,1,26,19,36,24,5,.298,.334,.374,.708,388,1,2,0,4,1.97,20,137,0,.328,.077,366.00,.528,.049,.093
Cody Asche,LF,PHI,129,425,41,104,22,3,12,39,26,111,1,2,.245,.294,.395,.689,456,4,0,1,4,0.82,37,168,3,.304,.151,35.42,.234,.057,.243
Cesar Hernandez,2B,PHI,127,405,57,110,20,4,1,35,40,86,19,5,.272,.339,.348,.687,452,2,4,1,6,1.68,25,141,1,.342,.077,405.00,.465,.088,.190
Cameron Rupp,C,PHI,81,270,24,63,9,1,9,28,24,71,0,1,.233,.301,.374,.675,299,3,0,2,8,0.86,19,101,5,.281,.141,30.00,.338,.080,.237
Justin De Fratus,P,PHI,61,3,0,1,0,0,0,0,0,1,0,0,.333,.333,.333,.666,3,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.333
Adam Loewen,P,PHI,20,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.666,3,0,0,0,1,2.00,0,1,0,.333,.000,-.--,.---,.000,.000
Freddy Galvis,SS,PHI,151,559,63,147,14,5,7,50,30,103,10,1,.263,.302,.343,.645,603,3,7,4,11,0.83,26,192,1,.309,.081,79.86,.291,.050,.171
Darnell Sweeney,X,PHI,37,85,9,15,4,1,3,11,13,27,0,2,.176,.286,.353,.639,98,0,0,0,1,0.95,8,30,0,.218,.176,28.33,.481,.133,.276
Domonic Brown,RF,PHI,63,189,19,43,6,1,5,25,14,36,3,1,.228,.284,.349,.633,204,1,0,0,2,1.04,12,66,0,.257,.122,37.80,.389,.069,.176
Chase Utley,2B,PHI,73,249,23,54,12,1,5,30,22,35,3,0,.217,.284,.333,.617,282,4,0,7,6,0.92,18,83,4,.227,.116,49.80,.629,.078,.124
Grady Sizemore,RF,PHI,39,98,4,24,5,0,0,6,6,23,0,0,.245,.288,.296,.584,104,0,0,0,2,1.22,5,29,0,.320,.051,-.--,.261,.058,.221
Erik Kratz,X,PHI,12,22,3,5,2,0,0,2,1,3,0,0,.227,.261,.318,.579,23,0,0,0,0,0.75,2,7,0,.263,.091,-.--,.333,.043,.130
Carlos Ruiz,C,PHI,86,284,23,60,13,1,2,22,28,43,1,1,.211,.290,.285,.575,320,4,3,1,13,0.97,16,81,2,.242,.074,142.00,.651,.088,.134
David Buchanan,P,PHI,15,20,2,4,1,0,0,1,2,8,0,0,.200,.273,.250,.523,23,0,1,0,0,1.25,1,5,0,.333,.050,-.--,.250,.087,.348
Chase d'Arnaud,X,PHI,11,17,2,3,0,1,0,0,1,7,0,1,.176,.222,.294,.516,18,0,0,0,0,0.75,1,5,0,.300,.118,-.--,.143,.056,.389
Chad Billingsley,P,PHI,7,13,2,1,0,0,1,1,0,5,0,0,.077,.077,.308,.385,14,0,1,0,1,7.00,1,4,0,.000,.231,13.00,.---,.000,.357
Aaron Harang,P,PHI,29,48,4,8,1,0,0,0,1,18,0,0,.167,.184,.188,.372,58,0,9,0,2,30.00,1,9,0,.267,.021,-.--,.056,.017,.310
Kevin Correia,P,PHI,5,6,0,1,0,0,0,0,0,1,0,0,.167,.167,.167,.334,7,0,1,0,0,4.00,0,1,0,.200,.000,-.--,.---,.000,.143
Cole Hamels,P,PHI,20,39,2,6,1,0,0,0,0,15,0,0,.154,.154,.179,.333,43,0,4,0,1,3.40,1,7,0,.250,.026,-.--,.---,.000,.349
Sean O'Sullivan,P,PHI,13,20,2,2,1,0,0,0,1,10,0,0,.100,.143,.150,.293,23,0,2,0,0,1.50,1,3,0,.200,.050,-.--,.100,.043,.435
Jerad Eickhoff,P,PHI,8,14,1,2,0,0,0,2,0,7,0,0,.143,.143,.143,.286,16,0,2,0,0,6.00,0,2,0,.286,.000,-.--,.---,.000,.438
Severino Gonzalez,P,PHI,7,10,2,1,0,0,0,1,1,4,0,0,.100,.182,.100,.282,12,0,1,0,0,5.00,0,1,0,.167,.000,-.--,.250,.083,.333
Aaron Nola,P,PHI,13,23,0,2,0,0,0,1,1,16,0,0,.087,.125,.087,.212,26,0,2,0,0,7.00,0,2,0,.286,.000,-.--,.063,.038,.615
Adam Morgan,P,PHI,15,26,2,2,1,0,0,1,0,12,0,0,.077,.077,.115,.192,27,0,1,0,0,1.60,1,3,0,.143,.038,-.--,.---,.000,.444
Jerome Williams,P,PHI,33,31,0,2,1,0,0,1,1,14,0,0,.065,.094,.097,.191,36,0,4,0,0,2.17,1,3,0,.118,.032,-.--,.071,.028,.389
Elvis Araujo,P,PHI,40,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Jordan Danks,X,PHI,4,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Jake Diekman,P,PHI,41,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Luis Garcia,P,PHI,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Ken Giles,P,PHI,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jeanmar Gomez,P,PHI,65,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Dalier Hinojosa,P,PHI,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Cesar Jimenez,P,PHI,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dustin McGowan,P,PHI,14,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,3,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Colton Murray,P,PHI,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Hector Neris,P,PHI,32,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Nefi Ogando,P,PHI,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jonathan Papelbon,P,PHI,37,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Ken Roberts,P,PHI,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Seth Rosin,P,PHI,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
