PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Jarrett Parker,RF,SF,21,49,11,17,2,0,6,14,5,21,1,1,.347,.407,.755,1.162,54,0,0,0,1,2.67,8,37,0,.500,.408,8.17,.238,.093,.389
Buster Posey,C,SF,150,557,74,177,28,0,19,95,56,52,2,0,.318,.379,.470,.849,623,3,0,7,17,1.02,47,262,10,.320,.153,29.32,1.077,.090,.083
Brandon Belt,1B,SF,137,492,73,138,33,5,18,68,56,147,9,3,.280,.356,.478,.834,556,4,0,4,3,0.82,56,235,2,.363,.197,27.33,.381,.101,.264
Joe Panik,2B,SF,100,382,59,119,27,2,8,37,38,42,3,2,.312,.378,.455,.833,432,5,3,4,7,0.97,37,174,0,.330,.144,47.75,.905,.088,.097
Hunter Pence,RF,SF,52,207,30,57,13,1,9,40,16,48,4,1,.275,.327,.478,.805,223,0,0,0,8,1.55,23,99,0,.320,.203,23.00,.333,.072,.215
Brandon Crawford,SS,SF,143,507,65,130,33,4,21,84,39,119,6,4,.256,.321,.462,.783,561,11,0,4,18,1.32,58,234,9,.294,.205,24.14,.328,.070,.212
Gregor Blanco,CF,SF,115,327,59,95,19,3,5,26,40,59,13,5,.291,.368,.413,.781,372,2,0,3,3,1.12,27,135,7,.338,.122,65.40,.678,.108,.159
Marlon Byrd,RF,SF,39,147,12,40,12,2,4,31,6,44,0,0,.272,.301,.463,.764,156,1,0,2,4,1.41,18,68,1,.356,.190,36.75,.136,.038,.282
Matt Duffy,3B,SF,149,573,77,169,28,6,12,77,30,96,12,0,.295,.334,.428,.762,612,5,2,2,22,1.56,46,245,0,.336,.133,47.75,.313,.049,.157
Kelby Tomlinson,2B,SF,54,178,23,54,6,3,2,20,14,40,5,4,.303,.358,.404,.762,193,1,0,0,3,2.23,11,72,0,.382,.101,89.00,.350,.073,.207
Alejandro De Aza,LF,SF,24,61,12,16,4,1,0,3,12,14,2,2,.262,.387,.361,.748,75,1,0,1,3,0.68,5,22,0,.333,.098,-.--,.857,.160,.187
Madison Bumgarner,P,SF,36,77,9,19,2,0,5,9,3,27,0,0,.247,.275,.468,.743,81,0,1,0,1,1.00,7,36,0,.311,.221,15.40,.111,.037,.333
Norichika Aoki,LF,SF,93,355,42,102,12,3,5,26,30,25,14,5,.287,.353,.380,.733,392,6,1,0,8,2.01,20,135,0,.298,.093,71.00,1.200,.077,.064
Jackson Williams,C,SF,7,10,1,2,1,0,0,1,4,1,1,0,.200,.429,.300,.729,14,0,0,0,0,2.50,1,3,0,.222,.100,-.--,4.000,.286,.071
Andrew Susac,C,SF,52,133,14,29,7,2,3,14,14,43,0,0,.218,.297,.368,.665,148,1,0,0,2,1.10,12,49,0,.299,.150,44.33,.326,.095,.291
Juan Carlos Perez,X,SF,22,39,5,11,3,0,0,2,1,6,1,0,.282,.300,.359,.659,40,0,0,0,1,1.75,3,14,0,.333,.077,-.--,.167,.025,.150
Angel Pagan,CF,SF,133,512,55,134,21,3,3,37,32,93,12,4,.262,.303,.332,.635,551,1,0,6,12,0.97,27,170,0,.310,.070,170.67,.344,.058,.169
Justin Maxwell,RF,SF,100,249,26,52,8,2,7,26,20,76,2,1,.209,.275,.341,.616,274,3,1,1,4,0.98,17,85,1,.269,.133,35.57,.263,.073,.277
Trevor Brown,C,SF,13,39,1,9,3,0,0,5,3,8,1,1,.231,.279,.308,.587,43,0,0,1,0,2.29,3,12,0,.281,.077,-.--,.375,.070,.186
