PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Tony Cingrani,P,CIN,65,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Michael Lorenzen,P,CIN,36,5,1,1,0,0,1,3,0,2,0,0,.200,.200,.800,1.000,5,0,0,0,0,1.00,1,4,0,.000,.600,5.00,.---,.000,.400
Joey Votto,1B,CIN,158,556,101,181,34,2,29,97,108,120,8,1,.326,.434,.550,.984,677,5,0,8,16,1.21,65,306,15,.366,.225,19.17,.900,.160,.177
Jay Bruce,RF,CIN,97,370,60,98,22,6,25,80,27,83,4,2,.265,.316,.559,.875,402,2,0,3,11,0.88,53,207,3,.275,.295,14.80,.325,.067,.206
Steve Selsky,RF,CIN,24,51,9,16,2,0,2,7,2,22,1,0,.314,.340,.471,.811,54,0,1,0,1,2.50,4,24,0,.519,.157,25.50,.091,.037,.407
Adam Duvall,LF,CIN,150,552,85,133,31,6,33,103,41,164,6,5,.241,.297,.498,.795,608,6,0,8,7,0.66,70,275,1,.275,.257,16.73,.250,.067,.270
Jose Peraza,SS,CIN,72,241,25,78,8,2,3,25,7,33,21,10,.324,.352,.411,.763,256,5,0,3,3,0.87,13,99,0,.361,.087,80.33,.212,.027,.129
Scott Schebler,RF,CIN,82,257,36,68,12,2,9,40,19,59,2,4,.265,.330,.432,.762,282,6,0,0,5,1.55,23,111,2,.312,.167,28.56,.322,.067,.209
Hernan Iribarren,X,CIN,24,45,6,14,0,3,0,2,0,11,1,0,.311,.311,.444,.755,45,0,0,0,2,19.00,3,20,0,.412,.133,-.--,.---,.000,.244
Brandon Phillips,2B,CIN,141,550,74,160,34,1,11,64,18,68,14,8,.291,.320,.416,.736,584,8,2,6,17,1.13,46,229,3,.312,.125,50.00,.265,.031,.116
Zack Cozart,SS,CIN,121,464,67,117,28,2,16,50,37,84,4,1,.252,.308,.425,.733,508,2,1,4,9,0.76,46,197,3,.274,.172,29.00,.440,.073,.165
Eugenio Suarez,3B,CIN,159,565,78,140,25,2,21,70,51,155,11,5,.248,.317,.411,.728,627,8,0,3,10,0.83,48,232,0,.304,.163,26.90,.329,.081,.247
Tucker Barnhart,C,CIN,115,377,34,97,23,1,7,51,36,72,1,0,.257,.323,.379,.702,420,2,2,3,12,1.27,31,143,8,.299,.122,53.86,.500,.086,.171
Billy Hamilton,CF,CIN,119,411,69,107,19,3,3,17,36,93,58,8,.260,.321,.343,.664,460,1,11,1,5,0.97,25,141,0,.329,.083,137.00,.387,.078,.202
