PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Jose Martinez,X,STL,12,16,4,7,1,0,0,1,2,1,0,0,.438,.500,.500,1.000,18,0,0,0,0,1.67,1,8,0,.467,.063,-.--,2.000,.111,.056
Matt Carpenter,3B,STL,129,473,81,128,36,6,21,68,81,108,0,4,.271,.380,.505,.885,566,5,3,4,4,0.67,63,239,6,.307,.235,22.52,.750,.143,.191
Aledmys Diaz,SS,STL,111,404,71,121,28,3,17,65,41,60,4,4,.300,.369,.510,.879,460,7,2,6,10,0.93,48,206,6,.312,.210,23.76,.683,.089,.130
Eric Fryer,C,STL,24,38,7,14,2,0,0,5,3,7,0,1,.368,.415,.421,.836,41,0,0,0,0,1.13,2,16,0,.452,.053,-.--,.429,.073,.171
Jedd Gyorko,2B,STL,128,400,58,97,9,1,30,59,37,96,0,0,.243,.306,.495,.801,438,0,0,1,11,1.02,40,198,1,.244,.253,13.33,.385,.084,.219
Stephen Piscotty,RF,STL,153,582,86,159,35,3,22,85,51,133,7,5,.273,.343,.457,.800,649,12,1,2,14,0.99,60,266,0,.319,.184,26.46,.383,.079,.205
Yadier Molina,C,STL,147,534,56,164,38,1,8,58,39,63,3,2,.307,.360,.427,.787,581,6,0,2,22,1.24,47,228,1,.335,.120,66.75,.619,.067,.108
Brandon Moss,1B,STL,128,413,66,93,19,2,28,67,39,141,1,0,.225,.300,.484,.784,464,7,0,5,8,0.51,49,200,3,.261,.259,14.75,.277,.084,.304
Matt Holliday,LF,STL,110,382,48,94,20,1,20,62,35,71,0,0,.246,.322,.461,.783,426,8,0,1,9,1.34,41,176,1,.253,.215,19.10,.493,.082,.167
Matt Adams,1B,STL,118,297,37,74,18,0,16,54,25,81,0,1,.249,.309,.471,.780,327,2,0,3,5,0.63,34,140,1,.286,.222,18.56,.309,.076,.248
Jeremy Hazelbaker,LF,STL,114,200,35,47,7,3,12,28,18,64,5,2,.235,.295,.480,.775,224,0,4,2,1,1.32,22,96,2,.278,.245,16.67,.281,.080,.286
Luke Weaver,P,STL,9,13,1,5,0,0,0,0,0,4,0,0,.385,.385,.385,.770,13,0,0,0,0,3.00,0,5,0,.556,.000,-.--,.---,.000,.308
Randal Grichuk,CF,STL,132,446,66,107,29,3,24,68,28,141,5,4,.240,.289,.480,.769,478,3,0,1,9,0.81,56,214,0,.294,.240,18.58,.199,.059,.295
Tommy Pham,CF,STL,78,159,26,36,7,0,9,17,20,71,2,2,.226,.324,.440,.764,183,3,1,0,3,1.21,16,70,1,.342,.214,17.67,.282,.109,.388
Greg Garcia,3B,STL,99,214,33,59,11,0,3,17,38,50,1,1,.276,.393,.369,.762,257,4,0,1,3,1.47,14,79,4,.346,.093,71.33,.760,.148,.195
Jhonny Peralta,3B,STL,82,289,37,75,17,1,8,29,20,56,0,0,.260,.307,.408,.715,313,1,0,3,5,0.89,26,118,0,.294,.149,36.12,.357,.064,.179
Adam Wainwright,P,STL,34,62,6,13,7,1,2,18,2,17,0,0,.210,.234,.452,.686,69,0,5,0,1,1.47,10,28,0,.256,.242,31.00,.118,.029,.246
Kolten Wong,2B,STL,121,313,39,75,7,7,5,23,34,52,7,0,.240,.327,.355,.682,361,9,0,5,3,1.01,19,111,2,.268,.115,62.60,.654,.094,.144
Carlos Martinez,P,STL,33,59,5,14,1,0,0,6,0,13,0,0,.237,.246,.254,.500,65,1,4,1,1,3.11,1,15,0,.298,.017,-.--,.---,.000,.200
Alberto Rosario,C,STL,20,38,3,7,2,0,0,2,2,5,0,0,.184,.225,.237,.462,41,0,1,0,2,2.00,2,9,0,.212,.053,-.--,.400,.049,.122
Ruben Tejada,3B,STL,23,34,6,6,2,0,0,3,2,8,0,0,.176,.225,.235,.460,40,1,0,3,1,0.77,2,8,0,.207,.059,-.--,.250,.050,.200
Carson Kelly,C,STL,10,13,1,2,1,0,0,1,0,2,0,0,.154,.214,.231,.445,14,1,0,0,0,2.00,1,3,0,.182,.077,-.--,.---,.000,.143
Brayan Pena,X,STL,9,13,0,2,1,0,0,0,1,2,0,0,.154,.214,.231,.445,14,0,0,0,0,3.50,1,3,0,.182,.077,-.--,.500,.071,.143
Jaime Garcia,P,STL,32,41,3,7,0,0,0,4,2,17,0,0,.171,.205,.171,.376,51,0,7,1,0,2.57,0,7,0,.280,.000,-.--,.118,.039,.333
Mike Leake,P,STL,34,49,3,7,1,0,0,4,3,19,0,0,.143,.192,.163,.355,55,0,3,0,3,0.86,1,8,0,.233,.020,-.--,.158,.055,.345
Alex Reyes,P,STL,12,14,0,1,0,0,0,1,0,5,0,0,.071,.071,.071,.142,15,0,1,0,1,2.00,0,1,0,.111,.000,-.--,.---,.000,.333
Michael Wacha,P,STL,27,39,1,1,0,0,0,0,3,22,0,0,.026,.095,.026,.121,45,0,3,0,1,5.33,0,1,0,.059,.000,-.--,.136,.067,.489
Matt Bowman,P,STL,59,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,1,0,0,1.00,0,0,0,.---,.000,-.--,.---,.000,.500
Jonathan Broxton,P,STL,66,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Zach Duke,P,STL,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dean Kiekhefer,P,STL,26,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Tyler Lyons,P,STL,30,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.500
Seth Maness,P,STL,29,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Mike Mayers,P,STL,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Michael McKenry,X,STL,3,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,1,0,0,1.00,0,0,0,.---,.000,-.--,.---,.000,.500
Seunghwan Oh,P,STL,76,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Trevor Rosenthal,P,STL,45,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Kevin Siegrist,P,STL,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Miguel Socolovich,P,STL,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sam Tuivailala,P,STL,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jerome Williams,P,STL,11,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.500
