PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Hector Rondon,P,CHC,61,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
Rene Rivera,C,CHC,20,44,8,15,5,0,2,12,5,16,0,0,.341,.408,.591,.999,50,0,1,0,1,0.56,7,26,0,.500,.250,22.00,.313,.100,.320
Kris Bryant,3B,CHC,151,549,111,162,38,4,29,73,95,128,7,5,.295,.409,.537,.946,665,15,0,6,8,0.83,71,295,5,.334,.242,18.93,.742,.143,.192
Anthony Rizzo,1B,CHC,157,572,99,156,32,3,32,109,91,90,10,4,.273,.392,.507,.899,691,24,0,4,21,1.01,67,290,11,.273,.234,17.88,1.011,.132,.130
Tommy La Stella,X,CHC,73,125,18,36,8,0,5,22,20,18,0,0,.288,.389,.472,.861,151,2,0,2,3,1.09,13,59,1,.298,.184,25.00,1.111,.132,.119
Willson Contreras,C,CHC,117,377,50,104,21,0,21,74,45,98,5,4,.276,.356,.499,.855,428,3,1,2,13,1.74,42,188,2,.319,.223,17.95,.459,.105,.229
Ian Happ,CF,CHC,115,364,62,92,17,3,24,68,39,129,8,4,.253,.328,.514,.842,413,4,2,4,12,1.07,44,187,5,.316,.261,15.17,.302,.094,.312
Miguel Montero,C,CHC,44,98,12,28,3,0,4,8,11,24,1,0,.286,.366,.439,.805,112,2,0,1,3,0.81,7,43,1,.338,.153,24.50,.458,.098,.214
Javier Baez,2B,CHC,145,469,75,128,24,2,23,75,30,144,10,3,.273,.317,.480,.797,508,1,6,2,10,1.25,49,225,15,.345,.207,20.39,.208,.059,.283
Albert Almora,CF,CHC,132,299,39,89,18,1,8,46,19,53,1,0,.298,.338,.445,.783,323,0,3,2,8,1.19,27,133,1,.338,.147,37.38,.358,.059,.164
Kyle Schwarber,LF,CHC,129,422,67,89,16,1,30,59,59,150,1,1,.211,.315,.467,.782,486,5,0,0,6,0.78,47,197,1,.244,.256,14.07,.393,.121,.309
Alex Avila,C,CHC,35,92,11,22,2,1,3,17,19,40,0,0,.239,.369,.380,.749,112,0,1,0,4,1.82,6,35,0,.388,.141,30.67,.475,.170,.357
Jon Jay,LF,CHC,141,379,65,112,18,3,2,34,37,80,6,2,.296,.374,.375,.749,433,12,3,2,11,1.53,23,142,3,.368,.079,189.50,.463,.085,.185
Addison Russell,SS,CHC,110,352,52,84,21,3,12,43,29,91,2,1,.239,.304,.418,.722,385,4,0,0,5,0.84,36,147,5,.289,.179,29.33,.319,.075,.236
Jason Heyward,RF,CHC,126,432,59,112,15,4,11,59,41,67,4,4,.259,.326,.389,.715,481,3,2,2,8,1.22,30,168,1,.284,.130,39.27,.612,.085,.139
Ben Zobrist,2B,CHC,128,435,58,101,20,3,12,50,54,71,2,2,.232,.318,.375,.693,496,2,2,3,13,1.23,35,163,2,.251,.143,36.25,.761,.109,.143
Victor Caratini,X,CHC,31,59,6,15,3,0,1,2,4,13,0,0,.254,.333,.356,.689,66,3,0,0,3,4.17,4,21,1,.311,.102,59.00,.308,.061,.197
Rob Zastryzny,P,CHC,4,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.666,3,0,0,0,0,1.00,0,1,0,.333,.000,-.--,.---,.000,.000
Leonys Martin,CF,CHC,15,13,2,2,1,0,0,1,3,4,1,0,.154,.313,.231,.544,16,0,0,0,0,1.33,1,3,0,.222,.077,-.--,.750,.188,.250
Taylor Davis,X,CHC,8,13,1,3,1,0,0,1,0,4,0,0,.231,.231,.308,.539,13,0,0,0,0,2.00,1,4,0,.333,.077,-.--,.---,.000,.308
Matt Szczur,X,CHC,15,19,2,4,1,0,0,3,2,4,0,0,.211,.273,.263,.536,23,0,1,1,0,0.63,1,5,0,.250,.053,-.--,.500,.087,.174
Jeimer Candelario,3B,CHC,11,33,2,5,2,0,1,3,1,12,0,0,.152,.222,.303,.525,36,2,0,0,1,0.60,3,10,0,.200,.152,33.00,.083,.028,.333
Mike Montgomery,P,CHC,44,27,5,5,1,0,1,3,0,10,0,0,.185,.185,.333,.518,30,0,3,0,0,14.00,2,9,0,.250,.148,27.00,.---,.000,.333
Mike Freeman,SS,CHC,15,25,3,4,2,0,0,0,2,8,0,0,.160,.222,.240,.462,27,0,0,0,1,1.60,2,6,0,.235,.080,-.--,.250,.074,.296
Jon Lester,P,CHC,32,54,5,8,3,0,1,6,4,26,1,0,.148,.203,.259,.462,65,0,6,1,0,4.40,4,14,0,.250,.111,54.00,.154,.062,.400
Brett Anderson,P,CHC,6,7,0,1,0,0,0,1,1,3,0,0,.143,.250,.143,.393,8,0,0,0,0,3.00,0,1,0,.250,.000,-.--,.333,.125,.375
Jake Arrieta,P,CHC,32,61,2,8,0,1,1,5,1,32,0,0,.131,.145,.213,.358,64,0,2,0,0,1.56,2,13,0,.250,.082,61.00,.031,.016,.500
John Lackey,P,CHC,32,53,2,7,1,0,0,1,3,23,1,1,.132,.179,.151,.330,61,0,5,0,0,6.00,1,8,0,.233,.019,-.--,.130,.049,.377
Felix Pena,P,CHC,25,3,0,0,0,0,0,0,1,1,0,0,.000,.250,.000,.250,4,0,0,0,0,2.00,0,0,0,.000,.000,-.--,1.000,.250,.250
Mark Zagunis,RF,CHC,7,14,0,0,0,0,0,1,4,6,2,0,.000,.222,.000,.222,18,0,0,0,0,1.67,0,0,0,.000,.000,-.--,.667,.222,.333
Jose Quintana,P,CHC,14,22,2,2,0,0,0,3,1,15,0,0,.091,.130,.091,.221,29,0,6,0,0,10.00,0,2,0,.286,.000,-.--,.067,.034,.517
Kyle Hendricks,P,CHC,25,50,3,5,1,0,0,5,0,28,0,0,.100,.100,.120,.220,51,0,1,0,0,2.00,1,6,0,.227,.020,-.--,.---,.000,.549
Eddie Butler,P,CHC,13,15,0,1,0,0,0,0,1,6,0,0,.067,.125,.067,.192,19,0,3,0,0,2.67,0,1,0,.111,.000,-.--,.167,.053,.316
Wade Davis,P,CHC,59,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brian Duensing,P,CHC,68,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,4,0,0,0,1,1.00,0,0,0,.000,.000,-.--,.---,.000,.750
Carl Edwards,P,CHC,74,1,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Dylan Floro,P,CHC,3,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,1,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Seth Frankoff,P,CHC,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Justin Grimm,P,CHC,50,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,3,0,0,0,1,2.00,0,0,0,.000,.000,-.--,.---,.000,.333
