PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Derek Holland,P,CWS,29,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Jose Abreu,1B,CWS,156,621,95,189,43,6,33,102,35,119,3,0,.304,.354,.552,.906,675,15,0,4,21,1.01,82,343,6,.330,.248,18.82,.294,.052,.176
Rob Brantly,C,CWS,14,31,4,9,1,0,2,5,3,14,0,0,.290,.389,.516,.905,36,2,0,0,0,0.33,3,16,0,.467,.226,15.50,.214,.083,.389
Avisail Garcia,RF,CWS,136,518,75,171,27,5,18,80,33,111,5,3,.330,.380,.506,.886,561,9,0,1,14,1.35,50,262,5,.392,.176,28.78,.297,.059,.198
Nicky Delmonico,LF,CWS,43,141,25,37,4,0,9,23,23,31,2,0,.262,.373,.482,.855,166,2,0,0,5,0.97,13,68,0,.277,.220,15.67,.742,.139,.187
Carlos Rodon,P,CWS,12,6,0,2,1,0,0,2,0,2,0,0,.333,.333,.500,.833,7,0,1,0,0,0.50,1,3,0,.500,.167,-.--,.---,.000,.286
Melky Cabrera,LF,CWS,98,397,54,117,17,0,13,56,25,52,0,0,.295,.336,.436,.772,428,1,2,3,7,1.35,30,173,1,.310,.141,30.54,.481,.058,.121
Todd Frazier,3B,CWS,81,280,41,58,15,0,16,44,48,71,4,3,.207,.328,.432,.760,335,4,0,3,4,0.66,31,121,1,.214,.225,17.50,.676,.143,.212
Yoan Moncada,2B,CWS,54,199,31,46,8,2,8,22,29,74,3,2,.231,.338,.412,.750,231,3,0,0,0,1.08,18,82,0,.325,.181,24.88,.392,.126,.320
Leury Garcia,CF,CWS,87,300,41,81,15,2,9,33,13,69,8,5,.270,.316,.423,.739,326,8,3,2,4,2.16,26,127,0,.321,.153,33.33,.188,.040,.212
Yolmer Sanchez,2B,CWS,141,484,63,129,19,8,12,59,35,111,8,9,.267,.319,.413,.732,534,4,7,4,10,1.04,39,200,2,.321,.147,40.33,.315,.066,.208
Omar Narvaez,C,CWS,90,253,23,70,10,0,2,14,38,45,0,0,.277,.373,.340,.713,295,1,3,0,8,1.10,12,86,1,.330,.063,126.50,.844,.129,.153
