PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Erik Kratz,X,NYY,4,2,0,2,1,0,0,2,0,0,0,0,1.000,1.000,1.500,2.500,2,0,0,0,0,-.--,1,3,0,1.000,.500,-.--,.---,.000,.000
Miguel Andujar,DH,NYY,5,7,0,4,2,0,0,4,1,0,1,0,.571,.625,.857,1.482,8,0,0,0,0,3.00,2,6,0,.571,.286,-.--,.---,.125,.000
Ji Man Choi,1B,NYY,6,15,2,4,1,0,2,5,2,5,0,0,.267,.333,.733,1.066,18,0,0,1,1,6.00,3,11,0,.222,.467,7.50,.400,.111,.278
Aaron Judge,RF,NYY,155,542,128,154,24,3,52,114,127,208,9,4,.284,.422,.627,1.049,678,5,0,4,15,0.86,79,340,11,.357,.343,10.42,.611,.187,.307
Gary Sanchez,C,NYY,122,471,79,131,20,0,33,90,40,120,2,1,.278,.345,.531,.876,525,10,0,4,9,1.06,53,250,1,.304,.253,14.27,.333,.076,.229
Aaron Hicks,CF,NYY,88,301,54,80,18,0,15,52,51,67,10,5,.266,.372,.475,.847,361,3,1,5,8,1.05,33,143,0,.290,.209,20.07,.761,.141,.186
Garrett Cooper,1B,NYY,13,43,3,14,5,1,0,6,1,12,0,0,.326,.333,.488,.821,45,0,0,1,0,0.64,6,21,0,.438,.163,-.--,.083,.022,.267
Didi Gregorius,SS,NYY,136,534,73,153,27,0,25,87,25,70,3,1,.287,.318,.478,.796,570,3,0,7,7,0.67,52,255,1,.287,.191,21.36,.357,.044,.123
Starlin Castro,2B,NYY,112,443,66,133,18,1,16,63,23,93,2,0,.300,.338,.454,.792,473,4,0,3,9,1.47,35,201,1,.347,.153,27.69,.247,.049,.197
Todd Frazier,3B,NYY,66,194,33,43,4,1,11,32,35,54,0,0,.222,.365,.423,.788,241,10,0,2,6,0.60,16,82,1,.244,.201,17.64,.648,.145,.224
Brett Gardner,LF,NYY,151,594,96,157,26,4,21,63,72,122,23,5,.264,.350,.428,.778,682,8,5,3,4,0.99,51,254,2,.300,.163,28.29,.590,.106,.179
Chase Headley,3B,NYY,147,512,77,140,30,1,12,61,60,132,9,2,.273,.352,.406,.758,586,6,1,7,10,1.07,43,208,2,.341,.133,42.67,.455,.102,.225
Jacoby Ellsbury,CF,NYY,112,356,65,94,20,4,7,39,41,63,22,3,.264,.348,.402,.750,409,5,2,0,7,1.12,31,143,3,.304,.138,50.86,.651,.100,.154
Matt Holliday,DH,NYY,105,373,50,86,18,0,19,64,46,114,1,0,.231,.316,.432,.748,427,3,0,5,14,1.23,37,161,0,.273,.201,19.63,.404,.108,.267
Clint Frazier,LF,NYY,39,134,16,31,9,4,4,17,7,43,1,0,.231,.268,.448,.716,142,0,0,1,2,0.79,17,60,0,.307,.216,33.50,.163,.049,.303
Greg Bird,1B,NYY,48,147,20,28,7,0,9,28,19,42,0,0,.190,.288,.422,.710,170,2,0,2,2,0.58,16,62,0,.194,.231,16.33,.452,.112,.247
Tyler Austin,1B,NYY,20,40,4,9,2,0,2,8,4,17,0,0,.225,.283,.425,.708,46,0,0,2,1,0.60,4,17,0,.304,.200,20.00,.235,.087,.370
Ronald Torreyes,2B,NYY,108,315,35,92,15,1,3,36,11,43,2,0,.292,.314,.375,.689,336,1,5,4,9,1.30,19,118,0,.326,.083,105.00,.256,.033,.128
Michael Pineda,P,NYY,17,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.666,4,0,1,0,0,1.00,0,1,0,1.000,.000,-.--,.---,.000,.500
Chris Carter,1B,NYY,62,184,20,37,5,1,8,26,20,76,0,0,.201,.284,.370,.654,208,2,0,2,5,0.52,14,68,0,.284,.168,23.00,.263,.096,.365
