PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Antonio Bastardo,P,PIT,9,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Jacob Stallings,C,PIT,5,14,3,5,2,0,0,3,2,2,0,0,.357,.438,.500,.938,16,0,0,0,0,1.33,2,7,1,.417,.143,-.--,1.000,.125,.125
Andrew McCutchen,CF,PIT,156,570,94,159,30,2,28,88,73,116,11,5,.279,.363,.486,.849,650,4,0,3,10,0.94,60,277,5,.305,.207,20.36,.629,.112,.178
Josh Bell,1B,PIT,159,549,75,140,26,6,26,90,66,117,2,4,.255,.334,.466,.800,620,1,0,4,15,1.47,58,256,4,.278,.211,21.12,.564,.106,.189
Christopher Bostick,X,PIT,20,27,6,8,2,0,0,1,4,9,0,1,.296,.406,.370,.776,32,1,0,0,0,1.00,2,10,0,.444,.074,-.--,.444,.125,.281
Josh Harrison,2B,PIT,128,486,66,132,26,2,16,47,28,90,12,4,.272,.339,.432,.771,542,23,2,3,5,0.77,44,210,2,.303,.160,30.38,.311,.052,.166
Jhan Marinez,P,PIT,24,4,0,1,1,0,0,0,0,3,0,0,.250,.250,.500,.750,4,0,0,0,0,-.--,1,2,0,1.000,.250,-.--,.---,.000,.750
Tyler Glasnow,P,PIT,18,17,1,5,0,0,0,3,4,7,0,0,.294,.455,.294,.749,23,1,1,0,0,6.00,0,5,0,.500,.000,-.--,.571,.174,.304
Adam Frazier,LF,PIT,121,406,55,112,20,6,6,53,36,57,9,5,.276,.344,.399,.743,454,8,1,3,9,1.32,32,162,2,.306,.123,67.67,.632,.079,.126
David Freese,3B,PIT,130,426,44,112,16,0,10,52,58,116,0,1,.263,.368,.371,.739,503,15,0,4,10,2.01,26,158,5,.336,.108,42.60,.500,.115,.231
Jordy Mercer,SS,PIT,145,502,52,128,24,5,14,58,51,88,0,4,.255,.326,.406,.732,558,3,0,2,16,1.06,43,204,13,.284,.151,35.86,.580,.091,.158
John Jaso,X,PIT,126,256,28,54,19,0,10,35,40,66,1,1,.211,.328,.402,.730,302,5,0,1,5,0.76,29,103,2,.243,.191,25.60,.606,.132,.219
Francisco Cervelli,C,PIT,81,265,31,66,13,2,5,31,32,65,0,2,.249,.342,.370,.712,304,6,0,1,7,1.50,20,98,0,.311,.121,53.00,.492,.105,.214
Starling Marte,LF,PIT,77,309,48,85,7,2,7,31,20,63,21,4,.275,.333,.379,.712,339,8,0,2,5,1.14,16,117,0,.324,.104,44.14,.317,.059,.186
Jose Osuna,X,PIT,104,215,31,50,13,4,7,30,9,40,0,0,.233,.269,.428,.697,227,2,0,1,10,1.57,24,92,0,.254,.195,30.71,.225,.040,.176
Gregory Polanco,RF,PIT,108,379,39,95,20,0,11,35,27,60,8,1,.251,.305,.391,.696,411,3,0,1,5,0.84,31,148,4,.272,.140,34.46,.450,.066,.146
Jordan Luplow,RF,PIT,27,78,6,16,3,1,3,11,6,22,0,1,.205,.276,.385,.661,87,2,0,1,4,0.64,7,30,0,.241,.179,26.00,.273,.069,.253
Max Moroff,2B,PIT,56,120,19,24,4,1,3,21,16,43,0,1,.200,.302,.325,.627,140,2,1,1,0,0.90,8,39,0,.280,.125,40.00,.372,.114,.307
Gift Ngoepe,2B,PIT,28,54,10,12,2,1,0,6,8,26,0,0,.222,.323,.296,.619,63,0,1,0,0,4.67,3,16,0,.429,.074,-.--,.308,.127,.413
Elias Diaz,C,PIT,64,188,18,42,14,0,1,19,11,38,1,0,.223,.265,.314,.579,200,0,0,1,8,1.53,15,59,0,.273,.090,188.00,.289,.055,.190
Steven Brault,P,PIT,12,13,2,3,1,0,0,2,0,0,0,0,.231,.231,.308,.539,13,0,0,0,0,2.33,1,4,0,.231,.077,-.--,.---,.000,.000
Sean Rodriguez,3B,PIT,39,95,12,16,1,0,3,5,8,38,0,0,.168,.255,.274,.529,106,3,0,0,2,1.16,4,26,0,.241,.105,31.67,.211,.075,.358
A.J. Schugel,P,PIT,32,1,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.500,.000
Alen Hanson,X,PIT,37,57,8,11,0,2,0,1,2,9,2,1,.193,.220,.263,.483,59,0,0,0,0,0.85,2,15,0,.229,.070,-.--,.222,.034,.153
Chris Stewart,C,PIT,51,131,8,24,1,2,0,4,9,22,0,0,.183,.241,.221,.462,144,1,3,0,3,1.10,3,29,1,.220,.038,-.--,.409,.063,.153
Gerrit Cole,P,PIT,34,55,3,9,1,0,1,3,1,21,0,0,.164,.179,.236,.415,68,0,12,0,1,3.63,2,13,0,.242,.073,55.00,.048,.015,.309
Wade LeBlanc,P,PIT,50,5,0,1,0,0,0,1,0,3,0,0,.200,.200,.200,.400,5,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.600
Phil Gosselin,X,PIT,28,40,3,6,1,0,0,2,2,9,0,1,.150,.190,.175,.365,42,0,0,0,1,0.92,1,7,0,.194,.025,-.--,.222,.048,.214
Jameson Taillon,P,PIT,25,38,2,6,0,0,0,0,0,15,0,0,.158,.158,.158,.316,43,0,5,0,2,10.00,0,6,0,.261,.000,-.--,.---,.000,.349
Chad Kuhl,P,PIT,33,48,2,5,2,0,0,3,1,16,0,0,.104,.122,.146,.268,52,0,3,0,1,2.75,2,7,0,.156,.042,-.--,.063,.019,.308
Danny Ortiz,RF,PIT,9,12,1,1,0,0,0,0,1,1,0,0,.083,.154,.083,.237,13,0,0,0,0,0.43,0,1,0,.091,.000,-.--,1.000,.077,.077
Trevor Williams,P,PIT,31,41,1,2,0,0,0,0,2,17,0,0,.049,.093,.049,.142,47,0,4,0,1,2.71,0,2,0,.083,.000,-.--,.118,.043,.362
Ivan Nova,P,PIT,31,51,0,1,0,0,0,0,0,31,0,0,.020,.020,.020,.040,60,0,9,0,0,3.67,0,1,0,.050,.000,-.--,.---,.000,.517
Johnny Barbato,P,PIT,24,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Joaquin Benoit,P,PIT,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
John Bormann,X,PIT,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Daniel Hudson,P,PIT,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
George Kontos,P,PIT,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jack Leathersich,P,PIT,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Josh Lindblom,P,PIT,4,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Dovydas Neverauskas,P,PIT,24,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Juan Nicasio,P,PIT,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dan Runzler,P,PIT,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Angel Sanchez,P,PIT,8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
