PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Myles Straw,RF,HOU,9,9,4,3,0,0,1,1,1,0,2,0,.333,.400,.667,1.067,10,0,0,0,0,1.00,1,6,0,.250,.333,9.00,.---,.100,.000
Alex Bregman,3B,HOU,157,594,105,170,51,1,31,103,96,85,10,4,.286,.394,.532,.926,705,12,0,3,15,0.66,83,316,2,.289,.246,19.16,1.129,.136,.121
Tyler White,1B,HOU,66,210,27,58,12,3,12,42,24,49,0,1,.276,.354,.533,.887,237,2,0,1,1,0.93,27,112,0,.307,.257,17.50,.490,.101,.207
Jose Altuve,2B,HOU,137,534,84,169,29,2,13,61,55,79,17,4,.316,.386,.451,.837,599,6,3,1,17,1.10,44,241,4,.352,.135,41.08,.696,.092,.132
George Springer,CF,HOU,140,544,102,144,26,0,22,71,64,122,6,4,.265,.346,.434,.780,620,5,0,3,12,1.13,48,236,0,.303,.169,24.73,.525,.103,.197
Yuli Gurriel,1B,HOU,136,537,70,156,33,1,13,85,23,63,5,1,.291,.323,.428,.751,573,6,0,7,22,0.81,47,230,0,.306,.138,41.31,.365,.040,.110
Tony Kemp,LF,HOU,97,255,37,67,15,0,6,30,32,44,9,3,.263,.351,.392,.743,295,3,3,1,7,1.08,21,100,1,.296,.129,42.50,.727,.108,.149
Evan Gattis,DH,HOU,128,407,49,92,17,0,25,78,33,101,1,0,.226,.284,.452,.736,451,3,0,8,13,0.67,42,184,2,.232,.226,16.28,.327,.073,.224
Marwin Gonzalez,LF,HOU,145,489,61,121,25,3,16,68,53,126,2,3,.247,.324,.409,.733,552,3,5,2,14,1.06,44,200,3,.301,.162,30.56,.421,.096,.228
Carlos Correa,SS,HOU,110,402,60,96,20,1,15,65,53,111,3,0,.239,.323,.405,.728,468,2,0,11,17,1.04,36,163,3,.282,.167,26.80,.477,.113,.237
Josh Reddick,RF,HOU,134,433,63,105,13,2,17,47,49,77,7,2,.242,.318,.400,.718,487,0,1,2,9,0.72,32,173,3,.258,.157,25.47,.636,.101,.158
Max Stassi,C,HOU,88,221,28,50,13,0,8,27,23,74,0,0,.226,.316,.394,.710,250,6,0,0,6,1.62,21,87,0,.302,.167,27.62,.311,.092,.296
Jake Marisnick,CF,HOU,103,213,34,45,8,1,10,28,15,84,6,2,.211,.275,.399,.674,235,4,1,1,6,0.59,19,85,1,.292,.188,21.30,.179,.064,.357
