PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Juan Graterol,C,LAA,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Ryan Schimpf,2B,LAA,5,5,2,1,0,0,1,2,2,3,0,0,.200,.429,.800,1.229,7,0,0,0,0,1.00,1,4,0,.000,.600,5.00,.667,.286,.429
Mike Trout,CF,LAA,140,471,101,147,24,4,39,79,122,124,24,2,.312,.460,.628,1.088,608,10,0,4,5,0.58,67,296,25,.346,.316,12.08,.984,.201,.204
Shohei Ohtani,DH,LAA,114,326,59,93,21,2,22,61,37,102,10,4,.285,.361,.564,.925,367,2,0,1,2,1.16,45,184,2,.350,.279,14.82,.363,.101,.278
Justin Upton,LF,LAA,145,533,80,137,18,1,30,85,64,176,8,2,.257,.344,.463,.807,613,10,0,6,12,1.07,49,247,1,.321,.206,17.77,.364,.104,.287
Andrelton Simmons,SS,LAA,146,554,68,162,26,5,11,75,35,44,10,2,.292,.337,.417,.754,600,5,1,5,17,1.05,42,231,2,.300,.125,50.36,.795,.058,.073
Rene Rivera,C,LAA,30,82,8,20,4,0,4,11,4,32,0,0,.244,.287,.439,.726,87,1,0,0,3,0.67,8,36,0,.348,.195,20.50,.125,.046,.368
Albert Pujols,1B,LAA,117,465,50,114,20,0,19,64,28,65,1,0,.245,.289,.411,.700,498,2,0,3,12,0.90,39,191,3,.247,.166,24.47,.431,.056,.131
Jose Miguel Fernandez,1B,LAA,36,116,9,31,8,0,2,11,6,15,1,0,.267,.309,.388,.697,123,1,0,0,2,1.00,10,45,0,.293,.121,58.00,.400,.049,.122
Jose Briceno,C,LAA,46,117,12,28,2,0,5,10,8,35,0,1,.239,.299,.385,.684,128,2,1,0,2,1.20,7,45,0,.299,.145,23.40,.229,.063,.273
David Fletcher,2B,LAA,80,284,35,78,18,2,1,25,15,34,3,0,.275,.316,.363,.679,307,3,3,2,7,0.81,21,103,0,.307,.088,284.00,.441,.049,.111
Zack Cozart,3B,LAA,58,224,29,49,13,2,5,18,19,42,0,0,.219,.296,.362,.658,253,7,0,3,7,0.81,20,81,0,.244,.143,44.80,.452,.075,.166
Francisco Arcia,C,LAA,41,103,10,21,5,0,6,23,1,27,1,0,.204,.226,.427,.653,106,2,0,0,4,1.29,11,44,0,.214,.223,17.17,.037,.009,.255
Kole Calhoun,RF,LAA,137,491,71,102,18,2,19,57,53,133,6,2,.208,.283,.369,.652,552,1,0,6,9,1.08,39,181,2,.241,.161,25.84,.398,.096,.241
Jefry Marte,1B,LAA,90,194,28,42,7,1,7,22,13,41,1,1,.216,.273,.371,.644,209,2,0,0,6,1.64,15,72,0,.240,.155,27.71,.317,.062,.196
Martin Maldonado,C,LAA,78,265,24,59,14,0,5,32,13,73,0,1,.223,.284,.332,.616,290,10,1,1,3,0.88,19,88,0,.287,.109,53.00,.178,.045,.252
Chris Young,RF,LAA,56,113,17,19,2,1,6,13,11,37,2,0,.168,.252,.363,.615,128,2,1,1,1,0.48,9,41,0,.183,.195,18.83,.297,.086,.289
Michael Hermosillo,CF,LAA,31,57,7,12,4,0,1,1,3,17,0,1,.211,.274,.333,.607,62,2,0,0,0,1.55,5,19,0,.282,.123,57.00,.176,.048,.274
Luis Valbuena,3B,LAA,96,266,23,53,9,0,9,33,19,100,3,0,.199,.253,.335,.588,288,1,0,2,2,0.67,18,89,3,.277,.135,29.56,.190,.066,.347
Taylor Ward,3B,LAA,40,135,14,24,3,0,6,15,9,45,2,0,.178,.245,.333,.578,147,3,0,0,0,0.74,9,45,0,.214,.156,22.50,.200,.061,.306
Eric Young,CF,LAA,41,109,12,22,4,2,1,8,6,28,5,1,.202,.248,.303,.551,117,1,0,1,4,1.73,7,33,0,.259,.101,109.00,.214,.051,.239
Nolan Fontana,2B,LAA,8,11,1,1,0,0,1,1,1,6,0,0,.091,.167,.364,.531,12,0,0,0,0,0.33,1,4,0,.000,.273,11.00,.167,.083,.500
Kaleb Cowart,3B,LAA,47,112,7,15,7,1,1,10,10,44,1,0,.134,.210,.241,.451,124,1,0,1,2,0.59,9,27,0,.206,.107,112.00,.227,.081,.355
Joe Hudson,C,LAA,8,12,0,2,1,0,0,1,0,0,0,0,.167,.167,.250,.417,12,0,0,0,0,0.67,1,3,0,.167,.083,-.--,.---,.000,.000
Jabari Blash,RF,LAA,24,39,4,4,1,0,0,1,5,24,2,1,.103,.200,.128,.328,45,0,0,1,0,0.33,1,5,0,.250,.026,-.--,.208,.111,.533
Andrew Heaney,P,LAA,30,8,1,1,0,0,0,0,0,6,0,0,.125,.125,.125,.250,8,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.750
Sherman Johnson,2B,LAA,10,10,0,0,0,0,0,0,0,4,0,0,.000,.091,.000,.091,11,1,0,0,0,5.00,0,0,0,.000,.000,-.--,.---,.000,.364
Jose Alvarez,P,LAA,76,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Justin Anderson,P,LAA,57,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
