PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Mike Minor,P,TEX,28,3,0,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,28,3,0,1,1,0,0,0,0,1,0,0,.333,.333,.667
Shin-Soo Choo,DH,TEX,146,560,83,148,30,1,21,62,92,156,6,1,.264,.377,.434,.811,TEX,146,560,83,148,30,1,21,62,92,156,6,1,.264,.377
Joey Gallo,LF,TEX,148,500,82,103,24,1,40,92,74,207,3,4,.206,.312,.498,.810,.811,TEX,148,500,82,103,24,1,40,92,74,207,3,4,.206
Jurickson Profar,SS,TEX,146,524,82,133,35,6,20,77,54,88,10,0,.254,.335,.458,.793,.498,.810,TEX,146,524,82,133,35,6,20,77,54,88,10,0
Adrian Beltre,3B,TEX,119,433,49,118,23,1,15,65,34,96,1,0,.273,.328,.434,.762,.335,.458,.793,TEX,119,433,49,118,23,1,15,65,34,96,1
Robinson Chirinos,C,TEX,113,360,48,80,15,1,18,65,45,140,2,0,.222,.338,.419,.757,.273,.328,.434,.762,TEX,113,360,48,80,15,1,18,65,45,140
Nomar Mazara,RF,TEX,128,489,61,126,25,1,20,77,40,116,1,0,.258,.317,.436,.753,0,.222,.338,.419,.757,TEX,128,489,61,126,25,1,20,77,40
Rougned Odor,2B,TEX,129,474,76,120,23,2,18,63,43,127,12,12,.253,.326,.424,.750,1,0,.258,.317,.436,.753,TEX,129,474,76,120,23,2,18,63
Ronald Guzman,1B,TEX,123,387,46,91,18,2,16,58,33,121,1,0,.235,.306,.416,.722,127,12,12,.253,.326,.424,.750,TEX,123,387,46,91,18,2,16
Isiah Kiner-Falefa,3B,TEX,111,356,43,93,18,2,4,34,28,62,7,5,.261,.325,.357,.682,33,121,1,0,.235,.306,.416,.722,TEX,111,356,43,93,18,2
Elvis Andrus,SS,TEX,97,395,53,101,20,3,6,33,28,66,5,3,.256,.308,.367,.675,34,28,62,7,5,.261,.325,.357,.682,TEX,97,395,53,101,20
Willie Calhoun,LF,TEX,35,99,8,22,5,0,2,11,6,24,0,0,.222,.269,.333,.602,6,33,28,66,5,3,.256,.308,.367,.675,TEX,35,99,8,22
Delino DeShields,CF,TEX,106,334,52,72,14,1,2,22,43,83,20,4,.216,.310,.281,.591,0,2,11,6,24,0,0,.222,.269,.333,.602,TEX,106,334,52
Drew Robinson,CF,TEX,47,109,20,20,3,0,3,9,16,57,2,1,.183,.288,.294,.582,14,1,2,22,43,83,20,4,.216,.310,.281,.591,TEX,47,109
Ryan Rua,LF,TEX,61,139,17,27,3,1,6,12,5,53,3,1,.194,.221,.360,.581,20,3,0,3,9,16,57,2,1,.183,.288,.294,.582,TEX,61
Carlos Tocci,CF,TEX,66,120,11,27,3,2,0,5,7,39,0,3,.225,.271,.283,.554,17,27,3,1,6,12,5,53,3,1,.194,.221,.360,.581,TEX
Renato Nunez,3B,TEX,13,36,2,6,1,0,1,2,3,12,0,0,.167,.244,.278,.522,120,11,27,3,2,0,5,7,39,0,3,.225,.271,.283,.554
Hanser Alberto,SS,TEX,13,27,0,5,2,0,0,0,2,4,0,1,.185,.241,.259,.500,13,36,2,6,1,0,1,2,3,12,0,0,.167,.244,.278
Jose Trevino,C,TEX,3,8,0,2,0,0,0,3,0,1,0,0,.250,.250,.250,.500,TEX,13,27,0,5,2,0,0,0,2,4,0,1,.185,.241
Juan Centeno,C,TEX,10,37,3,6,1,0,1,3,1,7,0,0,.162,.184,.270,.454,.500,TEX,3,8,0,2,0,0,0,3,0,1,0,0,.250
Carlos Perez,C,TEX,20,49,1,7,2,0,1,3,1,15,1,0,.143,.176,.245,.421,.250,.500,TEX,10,37,3,6,1,0,1,3,1,7,0,0
Tony Barnette,P,TEX,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.184,.270,.454,TEX,20,49,1,7,2,0,1,3,1,15,1
Matt Bush,P,TEX,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.143,.176,.245,.421,TEX,22,0,0,0,0,0,0,0,0,0
Eddie Butler,P,TEX,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,.000,.000,.000,.000,TEX,21,0,0,0,0,0,0,0,0
Alex Claudio,P,TEX,66,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,.000,.000,.000,.000,TEX,22,0,0,0,0,0,0,0
Bartolo Colon,P,TEX,28,4,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.750
Yovani Gallardo,P,TEX,18,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,1,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
Cory Gearrin,P,TEX,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Drew Hutchison,P,TEX,5,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Ariel Jurado,P,TEX,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.000,.000
Jose Leclerc,P,TEX,59,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chris Martin,P,TEX,46,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Yohander Mendez,P,TEX,8,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Matt Moore,P,TEX,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
CD Pelham,P,TEX,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Martin Perez,P,TEX,22,3,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,3,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Connor Sadzeck,P,TEX,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jeffrey Springs,P,TEX,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
