PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Sam Hilliard,CF,COL,27,77,13,21,4,2,7,13,9,23,2,0,.273,.356,.649,1.005,87,1,0,0,1,1.54,13,50,0,.298,.377,11.00,.391,.103,.264
Nolan Arenado,3B,COL,155,588,102,185,31,2,41,118,62,93,3,2,.315,.379,.583,.962,662,4,0,8,14,0.66,74,343,11,.312,.269,14.34,.667,.094,.140
Charlie Blackmon,RF,COL,140,580,112,182,42,7,32,86,40,104,2,5,.314,.364,.576,.940,634,9,0,5,11,0.95,81,334,1,.334,.262,18.12,.385,.063,.164
Trevor Story,SS,COL,145,588,111,173,38,5,35,85,58,174,23,8,.294,.363,.554,.917,656,7,0,3,3,0.65,78,326,0,.361,.260,16.80,.333,.088,.265
David Dahl,CF,COL,100,374,67,113,28,5,15,61,28,110,4,4,.302,.353,.524,.877,413,4,2,5,3,1.26,48,196,0,.386,.222,24.93,.255,.068,.266
Yonder Alonso,X,COL,54,73,11,19,7,0,3,10,10,17,0,0,.260,.357,.479,.836,84,1,0,0,5,1.06,10,35,1,.302,.219,24.33,.588,.119,.202
Ian Desmond,CF,COL,140,443,64,113,31,4,20,65,34,119,3,3,.255,.310,.479,.789,482,2,1,2,12,1.30,55,212,1,.304,.223,22.15,.286,.071,.247
Daniel Murphy,1B,COL,132,438,56,122,35,1,13,78,32,74,1,1,.279,.328,.452,.780,478,2,0,4,10,0.95,49,198,1,.307,.174,33.69,.432,.067,.155
Ryan McMahon,2B,COL,141,480,70,120,22,1,24,83,56,160,5,1,.250,.329,.450,.779,539,1,1,1,14,1.62,47,216,1,.323,.200,20.00,.350,.104,.297
Chris Iannetta,C,COL,52,144,20,32,10,0,6,21,18,54,0,0,.222,.311,.417,.728,164,1,0,1,9,1.11,16,60,3,.306,.194,24.00,.333,.110,.329
