PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Jorge Soler,DH,KC,162,589,95,156,33,1,48,117,73,178,3,1,.265,.354,.569,.923,679,10,0,4,16,0.95,82,335,3,.294,.304,12.27,.410,.108,.262
Jorge Bonifacio,RF,KC,5,20,3,7,3,0,0,3,1,7,0,0,.350,.381,.500,.881,21,0,0,0,0,1.00,3,10,0,.538,.150,-.--,.143,.048,.333
Hunter Dozier,3B,KC,139,523,75,146,29,10,26,84,55,148,2,2,.279,.348,.522,.870,586,3,0,5,9,0.63,65,273,2,.339,.243,20.12,.372,.094,.253
Whit Merrifield,2B,KC,162,681,105,206,41,10,16,74,45,126,20,10,.302,.348,.463,.811,735,5,0,4,8,0.77,67,315,5,.350,.160,42.56,.357,.061,.171
Alex Gordon,LF,KC,150,556,77,148,31,1,13,76,51,100,5,3,.266,.345,.396,.741,633,19,1,6,13,1.20,45,220,4,.301,.129,42.77,.510,.081,.158
Ryan McBroom,RF,KC,23,75,8,22,5,0,0,6,7,25,0,0,.293,.361,.360,.721,83,1,0,0,3,1.80,5,27,0,.440,.067,-.--,.280,.084,.301
Terrance Gore,X,KC,37,51,13,14,2,1,0,1,6,18,13,5,.275,.362,.353,.715,58,1,0,0,0,1.38,3,18,0,.424,.078,-.--,.333,.103,.310
Adalberto Mondesi,SS,KC,102,415,58,109,20,10,9,62,19,132,43,7,.263,.291,.424,.715,443,0,3,6,6,1.10,39,176,0,.357,.161,46.11,.144,.043,.298
Cam Gallagher,C,KC,45,126,14,30,7,0,3,12,11,28,0,1,.238,.312,.365,.677,142,3,1,1,3,1.00,10,46,0,.281,.127,42.00,.393,.077,.197
Cheslor Cuthbert,1B,KC,87,309,24,76,14,0,9,40,19,67,1,0,.246,.294,.379,.673,330,2,0,0,14,0.91,23,117,1,.288,.133,34.33,.284,.058,.203
Kelvin Gutierrez,3B,KC,20,73,4,19,2,1,1,11,5,24,1,0,.260,.304,.356,.660,79,0,0,1,2,4.17,4,26,0,.367,.096,73.00,.208,.063,.304
Martin Maldonado,C,KC,74,238,26,54,15,0,6,17,17,55,0,0,.227,.291,.366,.657,263,5,2,1,9,1.36,21,87,0,.270,.139,39.67,.309,.065,.209
Ryan O'Hearn,1B,KC,105,328,32,64,13,1,14,38,39,99,0,1,.195,.281,.369,.650,370,1,0,2,7,1.09,28,121,1,.230,.174,23.43,.394,.105,.268
Nick Dini,C,KC,20,56,11,11,3,0,2,6,4,18,0,0,.196,.270,.357,.627,64,2,1,1,1,0.45,5,20,0,.243,.161,28.00,.222,.063,.281
Erick Mejia,CF,KC,9,22,3,5,1,0,0,4,4,7,0,0,.227,.333,.273,.606,27,0,0,1,1,1.20,1,6,0,.313,.045,-.--,.571,.148,.259
Nicky Lopez,2B,KC,103,379,44,91,22,2,2,30,18,51,1,1,.240,.276,.325,.601,402,1,4,0,5,1.84,26,123,0,.273,.084,189.50,.353,.045,.127
Lucas Duda,1B,KC,39,105,7,18,4,0,4,15,11,32,0,0,.171,.252,.324,.576,119,1,0,2,3,0.63,8,34,1,.197,.152,26.25,.344,.092,.269
Bubba Starling,CF,KC,56,186,26,40,7,0,4,12,9,56,2,0,.215,.255,.317,.572,197,1,1,0,4,0.98,11,59,0,.286,.102,46.50,.161,.046,.284
Meibrys Viloria,C,KC,42,133,7,28,7,0,1,15,10,44,0,1,.211,.259,.286,.545,148,0,1,4,4,1.75,8,38,0,.293,.075,133.00,.227,.068,.297
Billy Hamilton,CF,KC,93,275,32,58,12,2,0,12,25,74,18,5,.211,.275,.269,.544,305,0,3,2,1,0.90,14,74,0,.286,.058,-.--,.338,.082,.243
Brett Phillips,CF,KC,30,65,7,9,2,0,2,6,10,23,3,0,.138,.247,.262,.509,79,0,2,2,1,0.76,4,17,0,.167,.123,32.50,.435,.127,.291
Danny Duffy,P,KC,23,4,0,1,0,0,0,0,0,2,0,0,.250,.250,.250,.500,4,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.500
Humberto Arteaga,SS,KC,41,122,11,24,4,0,0,4,8,28,1,1,.197,.258,.230,.488,135,2,3,0,2,1.35,4,28,0,.255,.033,-.--,.286,.059,.207
Chris Owings,2B,KC,41,135,9,18,4,1,2,9,8,55,4,1,.133,.193,.222,.415,145,2,0,0,1,1.48,7,30,0,.205,.089,67.50,.145,.055,.379
Brad Keller,P,KC,28,8,0,1,0,0,0,1,1,5,0,0,.125,.222,.125,.347,10,0,1,0,0,3.00,0,1,0,.333,.000,-.--,.200,.100,.500
Frank Schwindel,1B,KC,6,15,0,1,0,0,0,0,0,2,0,0,.067,.067,.067,.134,15,0,0,0,0,0.50,0,1,0,.077,.000,-.--,.---,.000,.133
Homer Bailey,P,KC,18,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Scott Barlow,P,KC,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jacob Barnes,P,KC,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brad Boxberger,P,KC,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jake Diekman,P,KC,48,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Heath Fillmyer,P,KC,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brian Flynn,P,KC,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jesse Hahn,P,KC,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Tim Hill,P,KC,46,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jakob Junis,P,KC,31,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
Ian Kennedy,P,KC,63,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jorge Lopez,P,KC,39,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,1,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Richard Lovelady,P,KC,25,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Kevin McCarthy,P,KC,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Mike Montgomery,P,KC,13,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Jake Newberry,P,KC,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Wily Peralta,P,KC,42,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Eric Skoglund,P,KC,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Glenn Sparkman,P,KC,31,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
Gabe Speier,P,KC,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Kyle Zimmer,P,KC,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
