PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Nelson Cruz,DH,MIN,120,454,81,141,26,0,41,108,56,131,0,1,.311,.392,.639,1.031,521,7,0,3,14,0.99,67,290,8,.351,.328,11.07,.427,.107,.251
Mitch Garver,C,MIN,93,311,70,85,16,1,31,67,41,87,0,0,.273,.365,.630,.995,359,5,0,2,5,0.86,48,196,0,.277,.357,10.03,.471,.114,.242
Miguel Sano,3B,MIN,105,380,76,94,19,2,34,79,55,159,0,1,.247,.346,.576,.922,439,3,0,1,5,0.94,55,219,0,.319,.329,11.18,.346,.125,.362
Tyler Austin,1B,MIN,2,4,1,1,1,0,0,0,1,3,0,0,.250,.400,.500,.900,5,0,0,0,0,-.--,1,2,0,1.000,.250,-.--,.333,.200,.600
Max Kepler,RF,MIN,134,524,98,132,32,0,36,90,60,99,1,5,.252,.336,.519,.855,596,8,0,4,5,0.72,68,272,0,.244,.267,14.56,.606,.101,.166
Jorge Polanco,SS,MIN,153,631,107,186,40,7,22,79,60,116,4,3,.295,.356,.485,.841,704,4,2,7,11,0.53,69,306,2,.328,.190,28.68,.517,.085,.165
Luis Arraez,2B,MIN,92,326,54,109,20,1,4,28,36,29,2,2,.334,.399,.439,.838,366,1,0,3,2,0.82,25,143,1,.355,.104,81.50,1.241,.098,.079
Byron Buxton,CF,MIN,87,271,48,71,30,4,10,46,19,68,14,3,.262,.314,.513,.827,295,2,2,1,3,0.53,44,139,1,.314,.251,27.10,.279,.064,.231
Jake Cave,RF,MIN,72,198,28,51,11,2,8,25,21,71,0,0,.258,.351,.455,.806,228,8,0,1,5,1.75,21,90,0,.358,.197,24.75,.296,.092,.311
Eddie Rosario,LF,MIN,137,562,91,155,28,1,32,109,22,86,3,1,.276,.300,.500,.800,590,0,0,6,10,0.79,61,281,2,.273,.224,17.56,.256,.037,.146
Ryan LaMarre,CF,MIN,14,23,3,5,0,0,2,3,3,5,1,1,.217,.308,.478,.786,26,0,0,0,0,0.86,2,11,0,.188,.261,11.50,.600,.115,.192
C.J. Cron,1B,MIN,125,458,51,116,24,0,25,78,29,107,0,0,.253,.311,.469,.780,499,10,0,2,13,1.12,49,215,3,.277,.216,18.32,.271,.058,.214
Jonathan Schoop,2B,MIN,121,433,61,111,23,1,23,59,20,116,1,1,.256,.304,.473,.777,464,10,0,1,13,1.07,47,205,1,.298,.217,18.83,.172,.043,.250
Jason Castro,C,MIN,79,237,39,55,9,0,13,30,33,88,0,0,.232,.332,.435,.767,275,3,1,1,0,0.75,22,103,0,.307,.203,18.23,.375,.120,.320
Ehire Adrianza,3B,MIN,84,202,34,55,8,3,5,22,20,40,0,2,.272,.349,.416,.765,236,6,2,4,2,0.95,16,84,1,.311,.144,40.40,.500,.085,.169
Marwin Gonzalez,RF,MIN,114,425,52,112,19,0,15,55,31,98,1,0,.264,.322,.414,.736,463,6,0,1,7,1.10,34,176,2,.310,.151,28.33,.316,.067,.212
LaMonte Wade,CF,MIN,26,56,10,11,2,1,2,5,11,9,0,1,.196,.348,.375,.723,69,2,0,0,0,0.80,5,21,0,.200,.179,28.00,1.222,.159,.130
Willians Astudillo,C,MIN,58,190,28,51,9,0,4,21,5,8,0,0,.268,.299,.379,.678,204,5,0,4,6,0.75,13,72,0,.258,.111,47.50,.625,.025,.039
Kyle Gibson,P,MIN,34,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,4,0,2,0,0,2.00,0,0,0,.---,.000,-.--,1.000,.250,.250
Ronald Torreyes,SS,MIN,7,16,3,3,0,0,0,1,0,3,1,0,.188,.235,.188,.423,17,1,0,0,0,0.67,0,3,0,.231,.000,-.--,.---,.000,.176
Ian Miller,CF,MIN,12,17,2,3,1,0,0,1,0,3,0,0,.176,.176,.235,.411,17,0,0,0,0,0.83,1,4,0,.214,.059,-.--,.---,.000,.176
Jose Berrios,P,MIN,32,4,1,0,0,0,0,0,1,4,0,0,.000,.200,.000,.200,5,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.250,.200,.800
Chase De Jong,P,MIN,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Tyler Duffey,P,MIN,58,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sam Dyson,P,MIN,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Ryne Harper,P,MIN,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000
Trevor Hildenberger,P,MIN,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,MIN,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Zack Littell,P,MIN,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,MIN,29,0,0,0,0,0,0,0,0,0,0,0,.000
Trevor May,P,MIN,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,MIN,65,0,0,0,0,0,0,0,0,0,0,0
Adalberto Mejia,P,MIN,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,MIN,13,0,0,0,0,0,0,0,0,0,0
Jake Odorizzi,P,MIN,30,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,MIN,30,2,0,0,0,0,0,0,0,0
Blake Parker,P,MIN,37,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,.000,.000,.000,.000,MIN,37,0,0,0,0,0,0,0,0
Martin Perez,P,MIN,32,3,1,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,0,0,.000,.000,.000,.000,MIN,32,3,1,0,0,0,0,0
Michael Pineda,P,MIN,26,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2,0,0,.000,.000,.000,.000,MIN,26,4,0,0,0,0,0
Sean Poppen,P,MIN,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,.000,.000,.000,.000,MIN,4,0,0,0,0,0
Taylor Rogers,P,MIN,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,.000,.000,.000,.000,MIN,60,0,0,0,0
Sergio Romo,P,MIN,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,.000,.000,.000,MIN,27,0,0,0
Cody Stashak,P,MIN,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,MIN,18,0,0
Andrew Vasquez,P,MIN,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,0,.000,.000,.000,.000,MIN,1,0
