PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
John Brebbia,P,STL,66,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Lane Thomas,CF,STL,34,38,6,12,0,1,4,12,4,8,1,1,.316,.409,.684,1.093,44,2,0,0,1,1.25,5,26,0,.308,.368,9.50,.500,.091,.182
Chasen Shreve,P,STL,3,0,0,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Randy Arozarena,CF,STL,19,20,4,6,1,0,1,2,2,4,2,1,.300,.391,.500,.891,23,1,0,0,0,1.50,2,10,0,.333,.200,20.00,.500,.087,.174
Tommy Edman,3B,STL,92,326,59,99,17,7,11,36,16,61,15,1,.304,.350,.500,.850,349,7,0,0,3,0.89,35,163,0,.346,.196,29.64,.262,.046,.175
Paul Goldschmidt,1B,STL,161,597,97,155,25,1,34,97,78,166,3,1,.260,.346,.476,.822,682,2,0,3,11,0.75,60,284,2,.303,.216,17.56,.470,.114,.243
Marcell Ozuna,LF,STL,130,485,80,117,23,1,29,89,62,114,12,2,.241,.328,.472,.800,549,1,0,1,21,1.06,53,229,2,.257,.231,16.72,.544,.113,.208
Kolten Wong,2B,STL,148,478,61,136,25,4,11,59,47,83,24,4,.285,.361,.423,.784,549,13,6,5,2,0.99,40,202,5,.321,.138,43.46,.566,.086,.151
Paul DeJong,SS,STL,159,583,97,136,31,1,30,78,62,149,9,5,.233,.318,.444,.762,664,13,0,6,15,0.71,62,259,1,.259,.211,19.43,.416,.093,.224
Dexter Fowler,RF,STL,150,487,69,116,24,1,19,67,74,142,8,5,.238,.346,.409,.755,574,8,1,4,6,0.97,44,199,1,.294,.170,25.63,.521,.129,.247
Jose Martinez,RF,STL,128,334,45,90,13,2,10,42,35,82,3,0,.269,.340,.410,.750,373,2,0,2,14,1.56,25,137,0,.328,.141,33.40,.427,.094,.220
Matt Carpenter,3B,STL,129,416,59,94,20,2,15,46,63,129,6,1,.226,.334,.392,.726,492,7,1,5,3,0.60,37,163,0,.285,.166,27.73,.488,.128,.262
Tyler O'Neill,LF,STL,60,141,18,37,6,0,5,16,10,53,1,0,.262,.311,.411,.722,151,0,0,0,3,0.59,11,58,0,.386,.149,28.20,.189,.066,.351
Yadier Molina,C,STL,113,419,45,113,24,0,10,57,23,58,6,0,.270,.312,.399,.711,452,5,0,5,14,0.86,34,167,0,.289,.129,41.90,.397,.051,.128
Matt Wieters,C,STL,67,168,15,36,4,0,11,27,12,47,1,1,.214,.268,.435,.703,183,1,0,2,3,0.74,15,73,0,.223,.220,15.27,.255,.066,.257
Harrison Bader,CF,STL,128,347,54,71,14,3,12,39,46,117,11,3,.205,.314,.366,.680,406,10,1,2,3,0.84,29,127,4,.268,.161,28.92,.393,.113,.288
Andrew Knizner,C,STL,18,53,7,12,2,0,2,7,4,14,2,0,.226,.293,.377,.670,58,1,0,0,3,1.70,4,20,0,.270,.151,26.50,.286,.069,.241
Ryan Helsley,P,STL,24,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.666,3,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.667
Rangel Ravelo,X,STL,29,39,4,8,2,0,2,7,3,12,0,0,.205,.256,.410,.666,43,0,0,1,1,1.86,4,16,0,.231,.205,19.50,.250,.070,.279
Yairo Munoz,X,STL,88,172,20,46,7,1,2,13,7,37,8,3,.267,.298,.355,.653,181,1,0,1,5,1.43,10,61,0,.328,.087,86.00,.189,.039,.204
Edmundo Sosa,X,STL,8,8,2,2,0,0,0,0,1,2,1,0,.250,.400,.250,.650,10,1,0,0,0,3.00,0,2,0,.333,.000,-.--,.500,.100,.200
Jedd Gyorko,X,STL,38,56,5,11,0,0,2,7,6,14,2,0,.196,.274,.304,.578,62,0,0,0,1,1.07,2,17,0,.225,.107,28.00,.429,.097,.226
Jack Flaherty,P,STL,38,54,4,10,3,0,0,4,2,17,1,1,.185,.211,.241,.452,66,0,9,1,0,1.85,3,13,0,.263,.056,-.--,.118,.030,.258
Adam Wainwright,P,STL,31,50,6,8,3,0,0,2,2,20,0,0,.160,.189,.220,.409,59,0,6,1,0,1.07,3,11,0,.258,.060,-.--,.100,.034,.339
Michael Wacha,P,STL,29,36,3,6,1,0,0,3,0,21,0,0,.167,.167,.194,.361,39,0,3,0,0,1.40,1,7,0,.400,.028,-.--,.---,.000,.538
Miles Mikolas,P,STL,32,59,1,8,1,0,0,2,0,27,0,0,.136,.136,.153,.289,62,0,3,0,0,1.70,1,9,0,.250,.017,-.--,.---,.000,.435
Drew Robinson,X,STL,5,7,1,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,7,0,0,0,0,0.00,0,1,0,.250,.000,-.--,.---,.000,.429
Dakota Hudson,P,STL,33,51,1,4,0,0,0,2,0,24,0,0,.078,.096,.078,.174,59,1,7,0,1,5.00,0,4,0,.148,.000,-.--,.---,.000,.407
Daniel Ponce de Leon,P,STL,13,9,0,0,0,0,0,0,1,4,0,0,.000,.100,.000,.100,12,0,2,0,0,7.00,0,0,0,.000,.000,-.--,.250,.083,.333
Genesis Cabrera,P,STL,13,4,0,0,0,0,0,0,0,4,0,0,.000,.000,.000,.000,4,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Junior Fernandez,P,STL,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Giovanny Gallegos,P,STL,66,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,3,0,1,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.333
John Gant,P,STL,64,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,3,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.667
Luke Gregerson,P,STL,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jordan Hicks,P,STL,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Joe Hudson,X,STL,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Dominic Leone,P,STL,40,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Carlos Martinez,P,STL,48,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Mike Mayers,P,STL,16,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Adalberto Mejia,P,STL,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Andrew Miller,P,STL,73,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Alex Reyes,P,STL,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Tyler Webb,P,STL,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
