PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Trent Thornton,P,TOR,32,3,2,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.334,3,0,0,0,0,1.00,0,2,0,.667,.000,-.--,.---,.000,.000
Bo Bichette,SS,TOR,46,196,32,61,18,0,11,21,14,50,4,4,.311,.358,.571,.929,212,1,0,1,2,1.21,29,112,0,.368,.260,17.82,.280,.066,.236
Reese McGuire,C,TOR,30,97,14,29,7,0,5,11,7,18,0,0,.299,.346,.526,.872,105,0,0,0,1,0.92,12,51,0,.324,.227,19.40,.389,.067,.171
Lourdes Gurriel,LF,TOR,84,314,52,87,19,2,20,50,20,86,6,4,.277,.327,.541,.868,343,5,1,3,4,0.84,41,170,0,.318,.264,15.70,.233,.058,.251
Eric Sogard,2B,TOR,73,287,45,86,17,2,10,30,29,47,6,0,.300,.363,.477,.840,323,1,3,3,2,0.65,29,137,0,.326,.178,28.70,.617,.090,.146
Breyvic Valera,2B,TOR,5,15,2,4,1,0,1,3,0,2,0,0,.267,.267,.533,.800,15,0,0,0,1,0.80,2,8,0,.250,.267,15.00,.---,.000,.133
Cavan Biggio,2B,TOR,100,354,66,83,17,2,16,48,71,123,14,0,.234,.364,.429,.793,430,2,0,2,0,0.47,35,152,0,.309,.195,22.12,.577,.165,.286
Teoscar Hernandez,CF,TOR,125,417,58,96,19,2,26,65,45,153,6,3,.230,.306,.472,.778,464,1,0,1,8,0.76,47,197,1,.293,.242,16.04,.294,.097,.330
Vladimir Guerrero,3B,TOR,123,464,52,126,26,2,15,69,46,91,0,1,.272,.339,.433,.772,514,2,0,2,17,1.24,43,201,0,.308,.162,30.93,.505,.089,.177
Justin Smoak,1B,TOR,121,414,54,86,16,0,22,61,79,106,0,0,.208,.342,.406,.748,500,6,0,1,11,0.83,38,168,3,.223,.198,18.82,.745,.158,.212
Rowdy Tellez,1B,TOR,111,370,49,84,19,0,21,54,29,116,1,1,.227,.293,.449,.742,409,7,0,3,9,0.99,40,166,3,.267,.222,17.62,.250,.071,.284
Randal Grichuk,RF,TOR,151,586,75,136,29,5,31,80,35,163,2,1,.232,.280,.457,.737,628,5,0,2,20,0.85,65,268,0,.266,.225,18.90,.215,.056,.260
Billy McKinney,RF,TOR,84,251,37,54,14,1,12,28,19,73,0,2,.215,.274,.422,.696,276,2,2,2,0,0.86,27,106,0,.250,.207,20.92,.260,.069,.264
Derek Fisher,LF,TOR,40,93,14,15,2,0,6,12,14,43,1,0,.161,.271,.376,.647,107,0,0,0,3,1.33,8,35,0,.205,.215,15.50,.326,.131,.402
