PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Yolmer Sanchez,X,CWS,12,16,7,5,3,0,1,1,5,5,0,0,.313,.476,.688,1.164,21,0,0,0,1,2.00,4,11,0,.400,.375,16.00,1.000,.238,.238
Jose Abreu,1B,CWS,60,240,43,76,15,0,19,60,18,59,0,0,.317,.370,.617,.987,262,3,0,1,10,1.36,34,148,1,.350,.300,12.63,.305,.069,.225
James McCann,C,CWS,31,97,20,28,3,0,7,15,8,30,1,1,.289,.360,.536,.896,111,4,0,2,2,0.86,10,52,0,.339,.247,13.86,.267,.072,.270
Eloy Jimenez,LF,CWS,55,213,26,63,14,0,14,41,12,56,0,0,.296,.332,.559,.891,226,0,0,1,4,1.71,28,119,0,.340,.263,15.21,.214,.053,.248
Tim Anderson,SS,CWS,49,208,45,67,11,1,10,21,10,50,5,2,.322,.357,.529,.886,221,2,0,1,4,1.79,22,110,0,.383,.207,20.80,.200,.045,.226
Adam Engel,RF,CWS,36,88,11,26,5,1,3,12,3,19,1,0,.295,.333,.477,.810,93,2,0,0,1,0.65,9,42,0,.348,.182,29.33,.158,.032,.204
Yasmani Grandal,C,CWS,46,161,27,37,7,0,8,27,30,58,0,0,.230,.351,.422,.773,194,1,0,2,4,0.79,15,68,0,.299,.193,20.12,.517,.155,.299
Leury Garcia,SS,CWS,16,59,6,16,1,0,3,8,4,9,0,0,.271,.317,.441,.758,63,0,0,0,0,1.27,4,26,0,.277,.169,19.67,.444,.063,.143
Nick Madrigal,2B,CWS,29,103,8,35,3,0,0,11,4,7,2,1,.340,.376,.369,.745,109,2,0,0,5,1.35,3,38,0,.365,.029,-.--,.571,.037,.064
Luis Robert,CF,CWS,56,202,33,47,8,0,11,31,20,73,9,2,.233,.302,.436,.738,227,1,0,2,4,0.71,19,88,0,.300,.203,18.36,.274,.088,.322
Yoan Moncada,3B,CWS,52,200,28,45,8,3,6,24,28,72,0,0,.225,.320,.385,.705,231,1,0,2,1,0.77,17,77,0,.315,.160,33.33,.389,.121,.312
Danny Mendick,2B,CWS,33,107,11,26,4,1,3,6,6,25,0,1,.243,.281,.383,.664,114,0,0,1,3,1.38,8,41,0,.288,.140,35.67,.240,.053,.219
Edwin Encarnacion,DH,CWS,44,159,19,25,5,0,10,19,16,54,0,0,.157,.250,.377,.627,181,4,0,1,3,0.59,15,60,0,.156,.220,15.90,.296,.088,.298
Jarrod Dyson,X,CWS,11,10,3,3,0,0,0,0,0,1,2,0,.300,.300,.300,.600,11,0,1,0,0,6.00,0,3,0,.333,.000,-.--,.---,.000,.091
Nomar Mazara,RF,CWS,42,136,13,31,6,0,1,15,10,44,0,1,.228,.295,.294,.589,149,3,0,0,0,1.35,7,40,0,.330,.066,136.00,.227,.067,.295
Luis Gonzalez,DH,CWS,3,1,1,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,2,1,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,.500
Nicky Delmonico,RF,CWS,6,20,0,3,0,0,0,3,2,2,0,0,.150,.227,.150,.377,22,0,0,0,2,1.50,0,3,0,.167,.000,-.--,1.000,.091,.091
Zack Collins,DH,CWS,9,16,1,1,1,0,0,0,2,5,0,0,.063,.167,.125,.292,18,0,0,0,0,0.43,1,2,0,.091,.063,-.--,.400,.111,.278
Ryan Goins,X,CWS,14,9,4,0,0,0,0,0,1,1,0,0,.000,.100,.000,.100,10,0,0,0,0,0.60,0,0,0,.000,.000,-.--,1.000,.100,.100
Cheslor Cuthbert,3B,CWS,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Matt Foster,P,CWS,23,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Yermin Mercedes,X,CWS,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Jose Ruiz,P,CWS,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
