PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Jake Lamb,3B,OAK,13,45,5,12,4,0,3,9,2,8,0,0,.267,.327,.556,.883,49,2,0,0,1,0.67,7,25,0,.265,.289,15.00,.250,.041,.163
Robbie Grossman,LF,OAK,51,166,23,40,12,2,8,23,21,38,8,1,.241,.344,.482,.826,192,5,0,0,1,1.00,22,80,2,.267,.241,20.75,.553,.109,.198
Sean Murphy,C,OAK,43,116,21,27,5,0,7,14,24,37,0,0,.233,.364,.457,.821,140,0,0,0,6,1.00,12,53,0,.278,.224,16.57,.649,.171,.264
Matt Chapman,3B,OAK,37,142,22,33,9,2,10,25,8,54,0,0,.232,.276,.535,.811,152,1,0,1,2,0.47,21,76,0,.291,.303,14.20,.148,.053,.355
Mark Canha,DH,OAK,59,191,32,47,12,2,5,33,37,54,4,0,.246,.387,.408,.795,243,10,0,5,2,0.53,19,78,1,.307,.162,38.20,.685,.152,.222
Tommy La Stella,2B,OAK,27,97,16,28,6,2,1,11,12,5,0,0,.289,.369,.423,.792,111,1,0,1,3,0.81,9,41,0,.293,.134,97.00,2.400,.108,.045
Matt Olson,1B,OAK,60,210,28,41,4,1,14,42,34,77,1,0,.195,.310,.424,.734,245,1,0,0,2,0.77,19,89,2,.227,.229,15.00,.442,.139,.314
Ramon Laureano,CF,OAK,54,183,27,39,8,1,6,25,24,58,2,1,.213,.338,.366,.704,222,12,0,3,7,0.98,15,67,0,.270,.153,30.50,.414,.108,.261
Chad Pinder,X,OAK,24,56,8,13,3,0,2,8,5,13,0,0,.232,.295,.393,.688,61,0,0,0,3,1.00,5,22,0,.268,.161,28.00,.385,.082,.213
Marcus Semien,SS,OAK,53,211,28,47,9,1,7,23,25,50,4,0,.223,.305,.374,.679,236,0,0,0,3,0.56,17,79,0,.260,.152,30.14,.500,.106,.212
Tony Kemp,2B,OAK,49,93,15,23,5,0,0,4,15,14,3,1,.247,.363,.301,.664,114,3,1,2,0,0.84,5,28,0,.284,.054,-.--,1.071,.132,.123
Khris Davis,DH,OAK,30,85,9,17,5,0,2,10,10,26,0,0,.200,.303,.329,.632,99,3,0,1,5,0.54,7,28,0,.259,.129,42.50,.385,.101,.263
Stephen Piscotty,RF,OAK,45,159,17,36,6,0,5,29,9,53,4,0,.226,.271,.358,.629,171,1,1,1,4,1.00,11,57,0,.304,.132,31.80,.170,.053,.310
Austin Allen,C,OAK,14,31,1,6,1,0,1,3,1,14,0,0,.194,.219,.323,.542,32,0,0,0,0,0.57,2,10,0,.313,.129,31.00,.071,.031,.438
Vimael Machin,3B,OAK,24,63,11,13,2,0,0,0,8,10,0,0,.206,.296,.238,.534,71,0,0,0,4,1.00,2,15,0,.245,.032,-.--,.800,.113,.141
Jonah Heim,C,OAK,13,38,5,8,0,0,0,5,3,3,0,0,.211,.268,.211,.479,41,0,0,0,1,0.59,0,8,0,.229,.000,-.--,1.000,.073,.073
Franklin Barreto,X,OAK,15,10,5,0,0,0,0,0,0,7,0,0,.000,.000,.000,.000,10,0,0,0,0,0.50,0,0,0,.000,.000,-.--,.---,.000,.700
Seth Brown,1B,OAK,7,5,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,5,0,0,0,0,0.50,0,0,0,.000,.000,-.--,.---,.000,.400
Nate Orf,SS,OAK,6,7,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,7,0,0,0,0,0.50,0,0,0,.000,.000,-.--,.---,.000,.143
