PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Juan Soto,LF,WSH,47,154,39,54,14,0,13,37,41,28,6,2,.351,.490,.695,1.185,196,1,0,0,1,2.13,27,107,12,.363,.344,11.85,1.464,.209,.143
Andrew Stevenson,LF,WSH,15,41,11,15,7,1,2,12,5,11,2,0,.366,.447,.732,1.179,47,1,0,0,0,0.67,10,30,0,.464,.366,20.50,.455,.106,.234
Trea Turner,SS,WSH,59,233,46,78,15,4,12,41,22,36,12,4,.335,.394,.588,.982,259,2,0,2,5,0.95,31,137,0,.353,.253,19.42,.611,.085,.139
Yan Gomes,C,WSH,30,109,14,31,6,1,4,13,6,22,1,0,.284,.319,.468,.787,119,1,0,3,1,0.74,11,51,0,.314,.183,27.25,.273,.050,.185
Josh Harrison,2B,WSH,33,79,11,22,2,0,3,14,6,12,1,2,.278,.352,.418,.770,91,4,0,2,2,0.88,5,33,0,.288,.139,26.33,.500,.066,.132
Jake Noll,X,WSH,7,17,2,6,1,0,0,0,0,4,0,0,.353,.353,.412,.765,17,0,0,0,1,0.75,1,7,0,.462,.059,-.--,.---,.000,.235
Asdrubal Cabrera,1B,WSH,52,190,23,46,9,3,8,31,19,40,0,0,.242,.305,.447,.752,213,0,0,4,6,0.96,20,85,0,.260,.205,23.75,.475,.089,.188
Starlin Castro,2B,WSH,16,60,9,16,3,1,2,4,3,13,0,0,.267,.302,.450,.752,63,0,0,0,0,0.72,6,27,0,.311,.183,30.00,.231,.048,.206
Kurt Suzuki,C,WSH,33,111,15,30,8,0,2,17,11,19,1,0,.270,.349,.396,.745,129,4,0,3,4,0.63,10,44,0,.301,.126,55.50,.579,.085,.147
Howie Kendrick,DH,WSH,25,91,11,25,4,0,2,14,7,17,0,0,.275,.320,.385,.705,100,0,0,2,4,1.13,6,35,2,.311,.110,45.50,.412,.070,.170
Michael A. Taylor,LF,WSH,38,92,11,18,6,0,5,16,6,27,0,0,.196,.253,.424,.677,99,1,0,0,2,0.96,11,39,0,.217,.228,18.40,.222,.061,.273
Adam Eaton,RF,WSH,41,159,22,36,11,1,4,17,12,32,3,0,.226,.285,.384,.669,176,1,4,0,4,1.38,16,61,1,.260,.157,39.75,.375,.068,.182
Luis Garcia,2B,WSH,40,134,18,37,6,0,2,16,5,29,1,1,.276,.302,.366,.668,139,0,0,0,3,3.25,8,49,0,.340,.090,67.00,.172,.036,.209
Brock Holt,LF,WSH,21,65,11,17,6,0,0,4,5,15,1,0,.262,.314,.354,.668,70,0,0,0,1,0.83,6,23,0,.340,.092,-.--,.333,.071,.214
Yadiel Hernandez,DH,WSH,12,26,3,5,3,0,1,6,1,12,0,0,.192,.214,.423,.637,28,0,0,1,0,4.00,4,11,0,.286,.231,26.00,.083,.036,.429
Eric Thames,1B,WSH,41,123,10,25,5,0,3,12,14,42,1,0,.203,.300,.317,.617,140,3,0,0,2,0.87,8,39,1,.282,.114,41.00,.333,.100,.300
Victor Robles,CF,WSH,52,168,20,37,5,1,3,15,9,53,4,1,.220,.293,.315,.608,189,9,1,2,0,0.84,9,53,0,.298,.095,56.00,.170,.048,.280
Carter Kieboom,3B,WSH,33,99,15,20,1,0,0,9,17,33,0,1,.202,.344,.212,.556,122,5,0,1,6,0.96,1,21,0,.299,.010,-.--,.515,.139,.270
Wilmer Difo,2B,WSH,12,14,1,1,0,0,0,1,3,4,0,0,.071,.222,.071,.293,18,0,0,1,0,0.43,0,1,0,.091,.000,-.--,.750,.167,.222
Emilio Bonifacio,X,WSH,3,3,1,0,0,0,0,0,0,2,0,1,.000,.000,.000,.000,3,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.667
