PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Humberto Castellanos,P,AZ,14,6,1,3,0,0,1,5,0,1,0,0,.500,.429,1.000,1.429,7,0,0,1,0,2.00,1,6,0,.400,.500,6.00,.---,.000,.143
Seth Beer,DH,AZ,5,9,4,4,1,0,1,3,1,3,0,0,.444,.500,.889,1.389,10,0,0,0,0,0.00,2,8,0,.600,.444,9.00,.333,.100,.300
Jake Faria,P,AZ,24,3,1,1,1,0,0,0,0,1,0,0,.333,.333,.667,1.000,3,0,0,0,0,1.00,1,2,0,.500,.333,-.--,.---,.000,.333
Ketel Marte,CF,AZ,90,340,52,108,29,1,14,50,31,60,2,0,.318,.377,.532,.909,374,2,0,1,8,1.04,44,181,3,.352,.215,24.29,.517,.083,.160
Geraldo Perdomo,SS,AZ,11,31,5,8,3,1,0,1,6,6,0,0,.258,.378,.419,.797,37,0,0,0,0,0.89,4,13,2,.320,.161,-.--,1.000,.162,.162
Andrew Young,X,AZ,58,91,13,19,7,0,6,15,6,45,0,0,.209,.298,.484,.782,104,6,0,1,3,1.33,13,44,0,.317,.275,15.17,.133,.058,.433
Eduardo Escobar,3B,AZ,98,370,50,91,14,3,22,65,29,85,1,0,.246,.300,.478,.778,400,0,0,1,1,0.54,39,177,1,.261,.232,16.82,.341,.073,.213
Daulton Varsho,C,AZ,95,284,41,70,17,2,11,38,30,67,6,0,.246,.318,.437,.755,315,0,1,0,4,0.68,30,124,3,.286,.190,25.82,.448,.095,.213
Carson Kelly,C,AZ,98,304,41,73,11,1,13,46,44,74,0,0,.240,.343,.411,.754,359,6,0,5,10,0.64,25,125,1,.270,.171,23.38,.595,.123,.206
Josh Rojas,2B,AZ,139,484,69,128,32,3,11,44,58,137,9,4,.264,.341,.411,.752,550,0,1,3,7,1.37,46,199,1,.345,.147,44.00,.423,.105,.249
Pavin Smith,1B,AZ,145,498,68,133,27,4,11,49,42,106,1,0,.267,.328,.404,.732,545,4,0,1,11,0.98,42,201,1,.319,.137,45.27,.396,.077,.194
David Peralta,LF,AZ,150,487,57,126,30,8,8,63,46,92,2,1,.259,.325,.402,.727,538,3,0,2,9,1.58,46,196,3,.303,.144,60.88,.500,.086,.171
Asdrubal Cabrera,3B,AZ,90,283,34,69,21,0,7,40,33,73,1,0,.244,.324,.392,.716,321,2,0,3,6,0.92,28,111,1,.301,.148,40.43,.452,.103,.227
Jake McCarthy,CF,AZ,24,59,11,13,3,0,2,4,8,23,3,2,.220,.333,.373,.706,70,2,1,0,0,2.00,5,22,0,.324,.153,29.50,.348,.114,.329
Christian Walker,1B,AZ,115,401,55,98,23,1,10,46,38,106,0,0,.244,.315,.382,.697,445,4,0,2,8,0.75,34,153,1,.307,.137,40.10,.358,.085,.238
Stephen Vogt,C,AZ,52,132,17,28,6,1,5,17,18,36,0,0,.212,.307,.386,.693,151,0,1,0,2,0.57,12,51,1,.253,.174,26.40,.500,.119,.238
Kole Calhoun,RF,AZ,51,166,17,39,8,0,5,17,15,41,1,0,.235,.297,.373,.670,182,0,0,1,2,0.78,13,62,0,.281,.139,33.20,.366,.082,.225
Taylor Clarke,P,AZ,43,3,0,1,0,0,0,0,0,2,0,0,.333,.333,.333,.666,3,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.667
Josh Reddick,RF,AZ,54,151,15,39,11,0,2,21,6,31,0,0,.258,.285,.371,.656,158,0,0,1,4,0.78,13,56,0,.311,.113,75.50,.194,.038,.196
Josh VanMeter,2B,AZ,112,274,26,58,17,2,6,36,33,83,3,2,.212,.297,.354,.651,310,1,0,2,5,0.59,25,97,0,.278,.142,45.67,.398,.106,.268
Nick Ahmed,SS,AZ,129,434,46,96,30,3,5,38,34,104,7,2,.221,.280,.339,.619,473,2,2,1,9,1.14,38,147,3,.279,.118,86.80,.327,.072,.220
Henry Ramos,RF,AZ,18,50,5,10,2,0,1,8,4,12,0,0,.200,.255,.300,.555,55,0,0,1,1,0.93,3,15,0,.237,.100,50.00,.333,.073,.218
Matt Peacock,P,AZ,35,16,3,4,0,0,0,2,1,4,1,0,.250,.294,.250,.544,17,0,0,0,1,7.00,0,4,0,.333,.000,-.--,.250,.059,.235
Bryan Holaday,C,AZ,13,31,2,6,2,0,0,1,1,15,0,0,.194,.265,.258,.523,34,2,0,0,0,0.67,2,8,0,.375,.065,-.--,.067,.029,.441
Corbin Martin,P,AZ,5,4,0,1,0,0,0,0,0,3,0,0,.250,.250,.250,.500,4,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.750
Ildemaro Vargas,3B,AZ,18,43,4,8,1,1,0,4,3,7,0,0,.186,.239,.256,.495,46,0,0,0,1,1.80,2,11,1,.222,.070,-.--,.429,.065,.152
Tim Locastro,CF,AZ,55,118,11,21,2,0,1,5,6,26,5,3,.178,.271,.220,.491,133,9,0,0,2,0.69,3,26,0,.220,.042,118.00,.231,.045,.195
Drew Ellis,3B,AZ,28,69,10,9,2,0,1,5,10,27,0,0,.130,.277,.203,.480,83,4,0,0,1,0.65,3,14,1,.195,.072,69.00,.370,.120,.325
Zac Gallen,P,AZ,23,32,2,6,2,0,0,3,1,18,0,0,.188,.212,.250,.462,42,0,9,0,1,4.67,2,8,0,.429,.063,-.--,.056,.024,.429
Wyatt Mathisen,1B,AZ,23,42,3,5,0,0,1,8,5,21,0,0,.119,.255,.190,.445,51,3,0,1,0,0.31,1,8,0,.190,.071,42.00,.238,.098,.412
Stuart Fairchild,CF,AZ,12,15,3,2,1,0,0,2,1,3,0,0,.133,.235,.200,.435,17,1,0,0,1,1.00,1,3,0,.167,.067,-.--,.333,.059,.176
Humberto Mejia,P,AZ,5,7,1,1,1,0,0,0,0,2,0,0,.143,.143,.286,.429,8,0,1,0,0,1.50,1,2,0,.200,.143,-.--,.---,.000,.250
Madison Bumgarner,P,AZ,28,39,3,4,1,0,0,3,9,29,0,0,.103,.280,.128,.408,52,1,2,1,0,0.80,1,5,0,.364,.026,-.--,.310,.173,.558
Nick Heath,CF,AZ,20,35,3,5,1,0,0,1,4,15,0,2,.143,.231,.171,.402,39,0,0,0,0,0.88,1,6,1,.250,.029,-.--,.267,.103,.385
Jake Hager,2B,AZ,9,18,1,2,0,0,0,2,4,11,0,0,.111,.273,.111,.384,22,0,0,0,0,1.50,0,2,0,.286,.000,-.--,.364,.182,.500
Jon Duplantier,P,AZ,4,2,0,0,0,0,0,0,0,2,0,0,.000,.333,.000,.333,3,1,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,.667
Caleb Smith,P,AZ,45,22,2,2,1,0,0,0,1,14,1,0,.091,.167,.136,.303,25,1,1,0,0,7.00,1,3,0,.250,.045,-.--,.071,.040,.560
