PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Triston McKenzie,P,CLE,25,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
Cal Quantrill,P,CLE,40,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,1.00,0,1,0,.500,.000,-.--,.---,.000,.000
Jose Ramirez,3B,CLE,152,552,111,147,32,5,36,103,72,87,27,4,.266,.355,.538,.893,636,7,0,5,13,0.67,73,297,10,.256,.272,15.33,.828,.113,.137
Franmil Reyes,DH,CLE,115,418,57,106,18,2,30,85,43,149,4,1,.254,.324,.522,.846,466,2,0,3,13,1.31,50,218,3,.314,.268,13.93,.289,.092,.320
Jordan Luplow,CF,CLE,36,98,12,17,5,0,7,20,21,31,0,2,.173,.331,.439,.770,121,2,0,0,1,0.56,12,43,0,.167,.265,14.00,.677,.174,.256
Bobby Bradley,1B,CLE,74,245,36,51,10,0,16,41,25,99,0,0,.208,.294,.445,.739,279,6,0,3,3,1.13,26,109,1,.263,.237,15.31,.253,.090,.355
Myles Straw,CF,CLE,60,239,42,68,16,0,2,14,29,50,13,1,.285,.362,.377,.739,268,0,0,0,6,0.70,18,90,0,.353,.092,119.50,.580,.108,.187
Cesar Hernandez,2B,CLE,96,376,60,87,17,2,18,47,38,90,0,0,.231,.307,.431,.738,420,4,0,2,6,1.05,37,162,0,.256,.199,20.89,.422,.090,.214
Amed Rosario,SS,CLE,141,550,77,155,25,6,11,57,31,120,13,0,.282,.321,.409,.730,588,3,0,4,12,1.38,42,225,0,.340,.127,50.00,.258,.053,.204
Wilson Ramos,C,CLE,9,31,3,7,0,0,2,7,3,7,0,0,.226,.286,.419,.705,35,0,0,1,1,2.00,2,13,0,.217,.194,15.50,.429,.086,.200
Harold Ramirez,LF,CLE,99,339,33,91,21,1,7,41,14,56,3,1,.268,.305,.398,.703,361,5,0,3,10,1.35,29,135,1,.301,.130,48.43,.250,.039,.155
Josh Naylor,RF,CLE,69,233,28,59,13,0,7,21,14,45,1,0,.253,.301,.399,.700,250,2,0,0,7,1.26,20,93,1,.287,.146,33.29,.311,.056,.180
Rene Rivera,C,CLE,21,55,6,13,3,0,2,9,4,24,0,0,.236,.300,.400,.700,63,1,3,0,2,2.00,5,22,0,.379,.164,27.50,.167,.063,.381
Yu Chang,1B,CLE,89,237,32,54,14,3,9,39,11,69,1,0,.228,.267,.426,.693,251,2,0,1,4,0.77,26,101,0,.281,.198,26.33,.159,.044,.275
Eddie Rosario,LF,CLE,78,283,29,72,15,1,7,46,17,47,9,2,.254,.296,.389,.685,306,1,2,3,3,0.90,23,110,0,.280,.134,40.43,.362,.056,.154
Oscar Mercado,LF,CLE,72,214,27,48,11,1,6,19,21,42,7,1,.224,.300,.369,.669,238,2,1,0,1,0.89,18,79,0,.253,.145,35.67,.500,.088,.176
Bradley Zimmer,CF,CLE,99,299,44,68,9,1,8,35,30,122,15,3,.227,.325,.344,.669,348,15,0,4,3,1.13,18,103,0,.347,.117,37.38,.246,.086,.351
Daniel Johnson,RF,CLE,30,77,9,17,0,0,4,5,4,27,1,0,.221,.259,.377,.636,81,0,0,0,0,0.50,4,29,0,.283,.156,19.25,.148,.049,.333
Andres Gimenez,SS,CLE,68,188,23,41,10,0,5,16,11,54,11,0,.218,.282,.351,.633,210,7,1,3,1,1.26,15,66,0,.273,.133,37.60,.204,.052,.257
