PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Mario Feliciano,X,MIL,1,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Trevor Richards,P,MIL,15,0,1,0,0,0,0,0,1,0,0,0,.000,1.000,.000,1.000,1,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Jacob Nottingham,C,MIL,5,14,2,3,1,0,2,4,0,8,0,0,.214,.214,.714,.928,14,0,0,0,0,0.50,3,10,0,.250,.500,7.00,.---,.000,.571
Willy Adames,SS,MIL,99,365,61,104,26,0,20,58,47,105,4,2,.285,.366,.521,.887,413,0,0,1,8,0.85,46,190,1,.349,.236,18.25,.448,.114,.254
Avisail Garcia,RF,MIL,135,461,68,121,18,0,29,86,38,121,8,4,.262,.330,.490,.820,515,11,0,5,12,1.31,47,226,5,.291,.228,15.90,.314,.074,.235
Luke Maile,C,MIL,15,30,6,9,4,0,0,3,3,7,0,0,.300,.382,.433,.815,34,1,0,0,1,3.67,4,13,0,.391,.133,-.--,.429,.088,.206
Rowdy Tellez,1B,MIL,56,158,22,43,10,1,7,28,14,32,0,0,.272,.333,.481,.814,174,1,0,1,3,0.95,18,76,3,.300,.209,22.57,.438,.080,.184
Eduardo Escobar,3B,MIL,48,179,27,48,12,2,6,25,19,39,0,0,.268,.342,.458,.800,199,1,0,0,2,0.59,20,82,0,.313,.190,29.83,.487,.095,.196
Luis Urias,3B,MIL,150,490,77,122,25,1,23,75,63,116,5,1,.249,.345,.445,.790,570,10,1,3,9,0.86,49,218,3,.280,.196,21.30,.543,.111,.204
Kolten Wong,2B,MIL,116,445,70,121,32,2,14,50,31,83,12,5,.272,.335,.447,.782,492,13,0,3,2,0.95,48,199,1,.305,.175,31.79,.373,.063,.169
Tyrone Taylor,LF,MIL,93,243,33,60,9,3,12,43,20,59,6,1,.247,.321,.457,.778,271,7,0,1,6,0.84,24,111,1,.277,.210,20.25,.339,.074,.218
Derek Fisher,RF,MIL,4,8,1,2,0,1,0,1,0,1,0,0,.250,.250,.500,.750,8,0,0,0,0,1.50,1,4,0,.286,.250,-.--,.---,.000,.125
Omar Narvaez,C,MIL,123,391,54,104,20,0,11,49,41,84,0,0,.266,.342,.402,.744,445,7,0,6,13,0.63,31,157,3,.308,.136,35.54,.488,.092,.189
Christian Yelich,LF,MIL,117,399,70,99,19,2,9,51,70,113,9,3,.248,.362,.373,.735,475,3,0,3,5,1.41,30,149,5,.321,.125,44.33,.619,.147,.238
Manny Pina,C,MIL,75,180,27,34,6,0,13,33,22,38,0,0,.189,.293,.439,.732,208,5,0,1,4,0.79,19,79,0,.162,.250,13.85,.579,.106,.183
Lorenzo Cain,CF,MIL,78,257,40,66,13,0,8,36,26,48,13,2,.257,.329,.401,.730,286,2,0,1,5,1.09,21,103,0,.287,.144,32.12,.542,.091,.168
Daniel Vogelbach,1B,MIL,93,215,30,47,8,0,9,24,43,57,0,0,.219,.349,.381,.730,258,0,0,0,6,1.22,17,82,1,.255,.163,23.89,.754,.167,.221
Jace Peterson,2B,MIL,94,259,36,64,11,1,6,31,38,68,10,1,.247,.348,.367,.715,302,3,0,2,1,0.95,18,95,0,.310,.120,43.17,.559,.126,.225
Pablo Reyes,3B,MIL,53,78,12,20,5,0,1,3,9,15,4,0,.256,.333,.359,.692,87,0,0,0,2,0.65,6,28,1,.306,.103,78.00,.600,.103,.172
Billy McKinney,LF,MIL,40,92,9,19,3,1,3,6,7,24,1,0,.207,.260,.359,.619,100,0,0,1,1,0.79,7,33,1,.242,.152,30.67,.292,.070,.240
Travis Shaw,3B,MIL,56,178,14,34,8,0,6,28,19,51,0,0,.191,.279,.337,.616,202,3,1,1,2,0.70,14,60,0,.230,.146,29.67,.373,.094,.252
Daniel Robertson,3B,MIL,50,73,10,12,2,0,2,4,12,28,0,0,.164,.303,.274,.577,90,3,1,1,1,1.33,4,20,1,.227,.110,36.50,.429,.133,.311
Keston Hiura,1B,MIL,61,173,16,29,9,1,4,19,14,77,3,0,.168,.256,.301,.557,197,7,2,1,6,0.75,14,52,0,.269,.133,43.25,.182,.071,.391
Eric Lauer,P,MIL,26,26,3,4,0,0,1,4,3,15,0,0,.154,.258,.269,.527,37,1,6,1,1,3.67,1,7,0,.273,.115,26.00,.200,.081,.405
Hoby Milner,P,MIL,19,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,1.000,.500,.500
Jackie Bradley,CF,MIL,134,387,39,63,14,3,6,29,28,132,7,1,.163,.236,.261,.497,428,10,0,3,8,1.32,23,101,0,.226,.098,64.50,.212,.065,.308
Corbin Burnes,P,MIL,28,52,1,8,0,0,0,4,3,26,0,0,.154,.200,.154,.354,59,0,4,0,0,4.50,0,8,0,.308,.000,-.--,.115,.051,.441
Aaron Ashby,P,MIL,14,2,0,0,0,0,0,0,1,2,0,0,.000,.333,.000,.333,4,0,1,0,0,1.00,0,0,0,.---,.000,-.--,.500,.250,.500
Corey Ray,RF,MIL,1,2,1,0,0,0,0,0,1,1,0,0,.000,.333,.000,.333,3,0,0,0,0,1.00,0,0,0,.000,.000,-.--,1.000,.333,.333
Adrian Houser,P,MIL,28,42,2,3,0,0,2,2,2,30,0,0,.071,.114,.214,.328,46,0,2,0,0,4.50,2,9,0,.100,.143,21.00,.067,.043,.652
Tim Lopes,X,MIL,7,10,1,1,0,0,0,0,1,4,0,1,.100,.182,.100,.282,11,0,0,0,0,0.00,0,1,0,.167,.000,-.--,.250,.091,.364
