PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Tommy Hunter,P,NYM,4,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.000
Sean Reid-Foley,P,NYM,12,0,0,0,0,0,0,0,2,0,0,0,.000,1.000,.000,1.000,2,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,1.000,.000
Jordan Yamamoto,P,NYM,2,2,0,1,0,0,0,0,0,1,0,0,.500,.500,.500,1.000,2,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.500
Javier Baez,2B,NYM,47,167,32,50,9,0,9,22,13,53,5,2,.299,.371,.515,.886,186,6,0,0,5,1.13,18,86,1,.390,.216,18.56,.245,.070,.285
Pete Alonso,1B,NYM,152,561,81,147,27,3,37,94,60,127,3,0,.262,.344,.519,.863,637,12,0,4,20,0.83,67,291,6,.274,.257,15.16,.472,.094,.199
Brandon Nimmo,CF,NYM,92,325,51,95,17,3,8,28,54,79,5,4,.292,.401,.437,.838,386,5,2,0,3,1.22,28,142,0,.366,.145,40.62,.684,.140,.205
J.D. Davis,3B,NYM,73,179,18,51,12,0,5,23,24,68,1,0,.285,.384,.436,.820,211,6,0,2,4,0.94,17,78,1,.426,.151,35.80,.353,.114,.322
Johneshwy Fargas,CF,NYM,7,21,1,6,3,1,0,3,0,7,0,0,.286,.286,.524,.810,22,0,1,0,0,0.80,4,11,0,.429,.238,-.--,.---,.000,.318
Jerad Eickhoff,P,NYM,6,5,0,2,0,0,0,0,0,0,0,0,.400,.400,.400,.800,8,0,3,0,1,6.00,0,2,0,.400,.000,-.--,.---,.000,.000
Brandon Drury,X,NYM,51,84,7,23,5,0,4,14,3,22,0,0,.274,.307,.476,.783,88,1,0,0,3,1.60,9,40,0,.328,.202,21.00,.136,.034,.250
Billy McKinney,RF,NYM,39,91,15,20,6,1,5,14,11,31,1,0,.220,.304,.473,.777,102,0,0,0,1,0.90,12,43,0,.273,.253,18.20,.355,.108,.304
Jacob deGrom,P,NYM,15,33,4,12,1,0,0,6,0,9,0,0,.364,.364,.394,.758,33,0,0,0,0,1.00,1,13,0,.500,.030,-.--,.---,.000,.273
Jonathan Villar,3B,NYM,142,454,63,113,18,2,18,42,46,132,14,7,.249,.322,.416,.738,505,3,2,0,6,1.32,38,189,2,.313,.167,25.22,.348,.091,.261
Francisco Lindor,SS,NYM,125,452,73,104,16,3,20,63,58,96,10,4,.230,.322,.412,.734,524,5,6,3,7,0.91,39,186,4,.248,.181,22.60,.604,.111,.183
Michael Conforto,RF,NYM,125,406,52,94,20,0,14,55,59,104,1,0,.232,.344,.384,.728,479,12,0,2,14,1.14,34,156,3,.276,.153,29.00,.567,.123,.217
Kevin Pillar,CF,NYM,124,325,40,75,11,2,15,47,11,81,4,3,.231,.277,.415,.692,347,10,0,1,5,0.56,28,135,0,.261,.185,21.67,.136,.032,.233
Luis Guillorme,3B,NYM,69,132,13,35,3,0,1,5,23,23,0,2,.265,.374,.311,.685,156,0,1,0,2,1.27,4,41,2,.315,.045,132.00,1.000,.147,.147
Jeff McNeil,2B,NYM,120,386,48,97,19,1,7,35,29,58,3,0,.251,.319,.360,.679,426,10,0,1,10,0.95,27,139,0,.280,.109,55.14,.500,.068,.136
Dominic Smith,LF,NYM,145,446,43,109,20,0,11,58,32,112,2,1,.244,.304,.363,.667,493,9,0,6,13,0.75,31,162,2,.298,.119,40.54,.286,.065,.227
Jose Peraza,2B,NYM,64,142,21,29,7,0,6,20,9,26,1,0,.204,.266,.380,.646,154,3,0,0,5,0.53,13,54,0,.209,.176,23.67,.346,.058,.169
James McCann,C,NYM,121,375,29,87,12,1,10,46,32,115,1,2,.232,.294,.349,.643,412,2,0,3,12,1.44,23,131,1,.304,.117,37.50,.278,.078,.279
Mason Williams,CF,NYM,17,33,3,7,1,0,1,1,4,9,0,1,.212,.297,.333,.630,37,0,0,0,1,1.13,2,11,1,.261,.121,33.00,.444,.108,.243
Travis Blankenhorn,X,NYM,23,23,3,4,2,0,1,4,1,8,0,0,.174,.208,.391,.599,24,0,0,0,0,1.20,3,9,0,.214,.217,23.00,.125,.042,.333
Tomas Nido,C,NYM,58,153,16,34,5,1,3,13,5,44,1,0,.222,.261,.327,.588,161,3,0,0,4,1.03,9,50,1,.292,.105,51.00,.114,.031,.273
Tylor Megill,P,NYM,18,28,1,6,3,0,0,0,1,17,0,0,.214,.241,.321,.562,31,0,2,0,0,7.00,3,9,0,.545,.107,-.--,.059,.032,.548
Patrick Mazeika,C,NYM,37,79,6,15,3,0,1,6,4,18,0,0,.190,.253,.266,.519,87,3,0,1,2,0.88,4,21,1,.230,.076,79.00,.222,.046,.207
Wilfredo Tovar,2B,NYM,6,11,0,2,0,0,0,1,1,4,0,0,.182,.250,.182,.432,12,0,0,0,0,1.50,0,2,0,.286,.000,-.--,.250,.083,.333
Chance Sisco,C,NYM,5,9,1,1,1,0,0,1,1,3,0,0,.111,.200,.222,.422,10,0,0,0,1,1.50,1,2,0,.167,.111,-.--,.333,.100,.300
Albert Almora,CF,NYM,47,52,3,6,3,0,0,0,2,17,0,0,.115,.148,.173,.321,54,0,0,0,1,1.64,3,9,0,.171,.058,-.--,.118,.037,.315
Marcus Stroman,P,NYM,33,51,2,5,2,0,0,1,4,24,1,0,.098,.164,.137,.301,58,0,3,0,0,2.57,2,7,0,.185,.039,-.--,.167,.069,.414
Trevor Williams,P,NYM,10,7,0,1,0,0,0,0,0,3,0,0,.143,.143,.143,.286,8,0,1,0,0,4.00,0,1,0,.250,.000,-.--,.---,.000,.375
Jake Hager,LF,NYM,5,8,1,1,0,0,0,0,0,3,0,0,.125,.125,.125,.250,8,0,0,0,0,0.33,0,1,0,.200,.000,-.--,.---,.000,.375
Taijuan Walker,P,NYM,31,47,0,5,0,0,0,1,1,29,0,0,.106,.143,.106,.249,51,1,2,0,1,6.50,0,5,0,.278,.000,-.--,.034,.020,.569
David Peterson,P,NYM,16,16,2,1,1,0,0,0,0,10,0,0,.063,.118,.125,.243,20,1,3,0,0,8.00,1,2,0,.167,.063,-.--,.---,.000,.500
Cameron Maybin,CF,NYM,9,28,2,1,0,0,0,0,3,12,1,0,.036,.182,.036,.218,33,2,0,0,0,1.50,0,1,0,.063,.000,-.--,.250,.091,.364
Rich Hill,P,NYM,13,20,0,2,0,0,0,0,0,8,0,0,.100,.100,.100,.200,22,0,2,0,2,5.00,0,2,0,.167,.000,-.--,.---,.000,.364
Robert Gsellman,P,NYM,18,5,0,0,0,0,0,0,1,4,0,0,.000,.167,.000,.167,6,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.250,.167,.667
Khalil Lee,RF,NYM,11,18,2,1,1,0,0,1,0,13,0,0,.056,.056,.111,.167,18,0,0,0,0,3.00,1,2,0,.200,.056,-.--,.---,.000,.722
Joey Lucchesi,P,NYM,11,10,1,0,0,0,0,0,1,7,0,0,.000,.091,.000,.091,11,0,0,0,0,3.00,0,0,0,.000,.000,-.--,.143,.091,.636
Anthony Banda,P,NYM,5,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Jacob Barnes,P,NYM,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dellin Betances,P,NYM,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Akeem Bostick,P,NYM,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Carlos Carrasco,P,NYM,12,15,0,0,0,0,0,0,0,10,0,0,.000,.000,.000,.000,19,0,4,0,0,9.00,0,0,0,.000,.000,-.--,.---,.000,.526
Miguel Castro,P,NYM,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Edwin Diaz,P,NYM,63,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Yennsy Diaz,P,NYM,20,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
