PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Estevan Florial,CF,NYY,11,20,3,6,2,0,1,2,5,6,1,0,.300,.440,.550,.990,25,0,0,0,0,1.00,3,11,0,.385,.250,20.00,.833,.200,.240
Aaron Judge,RF,NYY,148,550,89,158,24,0,39,98,75,158,6,1,.287,.373,.544,.917,633,3,0,5,16,1.13,63,299,2,.332,.256,14.10,.475,.118,.250
Giancarlo Stanton,DH,NYY,139,510,64,139,19,0,35,97,63,157,0,0,.273,.354,.516,.870,579,3,0,3,22,1.09,54,263,1,.324,.243,14.57,.401,.109,.271
Greg Allen,RF,NYY,15,37,9,10,4,1,0,2,5,13,5,0,.270,.417,.432,.849,48,5,0,1,0,0.50,5,16,0,.400,.162,-.--,.385,.104,.271
Ryan LaMarre,LF,NYY,9,21,3,4,0,0,2,4,2,6,1,0,.190,.292,.476,.768,24,1,0,0,1,2.67,2,10,0,.154,.286,10.50,.333,.083,.250
Anthony Rizzo,1B,NYY,49,173,32,43,7,0,8,21,16,28,2,0,.249,.340,.428,.768,200,9,0,2,5,0.89,15,74,0,.252,.179,21.62,.571,.080,.140
Luke Voit,1B,NYY,68,213,26,51,7,1,11,35,21,74,0,0,.239,.328,.437,.765,241,7,0,0,12,1.20,19,93,0,.313,.197,19.36,.284,.087,.307
Gary Sanchez,C,NYY,117,383,54,78,13,1,23,54,52,121,0,0,.204,.307,.423,.730,440,5,0,0,14,0.74,37,162,3,.230,.219,16.65,.430,.118,.275
Gio Urshela,3B,NYY,116,420,42,112,18,2,14,49,20,109,1,0,.267,.301,.419,.720,442,1,0,1,16,1.20,34,176,0,.329,.152,30.00,.183,.045,.247
DJ LeMahieu,2B,NYY,150,597,84,160,24,1,10,57,73,94,4,2,.268,.349,.362,.711,679,4,0,5,16,1.37,35,216,2,.301,.094,59.70,.777,.108,.138
Joey Gallo,LF,NYY,58,188,33,30,7,0,13,22,37,88,0,0,.160,.303,.404,.707,228,2,0,1,3,0.54,20,76,1,.193,.245,14.46,.420,.162,.386
Gleyber Torres,SS,NYY,127,459,50,119,22,0,9,51,50,104,14,6,.259,.331,.366,.697,516,1,2,4,12,0.92,31,168,1,.314,.107,51.00,.481,.097,.202
Brett Gardner,CF,NYY,140,387,47,86,16,4,10,39,60,100,4,0,.222,.327,.362,.689,461,3,5,6,3,0.94,30,140,0,.269,.140,38.70,.600,.130,.217
Tyler Wade,SS,NYY,103,127,31,34,5,1,0,5,16,37,17,6,.268,.354,.323,.677,145,1,0,0,3,1.67,6,41,1,.378,.055,-.--,.432,.110,.255
Miguel Andujar,LF,NYY,45,154,19,39,2,0,6,12,7,28,0,1,.253,.284,.383,.667,162,0,0,1,8,1.38,8,59,0,.273,.130,25.67,.250,.043,.173
Rougned Odor,2B,NYY,102,322,42,65,12,0,15,39,27,100,0,1,.202,.286,.379,.665,361,11,1,0,3,0.86,27,122,2,.242,.177,21.47,.270,.075,.277
Tim Locastro,LF,NYY,9,21,4,4,2,0,1,2,1,7,0,0,.190,.217,.429,.646,23,0,0,1,0,0.83,3,9,0,.214,.238,21.00,.143,.043,.304
Kyle Higashioka,C,NYY,67,193,20,35,10,0,10,29,17,59,0,0,.181,.246,.389,.635,211,0,0,1,4,0.56,20,75,0,.200,.207,19.30,.288,.081,.280
Clint Frazier,LF,NYY,66,183,20,34,9,0,5,15,32,65,2,0,.186,.317,.317,.634,218,3,0,0,8,0.95,14,58,0,.257,.131,36.60,.492,.147,.298
Aaron Hicks,CF,NYY,32,108,13,21,3,0,4,14,14,30,0,0,.194,.294,.333,.627,126,2,0,2,3,0.51,7,36,0,.224,.139,27.00,.467,.111,.238
Andrew Velazquez,SS,NYY,28,67,11,15,4,1,1,6,1,23,4,1,.224,.235,.358,.593,68,0,0,0,1,1.07,6,24,0,.326,.134,67.00,.043,.015,.338
Mike Ford,1B,NYY,22,60,6,8,0,0,3,5,11,23,0,0,.133,.278,.283,.561,72,1,0,0,1,0.61,3,17,1,.147,.150,20.00,.478,.153,.319
Mike Tauchman,X,NYY,11,14,1,3,1,0,0,0,1,6,2,0,.214,.267,.286,.553,16,0,1,0,0,0.50,1,4,0,.375,.071,-.--,.167,.063,.375
Clarke Schmidt,P,NYY,2,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,1.000,.500,.500
Jameson Taillon,P,NYY,29,1,0,0,0,0,0,0,1,0,0,0,.000,.500,.000,.500,2,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.500,.000
Jay Bruce,1B,NYY,10,34,3,4,1,0,1,3,5,13,0,0,.118,.231,.235,.466,39,0,0,0,2,1.83,2,8,0,.150,.118,34.00,.385,.128,.333
Chris Gittens,1B,NYY,16,36,1,4,0,0,1,5,7,13,0,0,.111,.250,.194,.444,44,0,0,1,0,1.86,1,7,0,.130,.083,36.00,.538,.159,.295
Rob Brantly,C,NYY,6,20,0,3,1,0,0,0,0,4,0,0,.150,.190,.200,.390,21,1,0,0,0,0.63,1,4,0,.188,.050,-.--,.---,.000,.190
Jonathan Davis,X,NYY,12,17,4,1,0,0,0,0,1,5,0,0,.059,.111,.059,.170,18,0,0,0,0,2.67,0,1,0,.083,.000,-.--,.200,.056,.278
Albert Abreu,P,NYY,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Trey Amburgey,RF,NYY,2,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,1,2.00,0,0,0,.000,.000,-.--,.---,.000,.500
