PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Will Brennan,LF,CLE,11,42,6,15,1,1,1,8,2,4,2,1,.357,.400,.500,.900,45,1,0,0,0,1.30,3,21,1,.378,.143,42.00,.500,.044,.089
Jose Ramirez,3B,CLE,157,601,90,168,44,5,29,126,69,82,20,7,.280,.355,.514,.869,685,6,0,9,5,0.49,78,309,20,.279,.235,20.72,.841,.101,.120
Andres Gimenez,2B,CLE,146,491,66,146,26,3,17,69,34,112,20,3,.297,.371,.466,.837,557,25,4,3,9,1.03,46,229,4,.353,.169,28.88,.304,.061,.201
Oscar Gonzalez,RF,CLE,91,362,39,107,27,0,11,43,15,75,1,2,.296,.327,.461,.788,382,3,0,2,6,1.39,38,167,2,.345,.166,32.91,.200,.039,.196
Steven Kwan,LF,CLE,147,563,89,168,25,7,6,52,62,60,19,5,.298,.373,.400,.773,638,7,2,4,9,0.78,38,225,2,.323,.101,93.83,1.033,.097,.094
Josh Naylor,1B,CLE,122,449,47,115,28,0,20,79,38,80,6,1,.256,.319,.452,.771,498,6,0,5,13,1.35,48,203,4,.268,.196,22.45,.475,.076,.161
Amed Rosario,SS,CLE,153,637,86,180,26,9,11,71,25,111,18,4,.283,.312,.403,.715,670,4,0,4,19,1.30,46,257,0,.326,.121,57.91,.225,.037,.166
Nolan Jones,RF,CLE,28,86,10,21,5,0,2,13,8,31,0,0,.244,.309,.372,.681,94,0,0,0,2,1.00,7,32,1,.358,.128,43.00,.258,.085,.330
Owen Miller,1B,CLE,130,424,53,103,26,1,6,51,32,93,2,0,.243,.301,.351,.652,472,7,0,9,8,0.94,33,149,1,.290,.108,70.67,.344,.068,.197
Gabriel Arias,3B,CLE,16,47,9,9,1,1,1,5,8,16,1,0,.191,.321,.319,.640,57,1,1,0,1,4.75,3,15,0,.267,.128,47.00,.500,.140,.281
Luke Maile,C,CLE,76,181,19,40,10,0,3,17,19,54,0,0,.221,.301,.326,.627,206,3,0,3,6,0.70,13,59,0,.291,.105,60.33,.352,.092,.262
Oscar Mercado,RF,CLE,54,120,17,25,6,1,4,16,5,28,2,2,.208,.244,.375,.619,127,1,0,1,4,0.58,11,45,0,.236,.167,30.00,.179,.039,.220
Franmil Reyes,DH,CLE,70,263,24,56,9,0,9,28,14,104,2,0,.213,.254,.350,.604,280,1,0,2,8,1.02,18,92,0,.309,.137,29.22,.135,.050,.371
Tyler Freeman,3B,CLE,24,77,9,19,3,0,0,3,4,11,1,0,.247,.314,.286,.600,86,4,0,1,2,1.09,3,22,0,.284,.039,-.--,.364,.047,.128
Richie Palacios,LF,CLE,54,112,7,26,6,0,0,10,9,20,2,0,.232,.293,.286,.579,123,1,0,1,2,0.97,6,32,1,.280,.054,-.--,.450,.073,.163
Myles Straw,CF,CLE,152,535,72,118,22,3,0,32,54,87,21,1,.221,.291,.273,.564,596,1,2,4,4,0.96,25,146,0,.261,.052,-.--,.621,.091,.146
Alex Call,RF,CLE,12,12,2,2,0,0,0,0,4,4,0,0,.167,.375,.167,.542,16,0,0,0,0,1.00,0,2,0,.250,.000,-.--,1.000,.250,.250
Sandy Leon,C,CLE,9,15,0,2,0,0,0,0,6,4,0,0,.133,.381,.133,.514,21,0,0,0,1,0.29,0,2,0,.182,.000,-.--,1.500,.286,.190
Austin Hedges,C,CLE,105,294,26,48,4,0,7,30,25,78,2,0,.163,.241,.248,.489,338,6,10,3,12,0.83,11,73,0,.193,.085,42.00,.321,.074,.231
Ernie Clement,X,CLE,64,145,18,29,3,0,0,6,11,24,0,1,.200,.264,.221,.485,161,2,2,1,3,0.98,3,32,0,.238,.021,-.--,.458,.068,.149
Will Benson,CF,CLE,28,55,8,10,1,0,0,3,3,19,0,0,.182,.250,.200,.450,61,2,1,0,1,1.25,1,11,0,.278,.018,-.--,.158,.049,.311
Bryan Lavastida,C,CLE,6,12,0,1,0,0,0,0,3,4,0,0,.083,.267,.083,.350,15,0,0,0,0,1.33,0,1,0,.125,.000,-.--,.750,.200,.267
Bobby Bradley,1B,CLE,8,17,1,2,0,0,0,0,0,9,0,0,.118,.118,.118,.236,17,0,0,0,0,2.00,0,2,0,.250,.000,-.--,.---,.000,.529
Yu Chang,1B,CLE,4,10,0,0,0,0,0,0,0,7,0,0,.000,.000,.000,.000,10,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.700
Enyel De Los Santos,P,CLE,50,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Bo Naylor,C,CLE,5,8,0,0,0,0,0,0,0,5,0,0,.000,.000,.000,.000,8,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.625
Bryan Shaw,P,CLE,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
