PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Royce Lewis,SS,MIN,12,40,5,12,4,0,2,5,1,5,0,0,.300,.317,.550,.867,41,0,0,0,2,0.53,6,22,0,.303,.250,20.00,.200,.024,.122
Carlos Correa,SS,MIN,136,522,70,152,24,1,22,64,61,121,0,1,.291,.366,.467,.833,590,3,0,4,18,0.98,47,244,2,.339,.176,23.73,.504,.103,.205
Byron Buxton,CF,MIN,92,340,61,76,13,3,28,51,34,116,6,0,.224,.306,.526,.832,382,7,0,1,0,0.60,44,179,0,.244,.303,12.14,.293,.089,.304
Luis Arraez,1B,MIN,144,547,88,173,31,1,8,49,50,43,4,4,.316,.375,.420,.795,603,3,0,3,6,0.92,40,230,2,.331,.104,68.38,1.163,.083,.071
Gio Urshela,3B,MIN,144,501,61,143,27,3,13,64,41,96,1,0,.285,.338,.429,.767,551,2,0,7,21,0.82,43,215,2,.326,.144,38.54,.427,.074,.174
Jose Miranda,1B,MIN,125,444,45,119,25,0,15,66,28,91,1,1,.268,.325,.426,.751,483,10,0,1,19,0.88,40,189,0,.307,.158,29.60,.308,.058,.188
Jorge Polanco,2B,MIN,104,375,54,88,16,0,16,56,64,95,3,3,.235,.346,.405,.751,445,2,0,4,4,0.56,32,152,1,.269,.171,23.44,.674,.144,.213
Nick Gordon,LF,MIN,138,405,45,110,28,4,9,50,19,105,6,4,.272,.316,.427,.743,443,10,3,6,8,0.99,41,173,1,.340,.156,45.00,.181,.043,.237
Kyle Garlick,LF,MIN,66,150,23,35,3,0,9,18,8,48,0,0,.233,.284,.433,.717,162,3,0,1,2,1.00,12,65,0,.277,.200,16.67,.167,.049,.296
Trevor Larnach,LF,MIN,51,160,22,37,13,0,5,18,18,57,0,0,.231,.306,.406,.712,180,0,0,2,1,1.13,18,65,1,.320,.175,32.00,.316,.100,.317
Matt Wallner,RF,MIN,18,57,4,13,3,0,2,10,6,25,1,0,.228,.323,.386,.709,65,2,0,0,0,1.38,5,22,1,.367,.158,28.50,.240,.092,.385
