PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Conner Capel,RF,OAK,13,35,6,13,0,1,2,9,4,8,1,1,.371,.425,.600,1.025,40,0,0,1,2,1.14,3,21,0,.423,.229,17.50,.500,.100,.200
Sean Murphy,C,OAK,148,537,67,134,37,2,18,66,56,124,1,0,.250,.332,.426,.758,612,13,0,5,14,1.00,57,229,2,.290,.177,29.83,.452,.092,.203
Seth Brown,1B,OAK,150,500,55,115,26,3,25,73,51,146,11,2,.230,.305,.444,.749,555,3,0,1,7,0.76,54,222,3,.273,.214,20.00,.349,.092,.263
Shea Langeliers,DH,OAK,40,142,14,31,10,1,6,22,9,53,0,0,.218,.261,.430,.691,153,0,0,2,4,0.88,17,61,0,.294,.211,23.67,.170,.059,.346
Christian Bethancourt,1B,OAK,56,169,23,42,11,0,4,19,10,41,4,1,.249,.298,.385,.683,182,2,1,0,3,1.18,15,65,0,.306,.136,42.25,.244,.055,.225
Elvis Andrus,SS,OAK,106,354,41,84,24,0,8,30,30,62,7,4,.237,.301,.373,.674,386,2,0,0,10,0.98,32,132,0,.268,.136,44.25,.484,.078,.161
Ramon Laureano,RF,OAK,94,346,49,73,18,0,13,34,25,104,11,6,.211,.287,.376,.663,383,12,0,0,6,0.92,31,130,0,.262,.165,26.62,.240,.065,.272
Dermis Garcia,1B,OAK,39,116,13,24,6,0,5,20,8,55,0,0,.207,.264,.388,.652,125,1,0,0,1,1.06,11,45,0,.339,.181,23.20,.145,.064,.440
Chad Pinder,LF,OAK,111,361,38,85,18,0,12,42,14,118,2,0,.235,.263,.385,.648,379,0,1,2,10,1.48,30,139,0,.313,.150,30.08,.119,.037,.311
Tony Kemp,2B,OAK,147,497,61,117,24,2,7,46,45,69,11,1,.235,.307,.334,.641,558,8,5,3,5,0.88,33,166,0,.259,.099,71.00,.652,.081,.124
Luis Barrera,LF,OAK,32,77,3,18,5,0,1,7,6,17,3,0,.234,.294,.338,.632,85,1,0,1,2,1.26,6,26,0,.283,.104,77.00,.353,.071,.200
Jordan Diaz,2B,OAK,15,49,3,13,3,0,0,1,2,7,0,0,.265,.294,.327,.621,51,0,0,0,1,2.63,3,16,0,.310,.061,-.--,.286,.039,.137
Stephen Piscotty,RF,OAK,42,126,12,24,4,0,5,14,9,48,2,0,.190,.252,.341,.593,139,2,0,2,2,1.07,9,43,1,.253,.151,25.20,.188,.065,.345
Skye Bolt,CF,OAK,42,106,10,21,2,0,4,13,7,30,5,0,.198,.259,.330,.589,116,2,0,1,1,1.15,6,35,0,.233,.132,26.50,.233,.060,.259
Vimael Machin,3B,OAK,73,223,26,49,12,0,1,13,25,47,1,1,.220,.300,.287,.587,253,2,0,3,6,0.91,13,64,0,.270,.067,223.00,.532,.099,.186
Cody Thomas,LF,OAK,10,30,1,8,0,0,0,0,2,12,0,0,.267,.313,.267,.580,32,0,0,0,0,1.50,0,8,0,.444,.000,-.--,.167,.063,.375
Stephen Vogt,X,OAK,70,168,18,27,4,1,7,23,17,46,1,0,.161,.241,.321,.562,191,2,0,4,4,0.50,12,54,0,.168,.161,24.00,.370,.089,.241
Sheldon Neuse,3B,OAK,89,271,25,58,4,2,4,26,20,80,6,1,.214,.273,.288,.561,293,2,0,0,5,2.24,10,78,0,.289,.074,67.75,.250,.068,.273
Jonah Bride,2B,OAK,58,162,17,33,4,0,1,6,19,32,1,0,.204,.301,.247,.548,187,4,1,1,4,0.83,5,40,0,.246,.043,162.00,.594,.102,.171
Nick Allen,SS,OAK,100,299,31,62,13,0,4,19,19,64,3,2,.207,.256,.291,.547,326,1,6,1,5,1.28,17,87,0,.250,.084,74.75,.297,.058,.196
Kevin Smith,3B,OAK,47,139,9,25,9,1,2,13,7,42,4,0,.180,.216,.302,.518,151,0,3,2,5,0.88,12,42,0,.237,.122,69.50,.167,.046,.278
Jed Lowrie,DH,OAK,50,167,14,30,5,0,3,16,15,39,1,0,.180,.245,.263,.508,184,0,0,2,5,0.82,8,44,0,.213,.084,55.67,.385,.082,.212
Cal Stevenson,CF,OAK,23,60,5,10,3,0,0,1,8,23,1,1,.167,.261,.217,.478,71,0,2,1,1,1.14,3,13,0,.263,.050,-.--,.348,.113,.324
Matt Davidson,3B,OAK,8,24,2,4,0,0,1,2,0,10,0,1,.167,.167,.292,.459,24,0,0,0,0,1.50,1,7,0,.231,.125,24.00,.---,.000,.417
Cristian Pache,CF,OAK,91,241,18,40,5,2,3,18,15,70,2,2,.166,.218,.241,.459,260,1,3,0,5,1.79,10,58,0,.220,.075,80.33,.214,.058,.269
Mickey McDonald,X,OAK,4,4,0,0,0,0,0,0,2,3,0,0,.000,.333,.000,.333,6,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.667,.333,.500
Nate Mondou,2B,OAK,1,2,0,0,0,0,0,0,1,1,0,0,.000,.333,.000,.333,3,0,0,0,0,0.00,0,0,0,.000,.000,-.--,1.000,.333,.333
Billy McKinney,RF,OAK,23,52,3,5,1,0,1,4,4,16,0,0,.096,.158,.173,.331,57,0,0,1,0,0.78,2,9,1,.111,.077,52.00,.250,.070,.281
Austin Allen,C,OAK,5,14,1,1,0,0,0,0,1,9,0,0,.071,.188,.071,.259,16,1,0,0,1,0.33,0,1,0,.200,.000,-.--,.111,.063,.563
Ernie Clement,3B,OAK,6,18,1,1,1,0,0,0,0,2,0,0,.056,.056,.111,.167,18,0,0,0,0,0.67,1,2,0,.063,.056,-.--,.---,.000,.111
Christian Lopes,X,OAK,4,9,0,0,0,0,0,0,1,5,0,0,.000,.100,.000,.100,10,0,0,0,0,0.33,0,0,0,.000,.000,-.--,.200,.100,.500
David MacKinnon,1B,OAK,6,13,2,0,0,0,0,0,1,5,0,0,.000,.071,.000,.071,14,0,0,0,0,3.00,0,0,0,.000,.000,-.--,.200,.071,.357
Justin Grimm,P,OAK,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Drew Jackson,RF,OAK,3,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,3,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.333
James Kaprielian,P,OAK,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Joel Payamps,P,OAK,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
