PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Joc Pederson,LF,SF,134,380,57,104,19,3,23,70,42,100,3,2,.274,.353,.521,.874,433,7,0,4,5,0.68,45,198,3,.310,.247,16.52,.420,.097,.231
J.D. Davis,3B,SF,49,137,20,36,8,0,8,14,19,56,0,0,.263,.361,.496,.857,158,2,0,0,4,0.96,16,68,1,.384,.234,17.12,.339,.120,.354
Austin Dean,LF,SF,3,8,1,3,0,0,0,0,1,0,0,0,.375,.444,.375,.819,9,0,0,0,0,4.00,0,3,0,.375,.000,-.--,.---,.111,.000
Jason Vosler,3B,SF,36,98,14,26,6,1,4,12,10,29,1,1,.265,.342,.469,.811,111,2,0,1,3,1.10,11,46,1,.333,.204,24.50,.345,.090,.261
David Villar,3B,SF,52,156,21,36,6,1,9,24,18,58,0,1,.231,.331,.455,.786,181,6,0,1,4,0.85,16,71,0,.300,.224,17.33,.310,.099,.320
Austin Slater,CF,SF,125,277,49,73,15,2,7,34,40,89,12,1,.264,.366,.408,.774,325,6,0,2,9,1.72,24,113,0,.361,.144,39.57,.449,.123,.274
Evan Longoria,3B,SF,89,266,31,65,13,0,14,42,27,83,0,0,.244,.315,.451,.766,298,2,0,3,6,0.70,27,120,2,.297,.207,19.00,.325,.091,.279
Thairo Estrada,2B,SF,140,488,71,127,22,2,14,62,33,89,21,6,.260,.322,.400,.722,541,14,1,5,10,1.40,38,195,0,.290,.139,34.86,.371,.061,.165
Wilmer Flores,2B,SF,151,525,72,120,28,1,19,71,59,103,0,0,.229,.316,.394,.710,602,11,0,7,7,0.58,48,207,1,.246,.166,27.63,.573,.098,.171
Darin Ruf,1B,SF,90,268,46,58,9,0,11,38,40,85,2,0,.216,.328,.373,.701,314,5,0,1,8,1.00,20,100,0,.272,.157,24.36,.471,.127,.271
Mike Yastrzemski,RF,SF,148,485,73,104,31,2,17,57,61,141,5,1,.214,.305,.392,.697,558,5,1,6,3,0.68,50,190,0,.261,.177,28.53,.433,.109,.253
Curt Casali,C,SF,41,108,13,25,3,0,4,14,15,36,0,0,.231,.325,.370,.695,126,1,0,2,1,0.69,7,40,0,.300,.139,27.00,.417,.119,.286
Lewis Brinson,CF,SF,16,36,5,6,2,0,3,4,2,14,1,0,.167,.211,.472,.683,39,0,1,0,0,1.83,5,17,0,.158,.306,12.00,.143,.051,.359
Andrew Knapp,C,SF,3,4,2,1,0,0,0,2,2,0,0,0,.250,.429,.250,.679,7,0,0,1,0,0.33,0,1,0,.200,.000,-.--,.---,.286,.000
Luis Gonzalez,RF,SF,98,311,31,78,17,2,4,36,30,75,10,2,.251,.320,.357,.677,350,4,0,5,5,0.92,23,111,1,.312,.106,77.75,.400,.086,.214
Brandon Belt,1B,SF,78,254,25,54,9,1,8,23,37,81,1,0,.213,.326,.350,.676,298,6,0,1,9,0.48,18,89,2,.277,.138,31.75,.457,.124,.272
Austin Wynns,C,SF,66,162,14,42,7,0,3,21,10,38,0,0,.259,.313,.358,.671,177,3,1,1,9,1.05,10,58,0,.320,.099,54.00,.263,.056,.215
Yermin Mercedes,DH,SF,31,73,9,17,5,0,1,8,9,17,0,0,.233,.325,.342,.667,83,1,0,0,1,0.50,6,25,0,.291,.110,73.00,.529,.108,.205
LaMonte Wade,RF,SF,77,217,29,45,7,1,8,26,26,51,1,0,.207,.305,.359,.664,251,5,2,1,0,0.68,16,78,0,.233,.152,27.12,.510,.104,.203
Joey Bart,C,SF,97,261,34,56,6,0,11,25,26,112,2,1,.215,.296,.364,.660,291,4,0,0,5,1.07,17,95,0,.326,.149,23.73,.232,.089,.385
Brandon Crawford,SS,SF,118,407,50,94,15,2,9,52,39,98,1,1,.231,.308,.344,.652,458,8,0,4,12,1.11,26,140,3,.280,.113,45.22,.398,.085,.214
Mauricio Dubon,CF,SF,21,46,10,11,1,0,2,8,1,4,0,0,.239,.245,.391,.636,49,0,0,2,0,0.43,3,18,0,.214,.152,23.00,.250,.020,.082
Tommy La Stella,DH,SF,60,180,17,43,14,0,2,14,11,30,0,0,.239,.282,.350,.632,195,1,0,3,4,0.90,16,63,0,.272,.111,90.00,.367,.056,.154
Luke Williams,3B,SF,8,12,1,3,1,0,0,3,0,4,0,0,.250,.250,.333,.583,12,0,0,0,0,0.67,1,4,0,.375,.083,-.--,.---,.000,.333
Steven Duggar,CF,SF,12,36,2,7,3,0,0,4,2,16,4,0,.194,.231,.278,.509,39,0,0,1,0,1.00,3,10,0,.333,.083,-.--,.125,.051,.410
Mike Ford,1B,SF,1,4,0,1,0,0,0,2,0,0,0,0,.250,.250,.250,.500,4,0,0,0,0,0.00,0,1,0,.250,.000,-.--,.---,.000,.000
Dixon Machado,SS,SF,5,15,1,3,0,0,0,0,1,5,0,0,.200,.294,.200,.494,17,1,0,0,0,1.33,0,3,0,.300,.000,-.--,.200,.059,.294
Donovan Walton,2B,SF,24,76,8,12,8,0,1,8,1,16,0,0,.158,.179,.303,.482,78,1,0,0,1,1.09,9,23,0,.186,.145,76.00,.063,.013,.205
Ford Proctor,2B,SF,7,18,3,2,0,0,1,6,2,3,0,0,.111,.182,.278,.460,22,0,0,2,0,4.00,1,5,0,.063,.167,18.00,.667,.091,.136
Jason Krizan,LF,SF,3,8,0,1,0,0,0,0,2,3,0,0,.125,.300,.125,.425,10,0,0,0,0,1.00,0,1,0,.200,.000,-.--,.667,.200,.300
Willie Calhoun,DH,SF,4,8,0,1,0,0,0,1,1,2,0,0,.125,.222,.125,.347,9,0,0,0,1,0.67,0,1,0,.167,.000,-.--,.500,.111,.222
Kevin Padlo,3B,SF,4,12,0,2,0,0,0,0,0,4,0,0,.167,.167,.167,.334,12,0,0,0,1,0.50,0,2,0,.250,.000,-.--,.---,.000,.333
Heliot Ramos,RF,SF,9,20,4,2,0,0,0,0,2,6,0,0,.100,.182,.100,.282,22,0,0,0,1,2.00,0,2,0,.143,.000,-.--,.333,.091,.273
Bryce Johnson,CF,SF,11,18,1,2,0,0,0,2,1,7,0,0,.111,.158,.111,.269,19,0,0,0,0,0.80,0,2,0,.182,.000,-.--,.143,.053,.368
Michael Papierski,C,SF,5,9,1,0,0,0,0,0,1,4,0,0,.000,.100,.000,.100,10,0,0,0,0,4.00,0,0,0,.000,.000,-.--,.250,.100,.400
Scott Alexander,P,SF,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Stuart Fairchild,CF,SF,5,8,1,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,8,0,0,0,0,0.67,0,0,0,.000,.000,-.--,.---,.000,.375
Ka'ai Tom,RF,SF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
