PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG
Joey Meneses,1B,WSH,56,222,33,72,14,0,13,34,15,52,1,0,.324,.367,.563,.930,240,1,0,2,13,1.56,27,125,2,.371,.239,17.08,.288,.063,.217
Juan Soto,RF,WSH,101,342,62,84,17,1,21,46,91,62,6,2,.246,.408,.485,.893,436,3,0,0,11,1.25,39,166,4,.243,.240,16.29,1.468,.209,.142
Josh Bell,1B,WSH,103,375,52,113,24,3,14,57,49,61,0,1,.301,.384,.493,.877,437,5,0,6,19,1.25,41,185,4,.324,.192,26.79,.803,.112,.140
Alex Call,LF,WSH,35,102,16,25,3,1,5,13,11,26,3,3,.245,.330,.441,.771,115,2,0,0,2,0.89,9,45,0,.282,.196,20.40,.423,.096,.226
Yadiel Hernandez,LF,WSH,94,305,30,82,16,0,9,41,19,74,2,1,.269,.312,.410,.722,327,1,0,2,9,1.70,25,125,0,.326,.141,33.89,.257,.058,.226
Ildemaro Vargas,3B,WSH,53,186,15,52,13,0,3,19,5,21,3,1,.280,.308,.398,.706,196,3,1,1,5,0.98,16,74,0,.301,.118,62.00,.238,.026,.107
Lane Thomas,LF,WSH,146,498,62,120,26,2,17,52,41,132,8,4,.241,.301,.404,.705,548,4,0,5,8,0.95,45,201,0,.291,.163,29.29,.311,.075,.241
Luis Garcia,SS,WSH,93,360,29,99,23,2,7,45,11,84,3,4,.275,.295,.408,.703,377,1,1,4,6,1.68,32,147,1,.337,.133,51.43,.131,.029,.223
Luke Voit,DH,WSH,53,202,17,46,4,0,9,21,16,69,0,0,.228,.295,.381,.676,224,4,0,2,4,0.82,13,77,0,.294,.153,22.44,.232,.071,.308
Keibert Ruiz,C,WSH,112,394,33,99,22,0,7,36,30,50,6,1,.251,.313,.360,.673,433,6,1,2,9,0.91,29,142,0,.271,.109,56.29,.600,.069,.115
Dee Strange-Gordon,SS,WSH,23,59,6,18,1,1,0,2,0,8,3,2,.305,.305,.356,.661,59,0,0,0,1,2.00,2,21,0,.353,.051,-.--,.---,.000,.136
Nelson Cruz,DH,WSH,124,448,50,105,16,0,10,64,49,119,4,0,.234,.313,.337,.650,507,4,0,3,16,1.49,26,151,1,.295,.103,44.80,.412,.097,.235
Cesar Hernandez,2B,WSH,147,560,64,139,28,4,1,34,45,114,10,4,.248,.311,.318,.629,617,7,3,2,9,1.01,33,178,0,.309,.070,560.00,.395,.073,.185
CJ Abrams,SS,WSH,44,159,17,41,7,2,0,10,1,23,6,2,.258,.276,.327,.603,163,3,0,0,1,1.16,9,52,0,.301,.069,-.--,.043,.006,.141
Maikel Franco,3B,WSH,103,371,31,85,15,0,9,39,12,75,1,0,.229,.255,.342,.597,388,2,0,3,18,1.06,24,127,0,.262,.113,41.22,.160,.031,.193
Victor Robles,CF,WSH,132,366,42,82,10,2,6,33,17,104,15,4,.224,.273,.311,.584,407,9,11,4,3,0.89,18,114,0,.292,.087,61.00,.163,.042,.256
Riley Adams,C,WSH,48,142,14,25,4,0,5,10,12,46,0,1,.176,.245,.310,.555,155,1,0,0,2,0.97,9,44,0,.220,.134,28.40,.261,.077,.297
Alcides Escobar,SS,WSH,42,124,12,27,4,2,0,8,5,32,1,1,.218,.260,.282,.542,131,2,0,0,1,0.67,6,35,0,.293,.065,-.--,.156,.038,.244
Joshua Palacios,X,WSH,29,47,8,10,2,0,0,2,1,15,1,0,.213,.245,.255,.500,49,1,0,0,0,1.75,2,12,0,.313,.043,-.--,.067,.020,.306
Ehire Adrianza,3B,WSH,31,84,5,15,2,0,0,7,8,22,1,0,.179,.255,.202,.457,94,1,0,1,2,1.29,2,17,0,.238,.024,-.--,.364,.085,.234
Tres Barrera,C,WSH,19,50,2,9,1,0,0,4,2,16,0,0,.180,.212,.200,.412,53,0,1,0,1,0.63,1,10,0,.265,.020,-.--,.125,.038,.302
Israel Pineda,C,WSH,4,13,1,1,0,0,0,0,1,7,0,0,.077,.143,.077,.220,14,0,0,0,0,1.50,0,1,0,.167,.000,-.--,.143,.071,.500
Lucius Fox,SS,WSH,10,25,2,2,0,0,0,2,1,9,1,0,.080,.115,.080,.195,28,0,2,0,1,3.00,0,2,0,.125,.000,-.--,.111,.036,.321
