PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Wilyer Abreu,LF,BOS,28,76,10,24,6,0,2,14,9,23,3,1,.316,.388,.474,.862,85,0,0,0,0,0.71,8,36,0,.431,.158,38.00,.391,.106,.271
Triston Casas,1B,BOS,132,429,66,113,21,2,24,65,70,126,0,0,.263,.367,.490,.857,502,1,0,2,7,0.81,47,210,2,.317,.226,17.88,.556,.139,.251
Rafael Devers,3B,BOS,153,580,90,157,34,0,33,100,62,126,5,1,.271,.351,.500,.851,656,11,0,3,15,1.04,67,290,10,.292,.229,17.58,.492,.095,.192
Adam Duvall,CF,BOS,92,320,45,79,24,2,21,58,22,110,4,0,.247,.303,.531,.834,353,6,0,5,0,0.26,47,170,1,.299,.284,15.24,.200,.062,.312
Jarren Duran,CF,BOS,102,332,46,98,34,2,8,40,24,90,24,2,.295,.346,.482,.828,362,3,0,2,3,0.97,44,160,1,.381,.187,41.50,.267,.066,.249
Justin Turner,DH,BOS,146,558,86,154,31,0,23,96,51,110,4,1,.276,.345,.455,.800,626,11,0,6,10,0.75,54,254,0,.304,.179,24.26,.464,.081,.176
Masataka Yoshida,LF,BOS,140,537,71,155,33,3,15,72,34,81,8,0,.289,.338,.445,.783,580,7,0,2,20,1.81,51,239,0,.316,.156,35.80,.420,.059,.140
Enmanuel Valdez,2B,BOS,49,139,17,37,8,0,6,19,8,37,5,1,.266,.311,.453,.764,149,1,0,0,4,0.91,14,63,0,.323,.187,23.17,.216,.054,.248
Alex Verdugo,RF,BOS,142,546,81,144,37,5,13,54,45,93,5,3,.264,.324,.421,.745,602,6,0,5,11,1.12,55,230,1,.294,.158,42.00,.484,.075,.154
Pablo Reyes,SS,BOS,64,167,27,48,9,0,2,20,14,21,7,2,.287,.339,.377,.716,185,0,2,2,3,0.79,11,63,0,.315,.090,83.50,.667,.076,.114
Raimel Tapia,X,BOS,39,87,14,23,4,1,1,10,9,19,6,1,.264,.333,.368,.701,97,0,0,0,1,2.21,6,32,0,.328,.103,87.00,.474,.093,.196
Luis Urias,2B,BOS,32,89,13,20,4,0,2,13,14,26,0,0,.225,.361,.337,.698,109,5,0,0,3,0.95,6,30,0,.295,.112,44.50,.538,.128,.239
Rob Refsnyder,LF,BOS,89,202,31,50,9,1,1,28,33,47,7,2,.248,.365,.317,.682,243,5,1,1,8,0.84,11,64,0,.316,.069,202.00,.702,.136,.193
Connor Wong,C,BOS,126,371,55,87,25,2,9,36,22,134,8,2,.235,.288,.385,.673,403,6,3,1,4,0.88,36,143,0,.341,.151,41.22,.164,.055,.333
Reese McGuire,C,BOS,72,187,15,50,12,1,1,16,11,53,2,1,.267,.310,.358,.668,206,1,2,1,2,2.22,14,67,0,.366,.091,187.00,.208,.053,.257
Ceddanne Rafaela,CF,BOS,28,83,11,20,6,0,2,5,4,28,3,1,.241,.281,.386,.667,89,1,0,1,2,1.00,8,32,0,.333,.145,41.50,.143,.045,.315
Christian Arroyo,2B,BOS,66,195,23,47,16,0,3,24,7,45,1,3,.241,.268,.369,.637,206,1,1,2,8,0.96,19,72,0,.295,.128,65.00,.156,.034,.218
Bobby Dalbec,1B,BOS,21,49,6,10,2,0,1,1,4,28,1,0,.204,.264,.306,.570,53,0,0,0,0,0.83,3,15,0,.450,.102,49.00,.143,.075,.528
Trevor Story,SS,BOS,43,158,12,32,9,0,3,14,9,55,10,3,.203,.250,.316,.566,168,1,0,0,2,0.82,12,50,0,.290,.114,52.67,.164,.054,.327
Yu Chang,SS,BOS,39,105,12,17,2,0,6,18,3,34,4,0,.162,.200,.352,.552,112,2,2,0,2,1.07,8,37,0,.169,.190,17.50,.088,.027,.304
David Hamilton,SS,BOS,15,33,2,4,2,0,0,0,6,10,2,1,.121,.256,.182,.438,39,0,0,0,1,1.11,2,6,0,.174,.061,-.--,.600,.154,.256
Jorge Alfaro,C,BOS,8,17,0,2,0,0,0,0,2,3,0,0,.118,.250,.118,.368,20,1,0,0,1,5.00,0,2,0,.143,.000,-.--,.667,.100,.150
Caleb Hamilton,C,BOS,4,5,0,0,0,0,0,0,1,5,0,0,.000,.167,.000,.167,6,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.200,.167,.833
Kutter Crawford,P,BOS,32,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Kenley Jansen,P,BOS,51,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chris Martin,P,BOS,55,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Nick Pivetta,P,BOS,38,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
John Schreiber,P,BOS,46,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Tayler Scott,P,BOS,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Garrett Whitlock,P,BOS,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
