PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Cole Tucker,DH,COL,5,8,2,4,0,0,0,2,1,2,0,0,.500,.600,.500,1.100,10,1,0,0,0,1.00,0,4,0,.667,.000,-.--,.500,.100,.200
Sean Bouchard,RF,COL,21,38,11,12,2,0,4,7,4,14,0,1,.316,.372,.684,1.056,43,0,0,1,0,1.17,6,26,0,.381,.368,9.50,.286,.093,.326
Nolan Jones,LF,COL,106,367,60,109,22,4,20,62,53,126,20,4,.297,.389,.542,.931,424,3,0,1,1,1.05,46,199,3,.401,.245,18.35,.421,.125,.297
Charlie Blackmon,DH,COL,96,359,57,100,24,5,8,40,39,55,4,1,.279,.363,.440,.803,413,11,0,4,6,0.72,37,158,0,.307,.162,44.88,.709,.094,.133
Ryan McMahon,3B,COL,152,555,80,133,31,3,23,70,68,198,5,5,.240,.322,.431,.753,627,1,0,3,19,1.20,57,239,2,.326,.191,24.13,.343,.108,.316
Elias Diaz,C,COL,141,486,48,130,25,1,14,72,34,118,1,0,.267,.316,.409,.725,526,2,0,4,12,1.00,40,199,0,.324,.142,34.71,.288,.065,.224
Elehuris Montero,1B,COL,85,284,40,69,15,2,11,39,15,111,0,0,.243,.290,.426,.716,307,5,0,3,5,0.98,28,121,0,.352,.183,25.82,.135,.049,.362
Brendan Rodgers,2B,COL,46,178,21,46,9,1,4,20,11,41,0,0,.258,.313,.388,.701,192,3,0,0,6,1.53,14,69,0,.316,.129,44.50,.268,.057,.214
Ezequiel Tovar,SS,COL,153,581,79,147,37,4,15,73,25,166,11,5,.253,.287,.408,.695,615,4,2,3,10,1.04,56,237,0,.328,.155,38.73,.151,.041,.270
Kris Bryant,RF,COL,80,300,36,70,10,0,10,31,29,68,0,0,.233,.313,.367,.680,335,6,0,0,6,0.84,20,110,0,.270,.133,30.00,.426,.087,.203
Jurickson Profar,LF,COL,111,415,51,98,25,2,8,39,45,86,1,0,.236,.316,.364,.680,472,6,0,5,9,0.86,35,151,0,.276,.128,51.88,.523,.095,.182
Yonathan Daza,CF,COL,24,74,8,20,6,0,0,7,3,13,1,0,.270,.304,.351,.655,80,1,1,1,5,0.79,6,26,0,.323,.081,-.--,.231,.038,.163
Hunter Goodman,RF,COL,23,70,6,14,4,3,1,17,5,24,1,0,.200,.247,.386,.633,77,0,0,2,2,1.13,8,27,0,.277,.186,70.00,.208,.065,.312
Alan Trejo,2B,COL,83,207,24,48,11,0,4,26,16,51,5,1,.232,.288,.343,.631,227,1,1,2,3,0.88,15,71,0,.286,.111,51.75,.314,.070,.225
Brenton Doyle,CF,COL,126,399,48,81,16,5,10,48,22,151,22,5,.203,.250,.343,.593,431,4,3,3,9,1.19,31,137,0,.295,.140,39.90,.146,.051,.350
Harold Castro,2B,COL,99,258,24,65,13,0,1,31,9,66,1,0,.252,.275,.314,.589,270,0,1,2,5,1.17,14,81,0,.332,.062,258.00,.136,.033,.244
Jorge Alfaro,DH,COL,10,31,2,5,4,0,1,4,0,12,0,0,.161,.188,.387,.575,32,1,0,0,2,2.50,5,12,0,.222,.226,31.00,.---,.000,.375
Coco Montes,2B,COL,18,38,3,7,2,0,1,3,2,12,0,0,.184,.244,.316,.560,41,1,0,0,0,0.58,3,12,0,.240,.132,38.00,.167,.049,.293
Austin Wynns,C,COL,45,117,11,25,5,0,1,8,8,32,1,0,.214,.273,.282,.555,131,2,3,1,4,1.13,6,33,0,.282,.068,117.00,.250,.061,.244
Michael Toglia,1B,COL,45,141,18,23,5,0,4,9,10,50,1,1,.163,.224,.284,.508,152,1,0,0,3,0.84,9,40,0,.218,.121,35.25,.200,.066,.329
Brian Serven,C,COL,11,23,0,3,1,0,0,1,0,10,0,0,.130,.130,.174,.304,23,0,0,0,0,0.43,1,4,0,.231,.043,-.--,.---,.000,.435
Connor Kaiser,SS,COL,3,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.500
Karl Kauffmann,P,COL,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Justin Lawrence,P,COL,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brent Suter,P,COL,57,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
