PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Mookie Betts,RF,LAD,152,584,126,179,40,1,39,107,96,107,14,3,.307,.408,.579,.987,152,584,126,179,40,1,39,107,96,107,14,3,.307,.408,.579
Freddie Freeman,1B,LAD,161,637,131,211,59,2,29,102,72,121,23,1,.331,.410,.567,.977,LAD,161,637,131,211,59,2,29,102,72,121,23,1,.331,.410
Jake Marisnick,CF,LAD,4,5,0,2,0,0,0,0,0,0,0,1,.400,.500,.400,.900,.977,LAD,4,5,0,2,0,0,0,0,0,0,0,1,.400
J.D. Martinez,DH,LAD,113,432,61,117,27,2,33,103,34,149,1,0,.271,.321,.572,.893,.400,.900,LAD,113,432,61,117,27,2,33,103,34,149,1,0
Kolten Wong,X,LAD,20,30,4,9,0,0,2,8,2,7,2,1,.300,.353,.500,.853,.321,.572,.893,LAD,20,30,4,9,0,0,2,8,2,7,2
Jason Heyward,RF,LAD,124,334,56,90,23,0,15,40,34,64,2,2,.269,.340,.473,.813,.300,.353,.500,.853,LAD,124,334,56,90,23,0,15,40,34,64
Max Muncy,3B,LAD,135,482,95,102,17,1,36,105,85,153,1,2,.212,.333,.475,.808,2,.269,.340,.473,.813,LAD,135,482,95,102,17,1,36,105,85
Will Smith,C,LAD,126,464,80,121,21,2,19,76,63,89,3,0,.261,.359,.438,.797,1,2,.212,.333,.475,.808,LAD,126,464,80,121,21,2,19,76
James Outman,CF,LAD,151,483,86,120,16,3,23,70,68,181,16,3,.248,.353,.437,.790,89,3,0,.261,.359,.438,.797,LAD,151,483,86,120,16,3,23
Chris Taylor,LF,LAD,117,338,51,80,15,1,15,56,41,125,16,3,.237,.326,.420,.746,68,181,16,3,.248,.353,.437,.790,LAD,117,338,51,80,15,1
Jonny Deluca,LF,LAD,24,42,5,11,1,0,2,6,3,8,1,0,.262,.311,.429,.740,56,41,125,16,3,.237,.326,.420,.746,LAD,24,42,5,11,1
Enrique Hernandez,2B,LAD,54,168,19,44,12,0,5,30,12,29,1,0,.262,.308,.423,.731,2,6,3,8,1,0,.262,.311,.429,.740,LAD,54,168,19,44
Amed Rosario,2B,LAD,48,125,19,32,6,2,3,18,7,22,6,2,.256,.301,.408,.709,0,5,30,12,29,1,0,.262,.308,.423,.731,LAD,48,125,19
Trayce Thompson,X,LAD,36,71,12,11,0,0,5,14,15,37,0,0,.155,.310,.366,.676,6,2,3,18,7,22,6,2,.256,.301,.408,.709,LAD,36,71
David Peralta,LF,LAD,133,394,47,102,25,1,7,55,20,72,4,1,.259,.294,.381,.675,11,0,0,5,14,15,37,0,0,.155,.310,.366,.676,LAD,133
Miguel Vargas,2B,LAD,81,256,36,50,15,4,7,32,38,61,3,2,.195,.305,.367,.672,47,102,25,1,7,55,20,72,4,1,.259,.294,.381,.675,LAD
Miguel Rojas,SS,LAD,125,385,49,91,16,1,5,31,26,48,8,3,.236,.290,.322,.612,256,36,50,15,4,7,32,38,61,3,2,.195,.305,.367,.672
Michael Busch,3B,LAD,27,72,9,12,3,0,2,7,8,27,1,0,.167,.247,.292,.539,125,385,49,91,16,1,5,31,26,48,8,3,.236,.290,.322
Austin Wynns,C,LAD,5,11,0,2,1,0,0,2,1,5,0,0,.182,.250,.273,.523,LAD,27,72,9,12,3,0,2,7,8,27,1,0,.167,.247
Austin Barnes,C,LAD,59,178,15,32,5,0,2,11,17,43,2,1,.180,.256,.242,.498,.539,LAD,5,11,0,2,1,0,0,2,1,5,0,0,.182
Yonny Hernandez,2B,LAD,14,22,5,3,1,0,0,4,2,8,0,0,.136,.231,.182,.413,.273,.523,LAD,59,178,15,32,5,0,2,11,17,43,2,1
Luke Williams,SS,LAD,4,10,0,1,0,0,0,0,0,3,1,0,.100,.100,.100,.200,.256,.242,.498,LAD,14,22,5,3,1,0,0,4,2,8,0
Ryan Brasier,P,LAD,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.136,.231,.182,.413,LAD,4,10,0,1,0,0,0,0,0,3
Caleb Ferguson,P,LAD,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,.100,.100,.100,.200,LAD,39,0,0,0,0,0,0,0,0
Victor Gonzalez,P,LAD,34,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,.000,.000,.000,.000,LAD,68,0,0,0,0,0,0,0
Brusdar Graterol,P,LAD,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Shelby Miller,P,LAD,36,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Tayler Scott,P,LAD,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Alex Vesia,P,LAD,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Ryan Yarbrough,P,LAD,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
