PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Luis Arraez,2B,MIA,147,574,71,203,30,3,10,69,35,34,3,2,.354,.393,.469,.862,617,4,1,3,18,1.04,43,269,10,.362,.115,57.40,1.029,.057,.055
Jake Burger,3B,MIA,53,198,27,60,13,0,9,28,10,47,0,0,.303,.355,.505,.860,217,7,0,2,1,0.90,22,100,0,.354,.202,22.00,.213,.046,.217
Jorge Soler,DH,MIA,137,504,77,126,24,0,36,75,66,141,1,0,.250,.341,.512,.853,580,6,0,4,20,0.81,60,258,4,.272,.262,14.00,.468,.114,.243
Josh Bell,1B,MIA,53,200,26,54,9,0,11,26,20,53,0,0,.270,.338,.480,.818,224,1,0,1,6,1.19,20,96,1,.314,.210,18.18,.377,.089,.237
Jesus Sanchez,RF,MIA,125,360,43,91,23,3,14,52,38,107,3,1,.253,.327,.450,.777,402,2,1,1,12,1.65,40,162,1,.321,.197,25.71,.355,.095,.266
Jazz Chisholm,CF,MIA,97,352,50,88,12,2,19,51,26,118,22,3,.250,.304,.457,.761,383,2,1,2,4,1.40,33,161,0,.318,.207,18.53,.220,.068,.308
Jon Berti,SS,MIA,133,388,53,114,16,3,7,33,29,77,16,6,.294,.344,.405,.749,424,2,2,3,10,1.56,26,157,2,.349,.111,55.43,.377,.068,.182
Garrett Hampson,SS,MIA,98,221,30,61,12,1,3,23,23,67,5,0,.276,.349,.380,.729,252,3,3,2,3,0.96,16,84,0,.379,.104,73.67,.343,.091,.266
Bryan De La Cruz,LF,MIA,153,579,60,149,32,0,19,78,40,142,4,1,.257,.304,.411,.715,626,1,0,5,18,0.94,51,238,0,.307,.154,30.47,.282,.064,.227
Jonathan Davis,CF,MIA,34,90,22,22,4,1,2,10,7,29,1,2,.244,.307,.378,.685,104,2,2,2,1,1.69,7,34,0,.328,.133,45.00,.241,.067,.279
Yuli Gurriel,1B,MIA,108,298,32,73,16,3,4,27,26,44,4,0,.245,.304,.359,.663,329,1,0,4,13,0.65,23,107,3,.272,.114,74.50,.591,.079,.134
Xavier Edwards,2B,MIA,30,78,12,23,3,0,0,3,3,14,5,0,.295,.329,.333,.662,84,1,2,0,1,1.15,3,26,0,.359,.038,-.--,.214,.036,.167
Dane Myers,CF,MIA,22,67,9,18,3,0,1,9,2,19,1,1,.269,.286,.358,.644,70,0,0,1,1,2.88,4,24,0,.354,.090,67.00,.105,.029,.271
Peyton Burdick,RF,MIA,14,33,4,6,2,0,1,2,3,18,1,0,.182,.270,.333,.603,37,1,0,0,0,0.50,3,11,0,.357,.152,33.00,.167,.081,.486
Jacob Stallings,C,MIA,89,241,22,46,14,0,3,20,27,67,0,0,.191,.278,.286,.564,276,3,3,2,9,1.18,17,69,0,.249,.095,80.33,.403,.098,.243
Nick Fortes,C,MIA,108,294,33,60,10,0,6,26,17,59,4,2,.204,.263,.299,.562,323,7,3,2,12,0.91,16,88,0,.234,.095,49.00,.288,.053,.183
Avisail Garcia,RF,MIA,37,108,8,20,3,1,3,12,6,39,2,0,.185,.241,.315,.556,118,2,0,0,1,1.23,7,34,1,.258,.130,36.00,.154,.051,.331
Jean Segura,3B,MIA,85,301,25,66,5,2,3,21,22,47,6,2,.219,.277,.279,.556,326,2,1,0,12,1.45,10,84,1,.251,.060,100.33,.468,.067,.144
Joey Wendle,SS,MIA,112,297,33,63,16,3,2,20,13,67,7,1,.212,.248,.306,.554,318,2,3,3,8,1.51,21,91,0,.264,.094,148.50,.194,.041,.211
Jacob Amaya,SS,MIA,4,9,1,2,0,0,0,2,0,1,1,0,.222,.222,.222,.444,9,0,0,0,0,5.00,0,2,0,.250,.000,-.--,.---,.000,.111
Bryan Hoeing,P,MIA,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Andrew Nardi,P,MIA,63,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
