,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
LAA,17,1,11,21,14,17,21,22,19,21,24
HOU,30,26,10,14,3,2,1,15,4,2,6
OAK,4,8,27,25,21,4,6,5,13,29,30
TOR,23,14,5,8,19,22,26,11,9,8,9
ATL,3,16,28,26,23,10,5,6,12,3,1
MIL,21,15,26,22,10,5,11,16,5,12,5
STL,2,6,1,13,12,13,10,12,11,6,25
CHC,26,22,3,1,7,6,15,9,24,20,14
AZ,16,30,18,24,5,15,13,25,29,19,12
LAD,8,4,6,6,1,7,2,1,2,1,3
SF,19,10,12,10,30,21,18,17,1,16,18
CLE,7,12,15,4,2,8,8,8,16,7,21
SEA,25,11,21,12,16,12,25,19,10,9,10
MIA,29,18,24,17,18,27,28,14,25,22,13
NYM,22,17,7,9,25,20,12,23,20,4,23
WSH,13,3,14,3,4,16,9,24,26,30,26
BAL,14,2,16,7,20,30,29,26,30,14,2
SD,18,19,23,28,24,25,23,3,17,10,17
PHI,24,24,30,23,28,18,16,18,15,11,7
PIT,5,9,2,18,22,14,24,30,27,28,22
TEX,10,28,8,2,17,24,17,29,28,24,8
TB,9,20,17,29,15,11,7,27,3,13,4
BOS,1,25,19,5,6,1,14,13,7,17,19
CIN,11,21,29,27,26,23,19,8,14,27,15
COL,20,29,25,20,9,9,22,20,21,23,28
KC,12,7,4,16,13,29,27,21,22,26,29
DET,6,5,22,11,29,26,30,28,18,25,20
MIN,27,27,13,30,11,19,4,4,23,18,11
CWS,28,23,20,19,27,28,20,7,6,15,27
NYY,15,13,9,15,8,3,3,10,8,5,16
