PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Paul Goldschmidt,1B,AZ,160,602,103,182,36,3,36,125,99,145,15,7,.302,.401,.551,.952,710,3,0,5,25,1.14,75,332,19,.343,.249,16.72,.683,.139,.204
Aaron Hill,2B,AZ,87,327,45,95,21,1,11,41,29,48,1,4,.291,.356,.462,.818,362,5,0,1,6,0.78,33,151,2,.312,.171,29.73,.604,.080,.133
Eric Chavez,3B,AZ,80,228,28,64,14,2,9,44,19,45,1,0,.281,.332,.478,.810,254,1,0,5,7,0.97,25,109,4,.307,.197,25.33,.422,.075,.177
Matt Davidson,3B,AZ,31,76,8,18,6,0,3,12,10,24,0,1,.237,.333,.434,.767,87,1,0,0,1,0.70,9,33,1,.306,.197,25.33,.417,.115,.276
Martin Prado,3B,AZ,155,609,70,172,36,2,14,82,47,53,3,5,.282,.333,.417,.750,664,2,0,6,29,1.25,52,254,2,.288,.135,43.50,.887,.071,.080
Cody Ross,LF,AZ,94,317,33,88,17,1,8,38,25,50,3,2,.278,.331,.413,.744,351,3,1,5,10,0.97,26,131,1,.303,.136,39.62,.500,.071,.142
Chris Owings,SS,AZ,20,55,5,16,5,0,0,5,6,10,2,0,.291,.361,.382,.743,61,0,0,0,0,1.64,5,21,1,.356,.091,-.--,.600,.098,.164
AJ Pollock,CF,AZ,137,443,64,119,28,5,8,38,33,82,12,3,.269,.322,.409,.731,482,2,3,1,5,1.08,41,181,1,.314,.140,55.38,.402,.068,.170
Willie Bloomquist,X,AZ,48,139,16,44,5,1,0,14,8,11,0,2,.317,.360,.367,.727,150,2,0,1,3,1.02,6,51,0,.341,.050,-.--,.727,.053,.073
Gerardo Parra,RF,AZ,156,601,79,161,43,4,10,48,48,100,10,10,.268,.323,.403,.726,663,3,7,4,12,1.85,57,242,3,.305,.135,60.10,.480,.072,.151
Didi Gregorius,SS,AZ,103,357,47,90,16,3,7,28,37,65,0,2,.252,.332,.373,.705,404,6,2,1,4,0.69,26,133,5,.290,.120,51.00,.569,.092,.161
Wil Nieves,C,AZ,71,195,16,58,11,0,1,22,8,32,0,0,.297,.320,.369,.689,206,0,0,3,7,2.18,12,72,0,.345,.072,195.00,.250,.039,.155
Tony Campana,X,AZ,29,46,10,12,0,1,0,0,8,14,8,2,.261,.370,.304,.674,54,0,0,0,0,4.00,1,14,0,.375,.043,-.--,.571,.148,.259
Adam Eaton,LF,AZ,66,250,40,63,10,4,3,22,17,44,5,2,.252,.314,.360,.674,277,6,3,1,4,1.77,17,90,0,.294,.108,83.33,.386,.061,.159
Miguel Montero,C,AZ,116,413,44,95,14,0,11,42,51,110,0,0,.230,.318,.344,.662,475,5,0,6,18,1.21,25,142,4,.282,.114,37.54,.464,.107,.232
Cliff Pennington,SS,AZ,96,269,25,65,13,1,1,18,26,54,2,0,.242,.310,.309,.619,299,1,2,1,7,0.82,15,83,5,.298,.067,269.00,.481,.087,.181
Jason Kubel,LF,AZ,89,241,21,53,8,1,5,32,24,82,0,1,.220,.288,.324,.612,267,0,0,2,6,0.69,14,78,3,.308,.104,48.20,.293,.090,.307
Josh Wilson,2B,AZ,30,60,9,12,1,1,1,4,5,17,0,0,.200,.262,.300,.562,65,0,0,0,6,1.21,3,18,0,.262,.100,60.00,.294,.077,.262
Eric Hinske,X,AZ,52,52,2,9,3,0,1,6,6,17,0,0,.173,.259,.288,.547,58,0,0,0,2,1.17,4,15,0,.235,.115,52.00,.353,.103,.293
Alfredo Marte,X,AZ,22,43,4,8,3,0,0,4,4,12,0,0,.186,.271,.256,.527,48,1,0,0,0,1.30,3,11,0,.258,.070,-.--,.333,.083,.250
Randall Delgado,P,AZ,21,32,2,7,0,0,0,1,1,13,0,0,.219,.242,.219,.461,37,0,4,0,1,4.33,0,7,0,.368,.000,-.--,.077,.027,.351
Tyler Skaggs,P,AZ,7,10,0,2,0,0,0,1,0,5,0,0,.200,.200,.200,.400,13,0,3,0,0,5.00,0,2,0,.400,.000,-.--,.---,.000,.385
Tuffy Gosewisch,C,AZ,14,45,1,8,2,0,0,3,0,8,0,0,.178,.174,.222,.396,47,0,1,1,3,0.82,2,10,0,.211,.044,-.--,.---,.000,.170
Wade Miley,P,AZ,34,60,2,8,3,0,1,8,1,16,0,0,.133,.148,.233,.381,69,0,8,0,3,4.50,4,14,0,.163,.100,60.00,.063,.014,.232
Ian Kennedy,P,AZ,22,37,0,5,2,0,0,1,2,19,0,0,.135,.179,.189,.368,44,0,5,0,1,17.00,2,7,0,.278,.054,-.--,.105,.045,.432
Patrick Corbin,P,AZ,33,65,8,8,4,0,0,3,2,23,0,0,.123,.162,.185,.347,73,1,5,0,0,2.00,4,12,0,.190,.062,-.--,.087,.027,.315
Josh Collmenter,P,AZ,49,11,1,1,0,0,0,0,0,5,0,0,.091,.167,.091,.258,12,1,0,0,0,0.67,0,1,0,.167,.000,-.--,.---,.000,.417
Trevor Cahill,P,AZ,26,49,2,4,1,1,0,5,0,20,0,0,.082,.082,.143,.225,53,0,4,0,0,2.22,2,7,0,.138,.061,-.--,.---,.000,.377
Brandon McCarthy,P,AZ,22,37,0,1,0,0,0,0,3,15,0,0,.027,.100,.027,.127,42,0,2,0,0,6.67,0,1,0,.045,.000,-.--,.200,.071,.357
Heath Bell,P,AZ,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Charles Brewer,P,AZ,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Eury De La Rosa,P,AZ,19,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Will Harris,P,AZ,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
David Hernandez,P,AZ,62,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
David Holmberg,P,AZ,1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Matt Langwell,P,AZ,8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.000
Joe Paterson,P,AZ,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
J.J. Putz,P,AZ,40,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Matt Reynolds,P,AZ,30,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chaz Roe,P,AZ,21,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Tony Sipp,P,AZ,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Zeke Spruill,P,AZ,6,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Joe Thatcher,P,AZ,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Brad Ziegler,P,AZ,78,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.000
