PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Matt Carson,RF,CLE,20,11,5,7,0,0,1,3,1,1,3,0,.636,.692,.909,1.601,13,1,0,0,0,2.00,1,10,0,.667,.273,11.00,1.000,.077,.077
Ezequiel Carrera,RF,CLE,2,4,1,2,0,0,0,1,0,1,0,0,.500,.500,.500,1.000,5,0,1,0,1,2.00,0,2,0,.667,.000,-.--,.---,.000,.200
Justin Masterson,P,CLE,32,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0.00,0,1,0,.500,.000,-.--,.---,.000,.000
Jose Ramirez,X,CLE,15,12,5,4,0,1,0,0,2,2,0,1,.333,.429,.500,.929,14,0,0,0,0,1.00,1,6,0,.400,.167,-.--,1.000,.143,.143
Ryan Raburn,RF,CLE,87,243,40,66,18,0,16,55,29,67,0,0,.272,.357,.543,.900,277,4,0,1,4,1.27,34,132,0,.311,.272,15.19,.433,.105,.242
Carlos Santana,C,CLE,154,541,75,145,39,1,20,74,93,110,3,1,.268,.377,.455,.832,642,4,0,4,7,1.09,60,246,6,.301,.187,27.05,.845,.145,.171
Yan Gomes,C,CLE,88,293,45,86,18,2,11,38,18,67,2,0,.294,.345,.481,.826,322,7,0,4,12,1.00,31,141,0,.342,.188,26.64,.269,.056,.208
Jason Kipnis,2B,CLE,149,564,86,160,36,4,17,84,76,143,30,7,.284,.366,.452,.818,658,3,5,10,10,1.14,57,255,3,.345,.168,33.18,.531,.116,.217
Nick Swisher,1B,CLE,145,549,74,135,27,2,22,63,77,138,1,0,.246,.341,.423,.764,634,4,0,4,11,0.92,51,232,3,.288,.177,24.96,.558,.121,.218
Michael Brantley,LF,CLE,151,556,66,158,26,3,10,73,40,67,17,4,.284,.332,.396,.728,611,4,3,8,11,1.05,39,220,1,.304,.112,55.60,.597,.065,.110
Asdrubal Cabrera,SS,CLE,136,508,66,123,35,2,14,64,35,114,9,3,.242,.299,.402,.701,562,8,6,5,10,0.75,51,204,1,.283,.159,36.29,.307,.062,.203
Mark Reynolds,1B,CLE,99,335,40,72,8,0,15,48,43,123,3,0,.215,.307,.373,.680,384,3,0,3,7,0.81,23,125,1,.285,.158,22.33,.350,.112,.320
Michael Bourn,CF,CLE,130,525,75,138,21,6,6,50,40,132,23,12,.263,.316,.360,.676,575,2,5,3,2,1.66,33,189,0,.338,.097,87.50,.303,.070,.230
Lonnie Chisenhall,3B,CLE,94,289,30,65,17,0,11,36,16,56,1,0,.225,.270,.398,.668,308,2,1,0,8,0.78,28,115,0,.243,.173,26.27,.286,.052,.182
