PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Giancarlo Stanton,RF,MIA,116,425,62,106,26,0,24,62,74,140,1,0,.249,.365,.480,.845,504,4,0,1,10,1.12,50,204,5,.313,.231,17.71,.529,.147,.278
Brian Flynn,P,MIA,4,5,0,2,0,0,0,0,0,2,0,0,.400,.400,.400,.800,6,0,1,0,0,1.00,0,2,0,.667,.000,-.--,.---,.000,.333
Henderson Alvarez,P,MIA,17,30,2,9,3,0,1,6,0,12,0,0,.300,.290,.500,.790,35,0,4,1,0,2.50,4,15,0,.444,.200,30.00,.---,.000,.343
Christian Yelich,LF,MIA,62,240,34,69,12,1,4,16,31,66,10,0,.288,.370,.396,.766,273,1,0,1,4,3.24,17,95,1,.380,.108,60.00,.470,.114,.242
Logan Morrison,1B,MIA,85,293,32,71,13,4,6,36,38,56,0,0,.242,.333,.375,.708,333,2,0,0,10,1.08,23,110,5,.281,.133,48.83,.679,.114,.168
Justin Ruggiano,CF,MIA,128,424,49,94,18,1,18,50,41,114,15,8,.222,.298,.396,.694,472,5,1,0,9,1.17,37,168,1,.260,.175,23.56,.360,.087,.242
Marcell Ozuna,RF,MIA,70,275,31,73,17,4,3,32,13,57,5,1,.265,.303,.389,.692,291,2,1,0,6,1.15,24,107,0,.326,.124,91.67,.228,.045,.196
Joe Mahoney,1B,MIA,9,29,2,8,1,0,1,4,0,4,0,0,.276,.276,.414,.690,29,0,0,0,0,0.70,2,12,0,.292,.138,29.00,.---,.000,.138
Derek Dietrich,2B,MIA,57,215,32,46,10,2,9,23,11,56,1,0,.214,.275,.405,.680,233,7,0,0,1,0.92,21,87,1,.247,.191,23.89,.196,.047,.240
Chris Coghlan,X,MIA,70,195,10,50,10,3,1,10,17,43,2,0,.256,.318,.354,.672,214,1,0,1,2,1.29,14,69,1,.322,.097,195.00,.395,.079,.201
Ryan Webb,P,MIA,66,3,1,1,0,0,0,0,0,2,0,0,.333,.333,.333,.666,3,0,0,0,0,-.--,0,1,0,1.000,.000,-.--,.---,.000,.667
Ed Lucas,3B,MIA,94,351,43,90,14,1,4,28,26,78,1,1,.256,.311,.336,.647,384,2,4,1,6,1.32,19,118,1,.319,.080,87.75,.333,.068,.203
Miguel Olivo,C,MIA,33,74,5,15,2,0,4,9,5,23,0,0,.203,.250,.392,.642,80,0,0,1,2,1.31,6,29,0,.229,.189,18.50,.217,.063,.288
Nick Green,SS,MIA,18,55,4,13,2,0,1,6,3,14,0,0,.236,.302,.327,.629,65,3,2,2,1,0.78,3,18,0,.286,.091,55.00,.214,.046,.215
Donovan Solano,2B,MIA,102,361,33,90,13,1,3,34,23,57,3,1,.249,.305,.316,.621,395,7,2,2,11,1.32,17,114,3,.287,.066,120.33,.404,.058,.144
Placido Polanco,3B,MIA,118,377,33,98,13,0,1,23,23,31,2,0,.260,.315,.302,.617,416,9,3,4,15,1.14,14,114,1,.278,.042,377.00,.742,.055,.075
Chris Valaika,2B,MIA,22,64,4,14,5,0,1,9,3,16,0,0,.219,.261,.344,.605,70,1,1,1,2,0.71,6,22,0,.271,.125,64.00,.188,.043,.229
Greg Dobbs,X,MIA,114,237,21,54,11,0,2,22,22,40,1,1,.228,.303,.300,.603,267,5,0,3,5,1.00,13,71,6,.263,.072,118.50,.550,.082,.150
Juan Pierre,LF,MIA,113,308,36,76,11,2,1,8,13,27,23,6,.247,.284,.305,.589,330,3,6,0,4,1.54,14,94,0,.268,.058,308.00,.481,.039,.082
Adeiny Hechavarria,SS,MIA,148,543,30,123,14,8,3,42,30,96,11,10,.227,.267,.298,.565,578,0,4,1,19,1.27,25,162,1,.270,.072,181.00,.313,.052,.166
Jose Fernandez,P,MIA,28,50,5,11,1,1,1,5,0,20,0,0,.220,.216,.340,.556,58,0,7,1,2,3.50,3,17,0,.333,.120,50.00,.---,.000,.345
Jeff Mathis,C,MIA,73,232,14,42,7,1,5,29,21,76,0,0,.181,.251,.284,.535,256,1,1,1,5,0.90,13,66,4,.243,.103,46.40,.276,.082,.297
Rob Brantly,C,MIA,67,223,11,47,9,0,1,18,15,53,0,0,.211,.263,.265,.528,243,2,0,3,8,1.03,10,59,1,.267,.054,223.00,.283,.062,.218
Jordan Brown,X,MIA,14,15,0,3,1,0,0,5,1,1,0,0,.200,.235,.267,.502,17,0,0,1,0,1.40,1,4,0,.200,.067,-.--,1.000,.059,.059
Jake Marisnick,CF,MIA,40,109,6,20,2,1,1,5,6,27,3,1,.183,.231,.248,.479,118,1,1,1,1,0.94,4,27,0,.232,.064,109.00,.222,.051,.229
Austin Kearns,X,MIA,19,27,3,5,0,0,0,0,4,8,0,0,.185,.290,.185,.475,31,0,0,0,1,1.00,0,5,0,.263,.000,-.--,.500,.129,.258
Matt Diaz,X,MIA,10,18,1,3,1,0,0,1,1,3,0,0,.167,.211,.222,.433,19,0,0,0,1,3.00,1,4,0,.200,.056,-.--,.333,.053,.158
Koyie Hill,C,MIA,18,58,3,9,2,0,0,0,2,18,0,0,.155,.183,.190,.373,61,0,1,0,1,0.88,2,11,0,.225,.034,-.--,.111,.033,.295
Wade LeBlanc,P,MIA,13,12,1,2,0,0,0,0,0,2,0,0,.167,.167,.167,.334,13,0,1,0,0,9.00,0,2,0,.200,.000,-.--,.---,.000,.154
Ricky Nolasco,P,MIA,18,30,1,3,1,0,0,0,3,17,0,0,.100,.182,.133,.315,34,0,1,0,0,2.67,1,4,0,.231,.033,-.--,.176,.088,.500
Kyle Skipworth,X,MIA,4,3,0,0,0,0,0,0,1,1,0,0,.000,.250,.000,.250,4,0,0,0,1,1.00,0,0,0,.000,.000,-.--,1.000,.250,.250
Jacob Turner,P,MIA,20,35,0,3,0,1,0,0,0,16,0,0,.086,.086,.143,.229,38,0,3,0,2,8.50,1,5,0,.158,.057,-.--,.---,.000,.421
Alex Sanabia,P,MIA,10,16,1,1,0,0,0,0,1,7,0,0,.063,.118,.063,.181,18,0,1,0,0,8.00,0,1,0,.111,.000,-.--,.143,.056,.389
Kevin Slowey,P,MIA,20,21,1,1,0,0,0,0,2,12,0,0,.048,.130,.048,.178,28,0,5,0,0,2.25,0,1,0,.111,.000,-.--,.167,.071,.429
Nathan Eovaldi,P,MIA,18,31,1,2,0,0,0,1,1,17,0,0,.065,.094,.065,.159,35,0,3,0,0,6.50,0,2,0,.143,.000,-.--,.059,.029,.486
Tom Koehler,P,MIA,29,39,1,3,0,0,0,0,0,17,0,0,.077,.077,.077,.154,41,0,2,0,0,3.20,0,3,0,.136,.000,-.--,.---,.000,.415
Casey Kotchman,1B,MIA,6,20,0,0,0,0,0,1,1,1,0,0,.000,.048,.000,.048,21,0,0,0,1,2.17,0,0,0,.000,.000,-.--,1.000,.048,.048
Steve Ames,P,MIA,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Duane Below,P,MIA,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Arquimedes Caminero,P,MIA,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Steve Cishek,P,MIA,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Mike Dunn,P,MIA,75,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sam Dyson,P,MIA,5,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Brad Hand,P,MIA,7,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,4,0,0,0,1,2.00,0,0,0,.000,.000,-.--,.---,.000,.500
Chris Hatcher,P,MIA,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dan Jennings,P,MIA,47,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
John Maine,P,MIA,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,1,0,0,1.00,0,0,0,.---,--,-.--,.---,.000,.000
Edgar Olmos,P,MIA,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Zach Phillips,P,MIA,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
