PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Khris Davis,LF,MIL,56,136,27,38,10,0,11,27,11,34,3,0,.279,.353,.596,.949,153,5,0,1,4,1.03,21,81,0,.293,.316,12.36,.324,.072,.222
Ryan Braun,LF,MIL,61,225,30,67,14,2,9,38,27,56,4,5,.298,.372,.498,.870,253,0,0,1,8,1.64,25,112,7,.360,.200,25.00,.482,.107,.221
Carlos Gomez,CF,MIL,147,536,80,152,27,10,24,73,37,146,40,7,.284,.338,.506,.844,590,10,1,6,11,0.90,61,271,2,.344,.222,22.33,.253,.063,.247
Scooter Gennett,2B,MIL,69,213,29,69,11,2,6,21,10,42,2,1,.324,.356,.479,.835,230,1,5,1,0,0.96,19,102,0,.380,.155,35.50,.238,.043,.183
Aramis Ramirez,3B,MIL,92,304,43,86,18,0,12,49,36,55,0,1,.283,.370,.461,.831,351,8,0,3,8,0.84,30,140,0,.308,.178,25.33,.655,.103,.157
Jonathan Lucroy,C,MIL,147,521,59,146,25,6,18,82,46,69,9,1,.280,.340,.455,.795,580,5,0,8,16,0.90,49,237,2,.290,.175,28.94,.667,.079,.119
Caleb Gindl,LF,MIL,57,132,17,32,7,2,5,14,20,25,2,1,.242,.340,.439,.779,155,0,2,1,0,0.95,14,58,1,.262,.197,26.40,.800,.129,.161
Jean Segura,SS,MIL,146,588,74,173,20,10,12,49,25,84,44,13,.294,.329,.423,.752,623,6,2,2,17,1.77,42,249,1,.326,.129,49.00,.298,.040,.135
Juan Francisco,1B,MIL,89,240,26,53,10,1,13,32,25,95,0,1,.221,.300,.433,.733,270,3,0,2,3,0.71,24,104,3,.299,.213,18.46,.263,.093,.352
Norichika Aoki,RF,MIL,155,597,80,171,20,3,8,37,55,40,20,12,.286,.356,.370,.726,674,11,8,3,9,1.96,31,221,1,.295,.084,74.62,1.375,.082,.059
Sean Halton,1B,MIL,42,101,9,24,4,0,4,17,5,31,0,0,.238,.291,.396,.687,111,3,1,1,2,0.71,8,40,0,.299,.158,25.25,.161,.045,.279
Rickie Weeks,2B,MIL,104,350,40,73,20,1,10,24,40,105,7,3,.209,.306,.357,.663,399,9,0,0,13,1.23,31,125,0,.268,.149,35.00,.381,.100,.263
Logan Schafer,LF,MIL,134,298,29,63,15,3,4,33,25,60,7,1,.211,.279,.322,.601,337,3,11,0,5,1.30,22,96,1,.252,.111,74.50,.417,.074,.178
Yuniesky Betancourt,1B,MIL,137,391,35,83,15,1,13,46,14,71,0,0,.212,.240,.355,.595,409,1,0,3,9,0.88,29,139,3,.226,.143,30.08,.197,.034,.174
Jeff Bianchi,3B,MIL,100,236,22,56,8,1,1,25,11,46,4,4,.237,.272,.292,.564,252,1,2,2,4,1.09,10,69,0,.288,.055,236.00,.239,.044,.183
Yovani Gallardo,P,MIL,33,57,4,12,2,0,2,4,0,29,0,0,.211,.211,.351,.562,64,0,7,0,1,1.88,4,20,0,.385,.140,28.50,.---,.000,.453
Martin Maldonado,C,MIL,67,183,13,31,7,1,4,22,13,53,0,0,.169,.236,.284,.520,202,3,3,0,2,0.85,12,52,1,.214,.115,45.75,.245,.064,.262
Alfredo Figaro,P,MIL,33,12,1,3,0,0,0,2,0,5,0,0,.250,.250,.250,.500,12,0,0,0,0,4.00,0,3,0,.429,.000,-.--,.---,.000,.417
Josh Prince,X,MIL,8,8,3,1,1,0,0,0,1,1,0,0,.125,.222,.250,.472,9,0,0,0,1,0.50,1,2,0,.143,.125,-.--,1.000,.111,.111
