PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Kurt Suzuki,C,OAK,15,33,6,10,2,0,2,7,2,3,0,0,.303,.343,.545,.888,35,0,0,0,0,0.43,4,18,0,.286,.242,16.50,.667,.057,.086
Josh Donaldson,3B,OAK,158,579,89,174,37,3,24,93,76,110,5,2,.301,.384,.499,.883,668,6,1,6,15,1.04,64,289,2,.333,.199,24.12,.691,.114,.165
Brandon Moss,1B,OAK,145,446,73,114,23,3,30,87,50,140,4,2,.256,.337,.522,.859,505,6,0,3,4,0.61,56,233,3,.301,.267,14.87,.357,.099,.277
Jed Lowrie,SS,OAK,154,603,80,175,45,2,15,75,50,91,1,0,.290,.344,.446,.790,662,2,3,4,17,0.59,62,269,3,.319,.156,40.20,.549,.076,.137
Coco Crisp,CF,OAK,131,513,93,134,22,3,22,66,61,65,21,5,.261,.335,.444,.779,584,0,2,8,7,0.86,47,228,3,.258,.183,23.32,.938,.104,.111
Alberto Callaspo,2B,OAK,50,159,20,43,7,0,5,22,19,25,0,0,.270,.350,.409,.759,180,1,0,1,4,0.74,12,65,0,.292,.138,31.80,.760,.106,.139
John Jaso,C,OAK,70,207,31,56,12,0,3,21,38,45,2,1,.271,.387,.372,.759,249,2,1,1,5,0.96,15,77,0,.331,.101,69.00,.844,.153,.181
Derek Norris,C,OAK,98,264,41,65,16,0,9,30,37,71,5,0,.246,.345,.409,.754,308,4,1,2,5,0.66,25,108,1,.301,.163,29.33,.521,.120,.231
Yoenis Cespedes,LF,OAK,135,529,74,127,21,4,26,80,37,137,7,7,.240,.294,.442,.736,574,5,0,3,8,0.63,51,234,5,.274,.202,20.35,.270,.064,.239
Daric Barton,1B,OAK,37,104,15,28,2,0,3,16,13,18,0,0,.269,.350,.375,.725,120,1,0,2,1,0.76,5,39,0,.294,.106,34.67,.722,.108,.150
Seth Smith,DH,OAK,117,368,49,93,27,0,8,40,39,94,0,0,.253,.329,.391,.720,410,3,0,0,10,1.06,35,144,4,.320,.139,46.00,.415,.095,.229
Nate Freiman,1B,OAK,80,190,10,52,8,1,4,24,14,31,0,0,.274,.327,.389,.716,208,2,0,2,8,0.68,13,74,0,.306,.116,47.50,.452,.067,.149
Stephen Vogt,C,OAK,47,135,18,34,6,1,4,16,9,28,0,1,.252,.295,.400,.695,148,0,2,2,2,0.54,11,54,1,.286,.148,33.75,.321,.061,.189
Josh Reddick,RF,OAK,114,385,54,87,19,2,12,56,46,86,9,2,.226,.307,.379,.686,441,2,1,7,4,0.62,33,146,1,.255,.153,32.08,.535,.104,.195
Eric Sogard,2B,OAK,130,368,45,98,24,3,2,35,27,51,10,5,.266,.322,.364,.686,410,5,6,4,4,0.78,29,134,2,.301,.098,184.00,.529,.066,.124
Chris Young,CF,OAK,107,335,46,67,18,3,12,40,36,93,10,3,.200,.280,.379,.659,375,2,0,2,7,0.50,33,127,3,.237,.179,27.92,.387,.096,.248
Michael Choice,RF,OAK,9,18,2,5,1,0,0,0,1,6,0,0,.278,.316,.333,.649,19,0,0,0,0,1.33,1,6,0,.417,.056,-.--,.167,.053,.316
Luke Montz,DH,OAK,13,28,2,5,3,0,1,5,1,8,0,0,.179,.200,.393,.593,30,0,0,1,0,0.78,4,11,0,.200,.214,28.00,.125,.033,.267
Adam Rosales,SS,OAK,51,136,11,26,5,0,4,8,10,31,0,0,.191,.267,.316,.583,154,4,4,0,4,1.24,9,43,1,.218,.125,34.00,.323,.065,.201
Tommy Milone,P,OAK,28,8,2,2,0,0,0,1,0,1,0,0,.250,.250,.250,.500,8,0,0,0,1,4.00,0,2,0,.286,.000,-.--,.---,.000,.125
Scott Sizemore,2B,OAK,2,6,0,1,1,0,0,0,0,2,0,0,.167,.167,.333,.500,6,0,0,0,0,3.00,1,2,0,.250,.167,-.--,.---,.000,.333
Shane Peterson,1B,OAK,2,7,1,1,0,0,0,1,1,3,0,0,.143,.250,.143,.393,8,0,0,0,0,0.50,0,1,0,.250,.000,-.--,.333,.125,.375
Andy Parrino,SS,OAK,14,34,2,4,2,0,0,1,2,12,0,0,.118,.167,.176,.343,36,0,0,0,1,0.64,2,6,0,.182,.059,-.--,.167,.056,.333
Dan Straily,P,OAK,27,2,0,0,0,0,0,0,1,2,0,0,.000,.333,.000,.333,3,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.500,.333,.667
Jemile Weeks,DH,OAK,8,9,3,1,0,0,0,0,0,5,0,0,.111,.111,.111,.222,9,0,0,0,0,2.00,0,1,0,.250,.000,-.--,.---,.000,.556
A.J. Griffin,P,OAK,32,4,0,0,0,0,0,0,1,3,0,0,.000,.200,.000,.200,5,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.333,.200,.600
Michael Taylor,RF,OAK,9,23,0,1,0,0,0,0,2,5,0,0,.043,.120,.043,.163,25,0,0,0,1,0.70,0,1,0,.056,.000,-.--,.400,.080,.200
Brett Anderson,P,OAK,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Grant Balfour,P,OAK,65,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jerry Blevins,P,OAK,67,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Jesse Chavez,P,OAK,35,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,1,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Bartolo Colon,P,OAK,30,6,0,0,0,0,0,0,0,3,0,0,.000,.000,.000,.000,6,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.500
Ryan Cook,P,OAK,71,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sean Doolittle,P,OAK,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Sonny Gray,P,OAK,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Grant Green,2B,OAK,5,15,0,0,0,0,0,1,0,6,0,0,.000,.000,.000,.000,16,0,0,1,0,0.25,0,0,0,.000,.000,-.--,.---,.000,.375
Pat Neshek,P,OAK,45,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Hideki Okajima,P,OAK,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Dan Otero,P,OAK,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chris Resop,P,OAK,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Casper Wells,LF,OAK,3,5,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,5,0,0,0,0,0.33,0,0,0,.000,.000,-.--,.---,.000,.200
