PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Brandon Belt,1B,SF,150,509,76,147,39,4,17,67,52,125,5,2,.289,.360,.481,.841,571,6,1,3,4,0.71,60,245,4,.351,.193,29.94,.416,.091,.219
Hunter Pence,RF,SF,162,629,91,178,35,5,27,99,52,115,22,3,.283,.339,.483,.822,687,3,0,3,17,1.16,67,304,3,.308,.200,23.30,.452,.076,.167
Buster Posey,C,SF,148,520,61,153,34,1,15,72,60,70,2,1,.294,.371,.450,.821,595,8,0,7,15,1.24,50,234,8,.312,.156,34.67,.857,.101,.118
Pablo Sandoval,3B,SF,141,525,52,146,27,2,14,79,47,79,0,0,.278,.341,.417,.758,584,6,0,6,19,0.88,43,219,5,.301,.139,37.50,.595,.080,.135
Angel Pagan,CF,SF,71,280,44,79,16,3,5,30,23,36,9,4,.282,.334,.414,.748,305,0,0,2,1,0.88,24,116,0,.307,.132,56.00,.639,.075,.118
Tony Abreu,2B,SF,53,138,21,37,12,3,2,14,6,33,0,2,.268,.301,.442,.743,147,1,1,1,5,1.26,17,61,1,.337,.174,69.00,.182,.041,.224
Marco Scutaro,2B,SF,127,488,57,145,23,3,2,31,45,34,2,0,.297,.357,.369,.726,547,2,9,3,13,1.24,28,180,0,.314,.072,244.00,1.324,.082,.062
Ehire Adrianza,SS,SF,9,18,3,4,1,0,1,3,1,5,0,0,.222,.263,.444,.707,20,0,1,0,1,2.33,2,8,0,.250,.222,18.00,.200,.050,.250
Gregor Blanco,CF,SF,141,452,50,120,17,6,3,41,52,95,14,9,.265,.341,.350,.691,511,1,3,3,10,0.99,26,158,4,.328,.084,150.67,.547,.102,.186
Brandon Crawford,SS,SF,149,499,52,124,24,3,9,43,42,96,1,2,.248,.311,.363,.674,550,5,1,3,10,1.26,36,181,6,.290,.114,55.44,.438,.076,.175
Juan Carlos Perez,CF,SF,34,89,8,23,5,0,1,8,6,21,2,0,.258,.302,.348,.650,97,0,1,1,3,1.24,6,31,0,.324,.090,89.00,.286,.062,.216
Hector Sanchez,C,SF,63,129,8,32,4,0,3,19,7,29,0,0,.248,.300,.349,.649,140,3,0,1,1,0.97,7,45,0,.296,.101,43.00,.241,.050,.207
Brett Pill,X,SF,48,85,11,19,4,0,3,12,5,17,0,0,.224,.272,.376,.648,92,1,0,1,5,1.17,7,32,0,.242,.153,28.33,.294,.054,.185
Andres Torres,LF,SF,103,272,33,68,17,1,2,21,22,61,4,3,.250,.302,.342,.644,300,0,2,4,7,0.84,20,93,1,.310,.092,136.00,.361,.073,.203
Joaquin Arias,3B,SF,102,225,17,61,9,2,1,19,4,33,1,0,.271,.284,.342,.626,236,1,4,2,4,1.45,12,77,1,.311,.071,225.00,.121,.017,.140
Kensuke Tanaka,LF,SF,15,30,4,8,0,0,0,2,4,3,2,0,.267,.353,.267,.620,34,0,0,0,0,1.71,0,8,0,.296,.000,-.--,1.333,.118,.088
Francisco Peguero,LF,SF,18,29,4,6,1,0,1,1,1,2,2,0,.207,.233,.345,.578,30,0,0,0,2,2.00,2,10,0,.192,.138,29.00,.500,.033,.067
Guillermo Quiroz,C,SF,43,86,5,16,7,0,1,6,5,21,0,0,.186,.237,.302,.539,95,1,2,1,4,1.48,8,26,1,.231,.116,86.00,.238,.053,.221
Roger Kieschnick,LF,SF,38,84,6,17,0,1,0,5,11,29,0,0,.202,.295,.226,.521,95,0,0,0,3,0.90,1,19,2,.309,.024,-.--,.379,.116,.305
