PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Carlos Peguero,RF,SEA,2,6,1,2,0,0,1,1,1,2,1,0,.333,.429,.833,1.262,7,0,0,0,0,2.00,1,5,1,.333,.500,6.00,.500,.143,.286
Raul Ibanez,LF,SEA,124,454,54,110,20,2,29,65,42,128,0,0,.242,.306,.487,.793,496,0,0,0,8,0.82,51,221,1,.273,.244,15.66,.328,.085,.258
Kendrys Morales,DH,SEA,156,602,64,167,34,0,23,80,49,114,0,0,.277,.336,.449,.785,657,5,0,1,21,1.33,57,270,6,.309,.171,26.17,.430,.075,.174
Franklin Gutierrez,RF,SEA,41,145,18,36,7,0,10,24,5,43,3,1,.248,.273,.503,.776,151,0,1,0,2,1.03,17,73,0,.283,.255,14.50,.116,.033,.285
Kyle Seager,3B,SEA,160,615,79,160,32,2,22,69,68,122,9,3,.260,.338,.426,.764,695,7,0,5,8,0.61,56,262,1,.290,.166,27.96,.557,.098,.176
Justin Smoak,1B,SEA,131,454,53,108,19,0,20,50,64,119,0,0,.238,.334,.412,.746,521,2,0,1,11,0.63,39,187,1,.278,.174,22.70,.538,.123,.228
Brad Miller,SS,SEA,76,306,41,81,11,6,8,36,24,52,5,3,.265,.318,.418,.736,335,1,2,2,2,1.06,25,128,0,.294,.154,38.25,.462,.072,.155
Michael Saunders,CF,SEA,132,406,59,96,23,3,12,46,54,118,13,5,.236,.323,.397,.720,468,1,1,6,6,1.05,38,161,4,.298,.160,33.83,.458,.115,.252
Abraham Almonte,CF,SEA,25,72,10,19,4,0,2,9,6,21,1,0,.264,.313,.403,.716,82,0,2,2,2,1.40,6,29,0,.333,.139,36.00,.286,.073,.256
Michael Morse,RF,SEA,76,283,31,64,13,0,13,27,20,80,0,0,.226,.283,.410,.693,307,3,0,1,10,1.15,26,116,1,.267,.184,21.77,.250,.065,.261
Jason Bay,LF,SEA,68,206,30,42,6,0,11,20,26,62,3,1,.204,.298,.393,.691,236,2,1,1,6,1.08,17,81,1,.231,.189,18.73,.419,.110,.263
Nick Franklin,2B,SEA,102,369,38,83,20,1,12,45,42,113,6,1,.225,.303,.382,.685,412,0,0,1,2,0.72,33,141,1,.290,.157,30.75,.372,.102,.274
Dustin Ackley,2B,SEA,113,384,40,97,18,2,4,31,37,72,2,3,.253,.319,.341,.660,427,1,4,1,6,1.22,24,131,1,.301,.089,96.00,.514,.087,.169
Kelly Shoppach,C,SEA,35,107,11,21,7,0,3,9,12,45,0,0,.196,.293,.346,.639,125,3,2,1,0,0.63,10,37,1,.300,.150,35.67,.267,.096,.360
Mike Zunino,C,SEA,52,173,22,37,5,0,5,14,16,49,1,0,.214,.290,.329,.619,193,3,0,1,5,0.91,10,57,0,.267,.116,34.60,.327,.083,.254
