PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Matt Holliday,LF,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,602,9,0,4,31,1.10,54,255,5,.322,.190,23.64,.802,.115,.143
Matt Carpenter,2B,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,717,9,3,7,4,0.81,73,301,1,.359,.163,56.91,.735,.100,.137
Matt Adams,1B,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,319,0,0,0,9,1.10,31,149,0,.337,.220,17.41,.288,.072,.251
Yadier Molina,C,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,541,3,0,3,14,0.95,56,241,4,.338,.158,42.08,.545,.055,.102
Carlos Beltran,RF,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,600,1,1,6,12,0.71,57,272,1,.314,.195,23.08,.422,.063,.150
Allen Craig,1B,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,563,10,0,5,12,1.18,44,232,2,.368,.142,39.08,.400,.071,.178
David Freese,3B,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,521,9,0,3,25,1.83,36,176,1,.320,.119,51.33,.443,.090,.203
Jon Jay,CF,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,628,14,9,5,13,1.44,36,203,7,.325,.095,78.29,.505,.083,.164
Shane Robinson,RF,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,171,0,0,4,2,0.98,5,46,0,.264,.069,72.00,1.353,.135,.099
Daniel Descalso,SS,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,358,3,3,2,7,1.16,31,120,5,.271,.128,65.60,.393,.061,.156
Pete Kozma,SS,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,448,0,1,3,6,0.79,21,112,8,.274,.056,410.00,.374,.076,.203
Tony Cruz,C,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,129,2,0,0,7,1.52,8,36,1,.247,.089,123.00,.160,.031,.194
Jake Westbrook,P,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,42,0,4,0,1,5.67,2,8,0,.273,.059,-.--,.333,.095,.286
Rob Johnson,C,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,‌,38,0,0,0,2,1.88,2,9,0,.207,.086,-.--,.500,.079,.158
