PLAYER,POSITION,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PA,HBP,SAC,SF,GIDP,GO/AO,XBH,TB,IBB,BABIP,ISO,AB/HR,BB/K,BB%,SO%
Edwin Encarnacion,1B,TOR,142,530,90,144,29,1,36,104,82,62,7,1,.272,.370,.534,.904,621,4,0,5,20,0.79,66,283,7,.247,.262,14.72,1.323,.132,.100
Jose Bautista,RF,TOR,118,452,82,117,24,0,28,73,69,84,7,2,.259,.358,.498,.856,528,3,0,4,13,0.85,52,225,2,.259,.239,16.14,.821,.131,.159
Adam Lind,1B,TOR,143,465,67,134,26,1,23,67,51,103,1,0,.288,.357,.497,.854,521,1,0,4,20,1.37,50,231,5,.324,.209,20.22,.495,.098,.198
Colby Rasmus,CF,TOR,118,417,57,115,26,1,22,66,37,135,0,1,.276,.338,.501,.839,458,3,0,1,4,0.65,49,209,0,.356,.225,18.96,.274,.081,.295
R.A. Dickey,P,TOR,34,6,2,2,1,0,0,1,0,0,0,0,.333,.333,.500,.833,6,0,0,0,0,1.00,1,3,0,.333,.167,-.--,.---,.000,.000
Moises Sierra,RF,TOR,35,107,11,31,13,1,1,13,14,29,1,0,.290,.369,.458,.827,122,0,0,1,0,1.00,15,49,1,.385,.168,107.00,.483,.115,.238
Jose Reyes,SS,TOR,93,382,58,113,20,0,10,37,34,47,15,6,.296,.353,.427,.780,419,1,0,2,6,1.07,30,163,2,.315,.131,38.20,.723,.081,.112
Mark DeRosa,X,TOR,88,204,23,48,12,1,7,36,28,49,0,0,.235,.326,.407,.733,236,1,0,3,8,1.29,20,83,1,.272,.172,29.14,.571,.119,.208
Brett Lawrie,3B,TOR,107,401,41,102,18,3,11,46,30,68,9,5,.254,.315,.397,.712,442,7,1,3,8,0.97,32,159,1,.280,.142,36.46,.441,.068,.154
Anthony Gose,CF,TOR,52,147,15,38,6,5,2,12,5,37,4,3,.259,.283,.408,.691,153,0,1,0,5,1.52,13,60,0,.333,.150,73.50,.135,.033,.242
Rajai Davis,LF,TOR,108,331,49,86,16,2,6,24,21,67,45,6,.260,.312,.375,.687,360,5,1,2,8,0.74,24,124,0,.308,.115,55.17,.313,.058,.186
Melky Cabrera,LF,TOR,88,344,39,96,15,2,3,30,23,47,2,2,.279,.322,.360,.682,372,0,2,3,7,1.15,20,124,0,.313,.081,114.67,.489,.062,.126
Ryan Langerhans,1B,TOR,4,11,3,3,0,0,0,0,2,2,1,0,.273,.385,.273,.658,13,0,0,0,0,2.00,0,3,0,.333,.000,-.--,1.000,.154,.154
Munenori Kawasaki,SS,TOR,96,240,27,55,6,5,1,24,32,41,7,1,.229,.326,.308,.634,289,4,10,3,5,2.08,12,74,0,.269,.079,240.00,.780,.111,.142
Ryan Goins,2B,TOR,34,119,11,30,5,0,2,8,2,28,0,0,.252,.264,.345,.609,121,0,0,0,1,1.65,7,41,0,.315,.092,59.50,.071,.017,.231
Maicer Izturis,2B,TOR,107,365,33,86,12,0,5,32,27,38,1,5,.236,.288,.310,.598,399,1,3,3,11,1.42,17,113,0,.249,.074,73.00,.711,.068,.095
J.P. Arencibia,C,TOR,138,474,45,92,18,0,21,55,18,148,0,2,.194,.227,.365,.592,497,3,0,2,8,0.71,39,173,0,.231,.171,22.57,.122,.036,.298
Kevin Pillar,LF,TOR,36,102,11,21,4,0,3,13,4,29,0,1,.206,.250,.333,.583,110,2,2,0,0,0.74,7,34,0,.257,.127,34.00,.138,.036,.264
Emilio Bonifacio,2B,TOR,94,262,33,57,16,1,3,20,13,66,12,6,.218,.258,.321,.579,282,2,3,2,3,1.32,20,84,0,.277,.103,87.33,.197,.046,.234
Henry Blanco,C,TOR,15,38,3,7,3,0,0,0,4,10,0,0,.184,.262,.263,.525,43,0,1,0,3,0.83,3,10,0,.250,.079,-.--,.400,.093,.233
Josh Johnson,P,TOR,16,1,0,0,0,0,0,0,1,1,0,0,.000,.500,.000,.500,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,1.000,.500,.500
Josh Thole,C,TOR,45,120,11,21,3,1,1,8,12,25,0,0,.175,.256,.242,.498,135,1,2,0,3,1.05,5,29,0,.213,.067,120.00,.480,.089,.185
Todd Redmond,P,TOR,17,3,1,0,0,0,0,0,1,1,0,0,.000,.250,.000,.250,4,0,0,0,0,1.00,0,0,0,.000,.000,-.--,1.000,.250,.250
Mark Buehrle,P,TOR,33,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,4,0,0,0,0,2.00,0,0,0,.000,.000,-.--,.---,.000,.250
Brett Cecil,P,TOR,60,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Steve Delabar,P,TOR,55,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Casey Janssen,P,TOR,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Jeremy Jeffress,P,TOR,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
Chad Jenkins,P,TOR,10,2,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000,2,0,0,0,0,-.--,0,0,0,.---,.000,-.--,.---,.000,1.000
Andy LaRoche,3B,TOR,1,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,4,0,0,0,0,0.00,0,0,0,.000,.000,-.--,.---,.000,.250
Brad Lincoln,P,TOR,22,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,1,0,0,0,0,1.00,0,0,0,.000,.000,-.--,.---,.000,.000
Aaron Loup,P,TOR,64,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,-.--,0,0,0,.---,--,-.--,.---,.---,.---
